NUM,UC,NT
201,Like Picture,2
202,Unlike Picture,2
203,Report Picture - Submit,2
204,Save Picture to Device,1
205,Browse Event Pictures,3
206,Sort Pictures,2
207,Create Private Event,1
208,Delete Event,3
209,Search Events,2
210,Create Public Events,2
211,Browse Users,3
212,Suspend User - Confirm,3
213,Update Event,4
214,Search Pictures,3
215,Restore Reported Picture,1
216,Change App Settings,2
217,Generate Statistics Report,2
218,Login,3
219,Register,2
220,Logout,1
221,View Nearby Pictures,1
222,Validate Redemption Password,1
223,Notify Partner of Redemption,10
224,Bill partner for redemption transaction,2
225,View redemption statistics for partner storyboard,6
226,View Partner Billing status storyboard,2
227,Suspend Partner Account Storyboard,2
228,Reactive Partner Account,1
229,Delete Partner Account,6
230,View Transaction Log,9
231,Admin Login,5
232,Resolve Dispute,7
233,Receive Coupon - Android,8
234,Save it for later,3
235,View stored coupons - Android,2
236,Redeem Coupon - Android,4
237,Connect to trip plan - Android,2
238,Login to tripplanner - Android,4
239,Receive Coupon - iOS,8
240,Connect to trip plan - iOS,2
241,Login to tripplanner - iOS,4
242,Redeem Coupon - iOS,4
243,Save it for lateer,3
244,View stored coupons - iOS,2
245,Modify Offer,1
246,Partner Login,2
247,Buy Partner Subscription,3
248,Publish Offer,1
249,Test Coupon,3
250,Cancel Partner Subscription,3
251,Upload Image,3
252,Design Coupon,5
253,Create Offer,5
254,View Bill,1
255,Create Account,1
256,Specify default payment method use case,0
257,Contact us,7
258,Login to TripPlanner,0
259,Connect to trip plan - Trip Planner,5
260,Manage Trip Plan,8
261,Find add and delete places,3
262,Manage subscription,4
263,View partner offer,2
264,Subscribe and unsubscribe from partner offer,6
265,Schedule visit and view trip calendar,0
266,View Trip Plan on Map and get Directions,3
267,Annotate trip plan,2
268,Print photo books,3
269,Add a new website,2
270,Show the website,3
271,Edit website details,5
272,Add a new player,5
273,Show the player,4
274,Edit the crawling attributes of a player,5
275,Delete a website,4
276,Schedule player crawl,4
277,Navigation,5
278,Automatic deletion,3
279,Admin deletes photo,3
280,Admin searches for photo by event,1
281,Admin searches for photo by user,1
282,Create Account,1
283,Create Profile,2
284,Create a Private Event,4
285,Create a Public Event,4
286,Delete Photos in Event if Owner,3
287,Delete uploaded photos,6
288,Downoad Photos to Device,1
289,Log In to Account,3
290,Log Out of Account,0
291,Reserve a Hashtag,6
292,Search by Location,5
293,Search by event,3
294,Search event and upload photo,4
295,Set a password,0
296,Take a photo,3
297,Take photo for location,3
298,Upload photo to my event,3
299,View photos of event/View photos of private event with password,3
300,View photos on device,3
