id,element,type,outboundDegree, inboundDegree
276,delete expired location photos automatically,control,1,2
277,delete photos related to expired events automatically,control,1,2
278,event,entity,0,1
279,photo,entity,0,2
280,Actor,actor,1,0
281,Account,entity,0,1
282,Display pop-up "Password do not match" on Sign up Screen,control,2,0
283,Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen,control,1,1
284,Display pop-up "invalid email or email is already in use" on Sign Up Screen,control,1,1
285,Display pop-up "invalid password" on Sign Up Screen,control,1,1
286,Sign up Screen,boundary,1,6
287,User Collection,entity,0,1
288,verify confirm password,control,0,1
289,verify email,control,2,1
290,verify password,control,2,1
291,verify username,control,3,1
292,Actor,actor,1,0
293,Display Selected Photo on Profile Photo Screen,control,1,1
294,Display available photos on Photos Screen,control,1,2
295,Display photo on  Profile photo screen,control,2,0
296,Display pop-up "Password do not match" on Sign up Screen,control,1,0
297,Photos Screen,boundary,1,1
298,Profile,entity,0,1
299,Profile Photo Screen,boundary,2,5
300,Save Profile Photo,control,1,1
301,Actor,actor,1,0
302,Create Event Screen,boundary,2,2
303,Event Collection,entity,0,2
304,Handle Validate Error,control,1,3
305,Validate hashtag containts alphanume dash underscore,control,2,1
306,Validate hashtag uniqueness,control,2,1
307,Actor,actor,1,0
308,Create Event Screen,boundary,2,2
309,Event Collection,entity,0,2
310,Handle Validate Error,control,1,3
311,Validate hashtag containts alphanume dash underscore,control,2,1
312,Validate hashtag uniqueness,control,2,1
313,Actor,actor,2,0
314,Delete Photo Model,boundary,2,4
315,Dismiss Delete Photo Model,control,0,2
316,Display Deelete Photo Model,control,1,1
317,Event,entity,0,1
318,Event Screen,boundary,2,3
319,Handle Deletion Error,control,1,1
320,Handle Photo Deletion,control,3,1
321,Photo Collection,entity,0,1
322,Toggle Delete Mode,control,1,1
323,Toggle Off Delete Mode,control,1,0
324,Actor,actor,5,0
325,Can't access server,control,1,1
326,Confirm page,boundary,1,3
327,Confirmed delete,control,1,1
328,Delete,control,1,1
329,Delete finished,control,1,1
330,My photos screen,boundary,2,3
331,Photo Collection,boundary,1,3
332,Prepare photos,control,1,1
333,Result,boundary,0,4
334,Select a photo,control,1,1
335,failed to delete,control,1,1
336,get my upload,control,0,2
337,my upload,entity,4,1
338,view photo,boundary,1,3
339,Actor,actor,1,0
340,Download photo to Device,control,3,1
341,Handle download error,control,1,1
342,Handle download success,control,1,1
343,Photo Selected Screen,boundary,1,4
344,Server,entity,0,1
345,Actor,actor,1,0
346,Account,entity,0,1
347,Display pop-p "Authentication Failed" on Log In Screen,control,1,2
348,Log In Screen,boundary,1,3
349,User Collection,entity,0,2
350,Verify Password,control,3,1
351,Verify Username,control,3,1
352,Actor,actor,1,0
353,Display pop-p "Authentication Failed" on Log In Screen,control,1,2
354,Log In Screen,boundary,2,4
355,Verify Username,control,2,1
356,User,actor,53,0
357,Display navigation bar,control,1,0
358,Log in screen,boundary,0,1
359,Navigation bar,boundary,1,2
