id,element,type,outbound_degree,inbound_degree,diagram,useCase
70,input information invalid,boundary,1,2,Add Employee,Add Employee
71,validate the form,control,2,1,Add Employee,Add Employee
72,manage employee screen,boundary,0,3,Add Employee,Add Employee
73,system error when connecting server,boundary,0,3,Add Employee,Add Employee
74,employee,entity,0,2,Add Employee,Add Employee
75,valet information input page,boundary,1,1,Add Employee,Add Employee
76,Valet,actor,4,0,Add Employee,Add Employee
77,remove employee from db,control,4,1,Remove Location,Remove Location
78,remove confirmation dialog,boundary,1,2,Remove Location,Remove Location
79,displays a prompt for confirmation,control,1,1,Remove Location,Remove Location
80,manage employee screen,boundary,0,2,Remove Location,Remove Location
81,system error when connecting server,boundary,0,3,Remove Location,Remove Location
82,employee,entity,0,2,Remove Location,Remove Location
83,remove valet button,boundary,1,1,Remove Location,Remove Location
84,Valet,actor,4,0,Remove Location,Remove Location
85,Error message when connecting,boundary,0,2,Add location,Add location
86,redirect to addresss input page,control,1,1,Add location,Add location
87,Google Places API,actor,0,1,Add location,Add location
88,search for best match,control,3,1,Add location,Add location
89,validate the address form,control,2,1,Add location,Add location
90,address input dialog,boundary,1,3,Add location,Add location
91,displays a prompt for inputing address,control,1,1,Add location,Add location
92,Invalid input address,boundary,1,2,Add location,Add location
93,matched results for locations,boundary,0,2,Add location,Add location
94,Add location button,boundary,1,1,Add location,Add location
95,Valet,actor,5,0,Add location,Add location
96,system error when saving registration information,boundary,0,2,Register as Valet,Register as Valet
97,management empolyee page,boundary,0,2,Register as Valet,Register as Valet
98,duplicate registration information,boundary,0,2,Register as Valet,Register as Valet
99,navigate to manage employee page,control,1,1,Register as Valet,Register as Valet
100,successfully save registration information,boundary,1,2,Register as Valet,Register as Valet
101,save valet information,control,4,1,Register as Valet,Register as Valet
102,validate registration information,control,5,1,Register as Valet,Register as Valet
103,registration page,boundary,1,2,Register as Valet,Register as Valet
104,displays registration page,control,1,1,Register as Valet,Register as Valet
105,registration information invalid message,boundary,0,2,Register as Valet,Register as Valet
106,display spinner while saving information,boundary,0,2,Register as Valet,Register as Valet
107,employee,entity,0,2,Register as Valet,Register as Valet
108,register button,boundary,1,1,Register as Valet,Register as Valet
109,Valet,actor,9,0,Register as Valet,Register as Valet
110,system error when saving registration information,boundary,0,2,Register as Customer,Register as Customer
111,main page,boundary,0,2,Register as Customer,Register as Customer
112,duplicate registration information,boundary,0,2,Register as Customer,Register as Customer
113,main page,control,1,1,Register as Customer,Register as Customer
114,successfully save registration information,boundary,1,2,Register as Customer,Register as Customer
115,save customer information,control,4,1,Register as Customer,Register as Customer
116,validate registration information,control,5,1,Register as Customer,Register as Customer
117,registration page,boundary,1,2,Register as Customer,Register as Customer
118,displays registration page,control,1,1,Register as Customer,Register as Customer
119,registration information invalid message,boundary,0,2,Register as Customer,Register as Customer
120,display spinner while saving information,boundary,0,2,Register as Customer,Register as Customer
121,customer,entity,0,2,Register as Customer,Register as Customer
122,register button,boundary,1,1,Register as Customer,Register as Customer
123,Customer,actor,9,0,Register as Customer,Register as Customer
124,system error when saving registration information,boundary,0,2,Register as Valet Company,Register as Valet Company
125,duplicate registration information,boundary,0,2,Register as Valet Company,Register as Valet Company
126,successfully save registration information,boundary,1,2,Register as Valet Company,Register as Valet Company
127,save valet information,control,4,1,Register as Valet Company,Register as Valet Company
128,validate registration information,control,5,1,Register as Valet Company,Register as Valet Company
129,registration page,boundary,1,2,Register as Valet Company,Register as Valet Company
130,displays registration page,control,1,1,Register as Valet Company,Register as Valet Company
131,registration information invalid message,boundary,0,2,Register as Valet Company,Register as Valet Company
132,display spinner while saving information,boundary,0,2,Register as Valet Company,Register as Valet Company
133,employee,entity,0,2,Register as Valet Company,Register as Valet Company
134,register button,boundary,1,1,Register as Valet Company,Register as Valet Company
135,Valet company representative,actor,9,0,Register as Valet Company,Register as Valet Company
