NUM,PROJ,Effort,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Effort_Norm,Norm_Factor,KSLOC,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,Effort_Norm_UCP
16,F15a_construction_meeting_minutes_application,1482.5,143,18,0,250,0,0,0,0,0,0,0,11,5,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.454545455,0,0,0,0,0.454545455,0,0,NaN,1,0,0,0,0,0,0,5,0,0,24,0,24,0,24,119,24,undefined,undefined,,2837.803232,1.379603066,1.386,0,0,18,0,270,48,48,6,0.925,0.95,242.53,47.45,47.45,1430,2145,1716,2045.26
17,S15b_we_are_trojans_network,1965,163,9,0,198,0,0,0,0,0,0,0,34,139,197,34,34,0,0,0,0,0,0,0,0,0,197,0,0,0,197,8,5.794117647,4.088235294,5.794117647,0,0,0,4.088235294,0,0,NaN,1,0,0,0,0,0,0,11,0,0,23,0,23,0,23,140,23,undefined,undefined,,4531.585472,1.24576598,6.415,0,0,9,0,135,46,46,9,0.935,0.935,125.89,48.08,48.08,1630,2445,1956,2447.93
1,F13a_Yanomamo Interactive CDROM,384.56,31,9,0,79,0,0,0,0,0,0,0,11,10,7,11,288,0.224137931,0.44,10,22,10,60,22,13,60,0,0,0,0,7,4,0.636363636,0.909090909,0,0,0,0,0.909090909,0,0,NaN,1,0,0,0,0,0,0,2,0,0,14,0,18,0,14,13,18,undefined,undefined,,NaN,NaN,4.965,0,0,9,0,135,36,36,0,1,1,135,36,36,310,290,214,NaN
2,F13a_OnlineWedding_Management_System,8224.72,88,15,0,179,0,0,0,0,0,0,0,12,37,7,12,29,0.096774194,0.1,2,3,2,4,3,3,4,0,0,0,0,7,6,0.583333333,3.083333333,0,0,0,0,3.083333333,0,0,NaN,1,0,0,0,0,0,0,2,3,0,17,3,36,0,20,52,36,undefined,undefined,,NaN,NaN,NA,0,0,15,0,225,72,72,0,1,1,225,72,72,880,1166,916,NaN
3,S14b_JEP_Online_Platform,1295.04,261,20,0,383,0,0,0,0,0,0,0,9,13,12,9,9,0,0,0,0,0,0,0,0,0,10,0,0,0,12,1,1.333333333,1.444444444,1.111111111,0,0,0,1.444444444,0,0,NaN,1,0,0,0,0,0,0,11,30,0,12,30,45,0,42,216,45,undefined,undefined,,NaN,NaN,3.6,0,0,20,0,300,90,90,0,1,1,300,90,90,2610,3145,2444,NaN
4,F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement,432,156,14,0,239,0,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,17,4,0,14,4,38,0,18,118,38,undefined,undefined,,NaN,NaN,2.042,0,0,14,0,210,76,76,0,1,1,210,76,76,1560,2340,1872,NaN
5,S13b_SomaticsWeb_DataServices,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,2.31,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN
6,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,1328,59,7,0,111,0,0,0,0,0,0,0,17,23,30,17,288,0.224137931,0.44,10,22,10,60,22,13,60,29,0,0,0,30,1,1.764705882,1.352941176,1.705882353,0,0,0,1.352941176,0,0,NaN,1,0,0,0,0,0,0,6,1,0,10,1,12,0,11,47,12,undefined,undefined,,NaN,NaN,NA,0,0,7,0,105,24,24,0,1,1,105,24,24,590,822,654,NaN
7,F13a_Mission_Science_Information_and Data_Management_System,NA,39,10,0,84,0,0,0,0,0,0,0,9,25,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2.777777778,0,0,0,0,2.777777778,0,0,NaN,1,0,0,0,0,0,0,5,2,0,12,2,16,0,14,23,16,undefined,undefined,,NA,NA,NA,0,0,10,0,150,32,32,0,1,1,150,32,32,390,585,468,0
8,S13b_United_Direct_Marketing,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN
9,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,1328,59,7,0,111,0,0,0,0,0,0,0,17,23,30,17,15,0.117647059,0.133333333,2,2,2,2,2,2,2,29,0,0,0,30,1,1.764705882,1.352941176,1.705882353,0,0,0,1.352941176,0,0,NaN,1,0,0,0,0,0,0,6,1,0,10,1,12,0,11,47,12,undefined,undefined,,NaN,NaN,NA,0,0,7,0,105,24,24,0,1,1,105,24,24,590,822,654,NaN
10,F13a_Surgery_Assist,1092.88,144,21,0,285,0,0,0,0,0,0,0,22,71,72,22,20,0.090909091,0.05,2,1,2,2,1,2,2,6,0,0,0,72,2,3.272727273,3.227272727,0.272727273,0,0,0,3.227272727,0,0,NaN,1,0,0,0,0,0,0,5,4,0,37,4,43,0,41,101,43,undefined,undefined,,NaN,NaN,4.095,0,0,21,0,315,86,86,0,1,1,315,86,86,1440,1609,1232,NaN
11,S14b_Lose4Good.org_Database_Driven_Socially_Connected_Website,1810.32,120,6,0,157,0,0,0,0,0,0,0,30,67,17,30,28,0.066666667,0.035714286,2,1,2,2,1,2,2,12,0,0,0,17,19,0.566666667,2.233333333,0.4,0,0,0,2.233333333,0,0,NaN,1,0,0,0,0,0,0,8,2,0,16,2,29,0,18,91,29,undefined,undefined,,NaN,NaN,3,0,0,6,0,90,58,58,0,1,1,90,58,58,1200,1494,1182,NaN
12,F13a_LA_Commons_upgradeof_website,1193,81,11,0,172,0,0,0,0,0,0,0,4,0,0,4,19,0.095238095,0.105263158,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,8,0,0,18,0,25,0,18,56,25,undefined,undefined,,NaN,NaN,5.4,0,0,11,0,165,50,50,0,1,1,165,50,50,810,1215,972,NaN
13,S13b_PTS_RID,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN
14,S14b_Student_Scheduling_Systemb,1393.84,96,12,0,183,0,0,0,0,0,0,0,19,28,31,19,47,0.040816327,0.021276596,2,1,2,2,1,2,2,0,0,0,0,31,5,1.631578947,1.473684211,0,0,0,0,1.473684211,0,0,NaN,1,0,0,0,0,0,0,8,0,0,31,0,33,0,31,63,33,undefined,undefined,,NaN,NaN,7.776,0,0,12,0,180,66,66,0,1,1,180,66,66,960,1415,1132,NaN
1,s16_bad_driver,1392,55,7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,2,0,1,53,2,undefined,undefined,,881.8199074,0.66942294,4.71,0,0,7,0,105,4,4,12,1.135,1.25,165.99,22.7,22.7,550,825,660,931.84
2,F14a_soccer_data_web_crawler,268.5,45,8,0,103,0,0,0,0,0,0,0,8,1,0,8,7,0.125,0.142857143,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0.125,0,0,0,0,0.125,0,0,NaN,1,0,0,0,0,0,0,9,0,0,2,0,36,0,2,9,36,undefined,undefined,,206.5498223,0.722862743,2.258,0,0,8,0,120,87,87,6,0.915,1.025,118.17,87.22,87.22,450,675,540,194.09
3,F14a_REFERsy,263,62,10,0,137,0,0,0,0,0,0,0,15,13,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.866666667,0,0,0,0,0.866666667,0,0,NaN,1,0,0,0,0,0,0,1,0,0,21,0,31,0,21,31,31,undefined,undefined,,462.3214249,1.1201987,7.25,0,0,10,0,150,62,62,11,0.925,0.995,148.18,67.19,67.19,620,930,744,294.61
4,s16b_Picshare_RA,3113,387,24,0,555,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,8,0,0,69,0,78,0,69,309,78,undefined,undefined,,5850.412248,1.033403704,8.059,0,0,24,0,360,156,156,8,0.94,0.89,307.87,137.2,137.2,3870,5805,4644,3216.99
5,s16b_Picshare_AA,1592,94,24,0,221,0,0,0,0,0,0,0,1,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,1,0,0,0,0,94,0,0,0,94,undefined,undefined,,2993.783007,1.033628608,8.209,0,0,24,0,360,227,227,6,0.94,0.875,301.03,191.64,191.64,940,1410,1128,1645.54
6,F15a_construction_meeting_minutes_application,1482.5,143,18,0,250,0,0,0,0,0,0,0,11,5,0,11,18,0.052631579,0.055555556,1,1,1,1,1,1,1,0,0,0,0,0,4,0,0.454545455,0,0,0,0,0.454545455,0,0,NaN,1,0,0,0,0,0,0,5,0,0,27,0,100,0,27,43,100,undefined,undefined,,2837.803232,1.379603066,1.386,0,0,18,0,270,206,206,6,0.925,0.95,242.53,186.3,186.3,1430,2145,1716,2045.26
7,S16b_flower_seeker,804.5,84,16,0,186,0,0,0,0,0,0,0,49,221,77,49,49,0,0,0,0,0,0,0,0,0,168,0,0,0,77,26,1.571428571,4.510204082,3.428571429,0,0,0,4.510204082,0,0,NaN,1,0,0,0,0,0,0,5,0,0,37,0,46,0,37,38,46,undefined,undefined,,541.357253,0.68342754,7.365,0,0,16,0,240,92,92,9,0.89,1.025,227.15,92.14,92.14,840,851,640,549.82
