NUM,PROJ,Effort,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Norm_Factor,KSLOC,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP
11,S14b_E-LockBox,NA,0,0,0,0,0,0,0,0,0,0,0,12,57,17,12,96,0.227272727,0.173913043,21,16,21,23,16,25,23,0,0,0,0,17,7,1.416666667,4.75,0,0,0,0,4.75,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,S14b_Healthy_Kids_Zone_SurveyApp,950,0,0,0,0,0,0,0,0,0,0,0,15,18,57,15,111,0.2,0.14953271,21,16,21,23,16,25,23,0,0,0,0,57,0,3.8,1.2,0,0,0,0,1.2,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,S14b_Healthy_Kids_Zone_SurveyApp,950,0,0,0,0,0,0,0,0,0,0,0,5,13,12,5,116,0.192307692,0.142857143,21,16,21,23,16,25,23,10,0,0,0,12,1,2.4,2.6,2,0,0,0,2.6,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
14,S14b_Lose4Good.org_Database_Driven_Socially_Connected_Website,1810.32,0,0,0,0,0,0,0,0,0,0,0,26,67,17,26,140,0.173076923,0.125,23,17,23,25,17,27,25,12,0,0,0,17,19,0.653846154,2.576923077,0.461538462,0,0,0,2.576923077,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
15,S14b_Student_Scheduling_Systemb,1393.84,0,0,0,0,0,0,0,0,0,0,0,15,28,31,15,155,0.157894737,0.112582781,23,17,23,25,17,27,25,0,0,0,0,31,5,2.066666667,1.866666667,0,0,0,0,1.866666667,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
16,S14b_ThrdPlace_Social_Networking,1045.76,0,0,0,0,0,0,0,0,0,0,0,4,5,9,4,159,0.154285714,0.109677419,23,17,23,25,17,27,25,0,0,0,0,9,0,2.25,1.25,0,0,0,0,1.25,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,NaN,,0,0,0,0,0,0,0,0,0,0,0,0,0
17,F14a_black_professionals_net,146.5,488,26,0,499,0,0,0,0,0,0,0,46,129,97,46,205,0.122171946,0.084577114,23,17,23,25,17,27,25,116,0,0,0,97,5,2.108695652,2.804347826,2.52173913,0,0,0,2.804347826,0,0,NaN,1,0,0,0,0,0,0,18,0,0,59,0,65,0,59,423,65,undefined,undefined,1.01005972,9.202,0,0,0,26,0,390,325,325,6,0.9,1.01,359.96,300.88
18,f14a_cash_doctor,724,58,10,0,131,0,0,0,0,0,0,0,10,35,0,10,215,0.116883117,0.08056872,23,17,23,25,17,27,25,0,0,0,0,0,5,0,3.5,0,0,0,0,3.5,0,0,NaN,1,0,0,0,0,0,0,5,0,0,6,0,6,0,6,52,6,undefined,undefined,0.900582176,2.95,0,0,0,10,0,150,30,30,9,0.9,1.025,146.68,35.98
19,f14a_e_lock_box,125,450,16,0,519,0,0,0,0,0,0,0,38,165,0,38,253,0.100371747,0.068273092,23,17,23,25,17,27,25,0,0,0,0,0,33,0,4.342105263,0,0,0,0,4.342105263,0,0,NaN,1,0,0,0,0,0,0,39,0,0,79,0,79,0,79,371,79,undefined,undefined,1.124665,1.1,0,0,0,16,0,240,395,395,12,0.93,0.8,187.49,302.81
20,f14a_gotrla,482,112,10,0,175,0,0,0,0,0,0,0,15,80,0,15,267,0.098591549,0.064638783,24,17,24,26,17,28,26,0,0,0,0,0,10,0,5.333333333,0,0,0,0,5.333333333,0,0,NaN,1,0,0,0,0,0,0,9,0,0,18,0,18,0,18,94,18,undefined,undefined,1.414329134,6.569,0,0,0,10,0,150,90,90,9,0.835,0.995,132.1,82.25
21,F14a_mobile_application_for_mobile_controlled_lighting,257.5,27,5,0,59,0,0,0,0,0,0,0,1,0,0,1,268,0.098245614,0.064393939,24,17,24,26,17,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,6,0,0,4,0,4,0,4,23,4,undefined,undefined,1.802905644,1.5,0,0,0,5,0,75,20,20,6,0.925,1.04,77.92,25.01
22,F14a_sharethetraining_com,571,91,13,0,191,0,0,0,0,0,0,0,28,99,31,28,28,0,0,0,0,0,0,0,0,0,31,0,0,0,31,8,1.107142857,3.535714286,1.107142857,0,0,0,3.535714286,0,0,NaN,1,0,0,0,0,0,0,9,0,0,23,0,24,0,23,67,24,undefined,undefined,1.192739052,8.116,0,0,0,13,0,195,120,120,9,0.88,1.04,186.7,118.06
23,F14a_snapp_voice_communication_system,103,55,8,0,131,0,0,0,0,0,0,0,16,0,0,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,10,0,0,15,0,18,0,15,37,18,undefined,undefined,1.38877966,2.218,0,0,0,8,0,120,90,90,12,0.955,1.025,129.21,99.85
24,F14a_tipsure_com,266,80,8,0,185,0,0,0,0,0,0,0,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,14,0,0,1,0,1,0,1,79,1,undefined,undefined,1.479827535,0.73,0,0,0,8,0,120,5,5,9,0.855,1.025,113.05,12.27
25,F14a_women_at_work_website_redesign,140.5,39,8,0,102,0,0,0,0,0,0,0,11,27,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2.454545455,0,0,0,0,2.454545455,0,0,NaN,1,0,0,0,0,0,0,3,0,0,6,0,6,0,6,33,6,undefined,undefined,1.712683888,3.2,0,0,0,8,0,120,30,30,12,0.855,1.025,115.68,36.81
26,F15a_combat_conflict,1281,35,7,0,76,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,3,0,0,10,0,10,0,10,25,10,undefined,undefined,0.891412662,7.593,0,0,0,7,0,105,50,50,6,0.795,0.92,81.19,40.96
27,F15a_construction_meeting_minutes_application,1482.5,143,18,0,250,0,0,0,0,0,0,0,11,5,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.454545455,0,0,0,0,0.454545455,0,0,NaN,1,0,0,0,0,0,0,5,0,0,24,0,24,0,24,119,24,undefined,undefined,1.379603066,1.386,0,0,0,18,0,270,120,120,6,0.925,0.95,242.53,110.72
28,F15a_nice_ecommerse,617,125,24,0,262,0,0,0,0,0,0,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,5,0,0,25,0,30,0,25,95,30,undefined,undefined,0.93928736,5.129,0,0,0,24,0,360,150,150,9,0.805,1.025,304.47,131.19
29,F15a_tour_conductor,1347,34,8,0,83,0,0,0,0,0,0,0,9,21,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2.333333333,0,0,0,0,2.333333333,0,0,NaN,1,0,0,0,0,0,0,6,0,0,8,0,8,0,8,26,8,undefined,undefined,1.877501954,3.679,0,0,0,8,0,120,40,40,9,0.885,0.89,101.61,38.59
30,S15b_mission_science_irobots,759,52,10,0,125,0,0,0,0,0,0,0,14,3,16,14,14,0,0,0,0,0,0,0,0,0,20,0,0,0,16,1,1.142857143,0.214285714,1.428571429,0,0,0,0.214285714,0,0,NaN,1,0,0,0,0,0,0,5,0,0,10,0,10,0,10,42,10,undefined,undefined,1.907894687,12.263,0,0,0,10,0,150,50,50,6,0.865,1.175,158.55,56.92
31,s15b_snap_valet,302.5,199,11,0,294,0,0,0,0,0,0,0,11,48,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4.363636364,0,0,0,0,4.363636364,0,0,NaN,1,0,0,0,0,0,0,23,0,0,38,0,39,0,38,160,39,undefined,undefined,1.891492697,0.552,0,0,0,11,0,165,195,195,9,0.925,0.965,155.32,182.1
32,S15b_we_are_trojans_network,1965,163,9,0,198,0,0,0,0,0,0,0,34,139,197,34,34,0,0,0,0,0,0,0,0,0,197,0,0,0,197,8,5.794117647,4.088235294,5.794117647,0,0,0,4.088235294,0,0,NaN,1,0,0,0,0,0,0,11,0,0,23,0,23,0,23,140,23,undefined,undefined,1.24576598,6.415,0,0,0,9,0,135,115,115,9,0.935,0.935,125.89,108.4
33,s16b_combat_conflict,NA,35,7,0,76,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,3,0,0,10,0,10,0,10,25,10,undefined,undefined,NA,NA,0,0,0,7,0,105,50,50,0,0,0,0,0
