id,element,type,outbound_degree,inbound_degree,diagram,useCase
59,unauthorized error message,boundary,0,4,Edit case,Edit case
60,display information edit page,control,1,1,Edit case,Edit case
61,case,entity,0,1,Edit case,Edit case
62,case information page,boundary,1,4,Edit case,Edit case
63,validate role,control,3,2,Edit case,Edit case
64,query detail of a case,control,2,1,Edit case,Edit case
65,list of cases,boundary,1,3,Edit case,Edit case
66,Case Manager,actor,6,0,Edit case,Edit case
67,General staff,actor,3,0,Log an activity,Log an activity
68,Administrator,actor,3,0,Log an activity,Log an activity
69,insert activity into case,control,1,1,Log an activity,Log an activity
70,validate activity description,control,3,1,Log an activity,Log an activity
71,case information,entity,0,1,Log an activity,Log an activity
72,blank description error,boundary,0,6,Log an activity,Log an activity
73,activity description page,boundary,1,6,Log an activity,Log an activity
74,display activity description page,control,1,1,Log an activity,Log an activity
75,Add new button,boundary,1,5,Log an activity,Log an activity
76,Case Manager,actor,3,0,Log an activity,Log an activity
77,Printer,actor,0,1,Report generation,Report generation
78,print,control,1,1,Report generation,Report generation
79,report detail page,boundary,1,3,Report generation,Report generation
80,user,entity,0,1,Report generation,Report generation
81,document,entity,0,1,Report generation,Report generation
82,save report to db,control,4,1,Report generation,Report generation
83,input information invalid message,boundary,0,3,Report generation,Report generation
84,role,entity,0,1,Report generation,Report generation
85,Administrator,actor,5,0,Report generation,Report generation
86,validate input information for the report,control,2,1,Report generation,Report generation
87,display report generation page,control,1,1,Report generation,Report generation
88,case,entity,0,1,Report generation,Report generation
89,report generation page,boundary,1,4,Report generation,Report generation
90,unauthorized error message,boundary,0,4,Report generation,Report generation
91,validate role of user,control,3,1,Report generation,Report generation
92,Report button,boundary,1,3,Report generation,Report generation
93,Case Manager,actor,5,0,Report generation,Report generation
94,redirect to home page,control,1,1,Login,Login
95,Email protocol,actor,0,1,Login,Login
96,send verification code,control,1,1,Login,Login
97,home page,boundary,0,4,Login,Login
98,user information,entity,0,2,Login,Login
99,validation failed message,boundary,1,3,Login,Login
100,verification code input field,boundary,1,2,Login,Login
101,validate password,control,4,1,Login,Login
102,validate input information,control,2,1,Login,Login
103,Login Page,boundary,1,2,Login,Login
104,User,actor,5,0,Login,Login
105,User,entity,0,1,Create high-level user,Create high-level user
106,create user information page,boundary,1,2,Create high-level user,Create high-level user
107,validate input information,control,2,1,Create high-level user,Create high-level user
108,create user information page,control,2,1,Create high-level user,Create high-level user
109,information invalid message,boundary,0,2,Create high-level user,Create high-level user
110,role,entity,0,1,Create high-level user,Create high-level user
111,user management page,boundary,1,2,Create high-level user,Create high-level user
112,unauthorized error message,boundary,0,2,Create high-level user,Create high-level user
113,insert user info,control,1,1,Create high-level user,Create high-level user
114,validate role of user,control,3,1,Create high-level user,Create high-level user
115,User Management Button,boundary,1,1,Create high-level user,Create high-level user
116,User,actor,5,0,Create high-level user,Create high-level user
117,Case,entity,0,1,Create a youth user,Create a youth user
118,Email protocol,actor,0,1,Create a youth user,Create a youth user
119,User,entity,0,1,Create a youth user,Create a youth user
120,username and received password input,boundary,1,1,Create a youth user,Create a youth user
121,insert username and received password into DB,control,2,1,Create a youth user,Create a youth user
122,email password,control,1,1,Create a youth user,Create a youth user
123,case created success message,boundary,0,2,Create a youth user,Create a youth user
124,role,entity,0,1,Create a youth user,Create a youth user
125,generate a random password,boundary,1,2,Create a youth user,Create a youth user
126,unauthorized error message,boundary,0,2,Create a youth user,Create a youth user
127,create a case for the user,control,2,1,Create a youth user,Create a youth user
128,validate role of user,control,3,1,Create a youth user,Create a youth user
129,Create user button,boundary,1,1,Create a youth user,Create a youth user
130,Administrator,actor,5,0,Create a youth user,Create a youth user
131,display user information,control,1,1,Edit user,Edit user
132,save input user information,control,3,1,Edit user,Edit user
133,invalid input information error,boundary,0,2,Edit user,Edit user
134,User,entity,0,2,Edit user,Edit user
135,user information page,boundary,1,3,Edit user,Edit user
136,display user edit page,control,1,1,Edit user,Edit user
137,query user information,control,3,1,Edit user,Edit user
138,user edit page,boundary,1,2,Edit user,Edit user
139,role,entity,0,1,Edit user,Edit user
140,user management page,boundary,1,2,Edit user,Edit user
141,unauthorized error message,boundary,0,2,Edit user,Edit user
142,validate input user information,control,2,1,Edit user,Edit user
143,validate role of user,control,3,1,Edit user,Edit user
144,User Management Button,boundary,1,1,Edit user,Edit user
145,Administrator,actor,6,0,Edit user,Edit user
146,activation success message,boundary,0,2,Activate user,Activate user
147,activtate the user,control,2,1,Activate user,Activate user
148,user is already activated error,boundary,0,2,Activate user,Activate user
149,User,entity,0,2,Activate user,Activate user
150,check the status of user,control,3,1,Activate user,Activate user
151,role,entity,0,1,Activate user,Activate user
152,user management page,boundary,1,2,Activate user,Activate user
153,unauthorized error message,boundary,0,2,Activate user,Activate user
154,validate role of user,control,3,1,Activate user,Activate user
155,User management button,boundary,1,1,Activate user,Activate user
156,Administrator,actor,8,0,Activate user,Activate user
157,activation success message,boundary,0,2,Inactivate user,Inactivate user
158,inactivtate the user,control,2,1,Inactivate user,Inactivate user
159,user is already inactivated error,boundary,0,2,Inactivate user,Inactivate user
160,User,entity,0,1,Inactivate user,Inactivate user
161,check the status of user,control,2,1,Inactivate user,Inactivate user
162,role,entity,0,1,Inactivate user,Inactivate user
163,user management page,boundary,1,2,Inactivate user,Inactivate user
164,unauthorized error message,boundary,0,2,Inactivate user,Inactivate user
165,validate role of user,control,3,1,Inactivate user,Inactivate user
166,User management button,boundary,1,1,Inactivate user,Inactivate user
167,Administrator,actor,5,0,Inactivate user,Inactivate user
168,Case Manager,actor,5,0,Reset Password,Reset Password
169,case management page,boundary,0,3,Reset Password,Reset Password
170,reset new password,control,2,1,Reset Password,Reset Password
171,invalid answer for security question,boundary,0,3,Reset Password,Reset Password
172,User,entity,0,1,Reset Password,Reset Password
173,validate answer of security question,control,2,1,Reset Password,Reset Password
174,role,entity,0,1,Reset Password,Reset Password
175,reset page,boundary,1,3,Reset Password,Reset Password
176,unauthorized error message,boundary,0,3,Reset Password,Reset Password
177,validate role of user,control,3,1,Reset Password,Reset Password
178,Reset password button,boundary,1,2,Reset Password,Reset Password
179,Administrator,actor,5,0,Reset Password,Reset Password
180,Case manager,actor,5,0,Reset Security Questions,Reset Security Questions
181,case management page,boundary,0,3,Reset Security Questions,Reset Security Questions
182,save updated security questions,control,2,1,Reset Security Questions,Reset Security Questions
183,invalid security questions,boundary,0,3,Reset Security Questions,Reset Security Questions
184,Security questions,entity,0,1,Reset Security Questions,Reset Security Questions
185,validate typed in security questions,control,2,1,Reset Security Questions,Reset Security Questions
186,role,entity,0,1,Reset Security Questions,Reset Security Questions
187,security questions reset page,boundary,1,3,Reset Security Questions,Reset Security Questions
188,unauthorized error message,boundary,0,3,Reset Security Questions,Reset Security Questions
189,validate role of user,control,3,1,Reset Security Questions,Reset Security Questions
190,Reset security questions,boundary,1,2,Reset Security Questions,Reset Security Questions
191,Administrator,actor,5,0,Reset Security Questions,Reset Security Questions
192,load email template,control,2,1,Mass Email,Mass Email
193,email template,entity,0,1,Mass Email,Mass Email
194,Case manager,actor,5,0,Mass Email,Mass Email
195,General staff,actor,5,0,Mass Email,Mass Email
196,Email protocol,actor,0,1,Mass Email,Mass Email
197,find email address of the selected youth,control,2,1,Mass Email,Mass Email
198,Email sent success message,boundary,0,4,Mass Email,Mass Email
199,Add activities to case,control,3,1,Mass Email,Mass Email
200,unauthorized access error,boundary,0,4,Mass Email,Mass Email
201,Case,entity,0,1,Mass Email,Mass Email
202,send email,control,2,1,Mass Email,Mass Email
203,user,entity,0,1,Mass Email,Mass Email
204,send email page,boundary,1,4,Mass Email,Mass Email
205,unauthorized error message,boundary,0,4,Mass Email,Mass Email
206,validate role of user,control,2,1,Mass Email,Mass Email
207,User group list,boundary,1,3,Mass Email,Mass Email
208,Administrator,actor,5,0,Mass Email,Mass Email
