,Proj.,TRANS,TL,TL_SE,TD,TD_SE,DETs,DETs_SE,SWTIII,SWTII,SWTI,AFP,Effort
Pediatric_Trauma_Society_Research_Investigator_Databank _PTS_RID,42,43,5.38,0.82,2.08,0.52,1.79,0.9,58.05,38.11,33.69,518,99.8
S13b_PTS_RID,43,261,5.88,2.27,7.13,3.61,1.14,1.17,93.3,57.83,51.11,378,1072
S13b_SomaticsWeb_DataServices,44,163,6.06,1.9,6.21,2.44,3.59,3.36,109.82,82.8,73.19,35,541
S13b_United_Direct_Marketing,45,44,5.52,0.96,2.7,0.44,1.32,7.81,362.5,194.51,171.93,47,166
S14b_E-LockBox,46,155,5.57,1.87,4.18,1.81,1.16,1.11,191.7,128.8,113.85,743,550
S14b_Healthy_Kids_Zone_SurveyApp,47,172,5.54,1.94,4.36,1.78,1.51,1.14,317.58,194.51,171.93,871,950
S14b_JEP_Online_Platform,48,261,5.88,2.27,7.13,3.61,1.14,1.19,522.52,283.88,250.93,1123,1295.04
S14b_Lose4Good,49,217,6.29,2.26,5.66,2.91,2.13,1.41,628.36,304.91,269.51,1326,1810.32
S14b_Student_Scheduling_Systemb,50,96,4.45,1.38,3.89,1.38,1.25,0.93,134.73,98.57,87.13,516,193.84
S15b_mission_science_irobots,51,52,5.64,1.83,4.1,1.41,1.8,1.17,93.3,57.83,51.11,378,159
s15b_snap_valet,52,199,5.61,1.89,5.77,1.79,3.07,5.15,444.97,235.26,207.94,932,1302.5
S15b_we_are_trojans_network,53,163,6.06,1.9,6.21,2.44,3.59,7.81,362.5,194.51,171.93,888,1965
s16b_combat_conflict,54,35,4.29,1.53,4.73,1.76,0.29,0.46,53.3,40.74,36.01,199,169.2
S16b_flower_seeker,55,84,4.22,1.16,3.38,1.65,2.27,3.36,109.82,82.8,73.19,683,304.5
s16b_Picshare_AA,56,94,5.12,2.1,4.67,2.06,1.03,1.27,181.42,119.6,105.71,467,592
s16b_Picshare_RA,57,387,6.4,2.84,7.57,2.71,2.15,1.89,993.24,446.85,394.98,1871,3113
Web_based_product_configurator_and_data_service_system,58,44,5.52,0.96,2.7,0.44,1.32,0.75,61.41,40.74,36.01,228,73
Web_Media_Modernization_2012,59,28,5.32,0.95,3.66,0.99,0.74,0.73,30.93,24.97,22.07,196,90
XL_2,60,32,5.8,1.1,4.24,1.37,1.1,1.12,70.3,39.43,34.85,213,99
