NUM,PROJ,KSLOC,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Effort_Norm,Norm_Factor,KSLOC,Effort,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,Effort_Norm_UCP
8,S13b_United_Direct_Marketing,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN
3,S14b_JEP_Online_Platform,3.6,20,0,383,0,0,0,0,0,0,0,9,13,12,9,9,0,0,0,0,0,0,0,0,0,10,0,0,0,12,1,1.333333333,1.444444444,1.111111111,0,0,0,1.444444444,0,0,NaN,1,0,0,0,0,0,0,11,30,0,12,30,45,0,42,216,45,undefined,undefined,,NaN,NaN,3.6,1295.04,0,0,20,0,300,90,90,0,1,1,300,90,90,2610,3145,2444,NaN
11,S14b_Lose4Good.org_Database_Driven_Socially_Connected_Website,3,6,0,157,0,0,0,0,0,0,0,30,67,17,30,28,0.066666667,0.035714286,2,1,2,2,1,2,2,12,0,0,0,17,19,0.566666667,2.233333333,0.4,0,0,0,2.233333333,0,0,NaN,1,0,0,0,0,0,0,8,2,0,16,2,29,0,18,91,29,undefined,undefined,,NaN,NaN,3,1810.32,0,0,6,0,90,58,58,0,1,1,90,58,58,1200,1494,1182,NaN
14,S14b_Student_Scheduling_Systemb,7.776,12,0,183,0,0,0,0,0,0,0,19,28,31,19,47,0.040816327,0.021276596,2,1,2,2,1,2,2,0,0,0,0,31,5,1.631578947,1.473684211,0,0,0,0,1.473684211,0,0,NaN,1,0,0,0,0,0,0,8,0,0,31,0,33,0,31,63,33,undefined,undefined,,NaN,NaN,7.776,1393.84,0,0,12,0,180,66,66,0,1,1,180,66,66,960,1415,1132,NaN
7,S15b_mission_science_irobots,12.263,10,0,125,0,0,0,0,0,0,0,14,3,16,14,14,0,0,0,0,0,0,0,0,0,20,0,0,0,16,1,1.142857143,0.214285714,1.428571429,0,0,0,0.214285714,0,0,NaN,1,0,0,0,0,0,0,5,0,0,10,0,10,0,10,42,10,undefined,undefined,,2025.425627,1.907894687,12.263,759,0,0,10,0,150,20,20,6,0.865,1.175,158.55,26.43,26.43,520,780,624,1448.09
13,s15b_snap_valet,0.552,11,0,294,0,0,0,0,0,0,0,11,48,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4.363636364,0,0,0,0,4.363636364,0,0,NaN,1,0,0,0,0,0,0,23,0,0,38,0,39,0,38,160,39,undefined,undefined,,618.0960915,1.891492697,0.552,302.5,0,0,11,0,165,78,78,9,0.925,0.965,155.32,77.66,77.66,1990,2985,2388,572.18
17,S15b_we_are_trojans_network,6.415,9,0,198,0,0,0,0,0,0,0,34,139,197,34,34,0,0,0,0,0,0,0,0,0,197,0,0,0,197,8,5.794117647,4.088235294,5.794117647,0,0,0,4.088235294,0,0,NaN,1,0,0,0,0,0,0,11,0,0,23,0,23,0,23,140,23,undefined,undefined,,4531.585472,1.24576598,6.415,1965,0,0,9,0,135,46,46,9,0.935,0.935,125.89,48.08,48.08,1630,2445,1956,2447.93
1,s16_bad_driver,4.71,7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,2,0,1,53,2,undefined,undefined,,881.8199074,0.66942294,4.71,1392,0,0,7,0,105,4,4,12,1.135,1.25,165.99,22.7,22.7,550,825,660,931.84
4,s16b_combat_conflict,NA,7,0,76,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,3,0,0,10,0,10,0,10,25,10,undefined,undefined,,NA,NA,NA,NA,0,0,7,0,105,20,20,0,0,0,0,0,0,350,525,420,0
7,S16b_flower_seeker,7.365,16,0,186,0,0,0,0,0,0,0,49,221,77,49,49,0,0,0,0,0,0,0,0,0,168,0,0,0,77,26,1.571428571,4.510204082,3.428571429,0,0,0,4.510204082,0,0,NaN,1,0,0,0,0,0,0,5,0,0,37,0,46,0,37,38,46,undefined,undefined,,541.357253,0.68342754,7.365,804.5,0,0,16,0,240,92,92,9,0.89,1.025,227.15,92.14,92.14,840,851,640,549.82
5,s16b_Picshare_AA,8.209,24,0,221,0,0,0,0,0,0,0,1,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,1,0,0,0,0,94,0,0,0,94,undefined,undefined,,2993.783007,1.033628608,8.209,1592,0,0,24,0,360,227,227,6,0.94,0.875,301.03,191.64,191.64,940,1410,1128,1645.54
4,s16b_Picshare_RA,8.059,24,0,555,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,8,0,0,69,0,78,0,69,309,78,undefined,undefined,,5850.412248,1.033403704,8.059,3113,0,0,24,0,360,156,156,8,0.94,0.89,307.87,137.2,137.2,3870,5805,4644,3216.99
