,1 Bins,Effort,,1,2,3,4,5,6,Effort,Effort,,,,,,,,
f15a_ConstructionMeeting_MinutesApp,344.0924,62,f15a_ConstructionMeeting_MinutesApp,423.0179,216.96922,69.57637,33.509173,19.007326,5.629946,62,452,f15a_ConstructionMeeting_MinutesApp,343.8014,304.0055,169.49477,87.94104,64.60152,29.53494,62
f15a_Lingggo,156.4056,172,f15a_Lingggo,192.2809,193.05319,166.62051,140.178347,108.099545,78.722614,172,1872,f15a_Lingggo,156.2733,160.5239,162.78133,125.151,101.39303,74.63813,172
F15a_linggo,181.4305,172,F15a_linggo,223.0458,168.63318,111.59861,79.833356,79.932907,63.498931,172,1872,F15a_linggo,181.2771,169.5292,138.2274,89.57605,81.5942,70.82709,172
f15a_NICE,356.6048,163,f15a_NICE,438.4004,231.06039,89.73856,45.46088,27.741013,10.170733,163,1263,f15a_NICE,356.3032,317.2974,214.09989,115.16458,90.87061,47.48857,163
F15a_nice_ecommerse,700.6972,617,F15a_nice_ecommerse,861.4183,581.96947,306.6415,201.490423,141.449278,95.139506,617,617,F15a_nice_ecommerse,700.1046,653.299,560.10992,413.04132,381.06467,309.89167,617
F15a_tour_conductor,137.637,47,F15a_tour_conductor,169.2072,79.44519,30.9179,9.390404,6.295804,2.15378,47,1347,F15a_tour_conductor,137.5205,106.9574,76.1237,31.40068,22.67743,11.66954,47
f16a_Fuppy,237.7366,487,f16a_Fuppy,292.2669,188.69673,114.46427,65.024491,42.552094,25.912006,487,4087,f16a_Fuppy,237.5355,235.6683,208.89295,149.97222,126.85779,100.94175,487
f16a_GoGrrrlsApp,NA,1960,f16a_GoGrrrlsApp,NA,NA,NA,NA,NA,NA,1960,1960,f16a_GoGrrrlsApp,NA,NA,NA,NA,NA,NA,1960
f16a_Newlette_Coins,131.3807,147,f16a_Newlette_Coins,161.5159,177.77366,91.4701,69.370823,47.544791,26.838005,147,1407,f16a_Newlette_Coins,131.2696,132.0613,88.61869,59.46105,40.42112,23.77997,147
Improvementon_on_VITA_website,875.8715,1336,Improvementon_on_VITA_website,1076.7729,1082.08688,697.40269,533.448318,393.184532,234.638737,1336,336,Improvementon_on_VITA_website,875.1307,903.2313,779.73392,520.55522,409.4415,260.01632,1336
Improving_Thai_CDC,619.3663,363,Improving_Thai_CDC,761.4322,581.53015,391.91775,230.068848,173.116837,99.264989,363,363,Improving_Thai_CDC,618.8425,543.9331,430.39647,242.78425,192.68369,111.22095,363
Istartonmonday_com,262.7615,524,Istartonmonday_com,323.0319,298.46721,174.31972,122.506246,84.928535,54.018442,524,524,Istartonmonday_com,262.5392,253.4627,179.49674,113.60065,78.13406,50.05129,524
Leamos_TM,513.0105,948,Leamos_TM,630.6812,561.82293,341.79211,230.097721,186.425403,135.052013,948,948,Leamos_TM,512.5766,491.4081,412.92043,247.30075,238.70268,165.86939,948
LEMA_FAMILY_ACCOUNTABILITY_SYSTEM,513.0105,793,LEMA_FAMILY_ACCOUNTABILITY_SYSTEM,630.6812,561.82293,341.79211,230.097721,186.425403,135.052013,793,1793,LEMA_FAMILY_ACCOUNTABILITY_SYSTEM,512.5766,491.4081,412.92043,247.30075,238.70268,165.86939,793
LEMA_Pilot_School_Integrated_Scheduling_System,362.8611,349.81,LEMA_Pilot_School_Integrated_Scheduling_System,446.0916,346.14112,161.95821,96.405174,59.540244,30.441968,349.81,1049.81,LEMA_Pilot_School_Integrated_Scheduling_System,362.5542,324.2941,197.80273,110.12814,76.25002,41.10962,349.81
