Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
,,,Emulator module,,,,,,H,L,N,L,N,H,N,L,L,L,H,L,N,N,L,VH,N
,,,HLProgram,,,,,,H,L,L,L,N,N,N,L,L,N,H,N,N,N,L,VH,N
2,Fall 2014,f14a_tipsure_com,Web,L,H,N,H,N,,,,,,,,,,,,,,,,,
,,,Spider management module,,,,,,VH,H,H,H,N,N,N,L,H,N,VH,L,L,N,L,H,N
,,,Data Ingestion management module,,,,,,VH,H,H,H,N,N,VH,L,H,N,VH,L,L,N,L,H,N
,,,Social media management module,,,,,,VH,H,H,H,N,N,H,L,H,N,VH,L,L,N,L,H,N
8,Fall 2014,f14a_e_lock_box,Web,N,N/H,N,N,H,,,,,,,,,,,,,,,,,
,,,Case management,,,,,,H,N,N,H,N,N,N,L,N,N,VH,L,N,L,N,H,N
,,,User management,,,,,,H,N,N,H,N,N,N,L,N,N,VH,L,N,L,N,H,N
,,,Report generation,,,,,,H,N,N,H,N,N,N,L,N,N,VH,L,N,L,N,H,N
,,,Documentation management,,,,,,H,H,N,H,N,N,N,L,N,N,VH,L,N,L,N,H,N
9,Fall 2014,f14a_women_at_work_website_redesign,Web,H,L,N,N,N,,,,,,,,,,,,,,,,,
,,,Search module,,,,,,L,L,L,L,N,N,N,L,N,N,VH,H,N,H,L,VH,
,,,Mobile application module,,,,,,L,L,L,L,N,N,N,L,N,L,VH,VL,L,N,L,VH,
,,,Add business/form module,,,,,,L,L,L,L,N,N,N,L,N,N,VH,H,L,N,L,VH,
13,Fall 2014,f14a_mobile_application,Mobile,N,H,L,N,N,N,L,L,L,L,N,N,L,VH,VH,VL,H,N,H,H,VH,N
14,Fall 2014,f14a_women_at_work_website_redesign,Web,L,H,H,H,L,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,L,L,L,N,N,H,L,H,H,VH,N,N,N,H,XH,N
,,,Module 2,,,,,,L,L,L,L,N,N,N,L,H,H,VH,N,N,N,H,XH,N
,,,Module 3,,,,,,H,L,L,L,L,H,N,L,H,H,VH,N,H,H,H,XH,N
,,,Module 4,,,,,,L,L,L,N,L,H,N,L,H,H,VH,L,L,L,H,XH,N
,,,Module 5,,,,,,N,N,L,N,L,N,N,L,H,H,VH,N,N,H,H,XH,N
15,Fall 2014,f14a_gotria,Mobile,N,N,N,H,N,,,,,,,,,,,,,,,,,
,,,Class management module,,,,,,N,L,N,L,N,N,H,L,N,N,VL,N,N,N,N,VH,N
,,,Girls management module,,,,,,N,L,N,L,N,N,H,L,N,N,VL,N,N,N,N,VH,N
,,,Girls attendance management module,,,,,,N,L,N,L,N,N,H,L,N,N,VL,N,N,N,N,VH,N
,,,Volunteer attendance management module,,,,,,N,L,N,L,N,N,H,L,N,N,VL,N,N,N,N,VH,N
,,,Volunteer management module,,,,,,N,L,N,L,N,N,N,L,N,N,VL,N,N,N,N,VH,N
,,,Change password module,,,,,,N,L,H,L,N,N,N,L,N,N,VL,N,N,N,N,VH,N
,,,User management,,,,,,N,L,N,L,N,N,N,L,N,N,VL,N,N,N,N,VH,N
,,,Attendance check-in module,,,,,,N,L,N,L,N,N,N,L,N,N,VL,N,N,N,N,VH,N
,,,Profile management module,,,,,,N,L,N,L,N,N,N,L,N,N,VL,N,N,N,N,VH,N
1,Spring 2015,s15b_we_are_trojans_network,Web,H,H,N,H,N,,,,,,,,,,,,,,,,,
,,,Module 1,,,,,,N,L,N,N,N,N,N,N,H,H,VH,N,N,H,N,H,N
,,,Module 2,,,,,,N,N,N,L,N,N,VH,N,H,H,VH,N,N,H,N,H,N
,,,Module 3,,,,,,N,L,L,N,N,N,N,N,H,H,VH,N,N,H,N,H,N
,,,Module 4,,,,,,L,L,L,N,N,N,N,N,H,H,VH,N,N,H,N,H,N
,,,Module 5,,,,,,L,L,N,N,N,N,N,N,H,H,VH,N,N,H,N,H,N
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
