NUM,UC,UEUCW_EMP,UEUCW_ALY,UEXUCW_EMP,UEXUCW_ALY, Effort,Effort_ALY,CCSS_EMP,CCSS_ALY, EI_EMP,EI_ALY,EO_EMP,EO_ALY,EQ,EQ_ALY,FN,FN_ALY,DM, DM_ALY,INT,INT_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY
174,Algorithm,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
175,Increase Difficulty accordingly,undefined,15,undefined,3,undefined,0,undefined,0,undefined,3,undefined,0,undefined,0,undefined,0,undefined,3,undefined,0,undefined,3,undefined,0,undefined,0,undefined,3
176,Get Score,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
177,Render Battle scene,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
178,Render Army,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
179,Render Minimap,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
180,Use Weapon,undefined,15,undefined,2,undefined,0,undefined,0,undefined,2,undefined,0,undefined,0,undefined,0,undefined,2,undefined,0,undefined,2,undefined,0,undefined,0,undefined,2
181,Increase difficulty ,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
182,Update Screen,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
183,Change Weapon,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
184,Calculate score ,undefined,15,undefined,3,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,0,undefined,0,undefined,1
185,Navigate in VR Mode,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
186,Recording video of bad driving event,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
187,Query bad driver reporting DB,undefined,15,undefined,3,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,0,undefined,0,undefined,1
188,Post Bad Driver Report to Insurance DB,undefined,15,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0
189,Send Drunk Driver Alert,undefined,15,undefined,3,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,0,undefined,0,undefined,1
190,Upload video clip to bad driver recording DB,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
