name, startTime, endTime, size (kb),runTime(s), runTime, size(mb),0.975431508,,21348
f15a_CombatConflict_2019-9-18@1571435830472,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:01:45 GMT-0700 (Pacific Daylight Time),580.237,157.3607776,157360.7776,0.580237,,,
F14a_REFERsy_2019-9-18@1571435830464,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:01:45 GMT-0700 (Pacific Daylight Time),581.68,157.5100057,157510.0057,0.58168,,,
S15b_mission_science_irobots_2019-9-18@1571435830594,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:01:46 GMT-0700 (Pacific Daylight Time),582.779,157.4894225,157489.4225,0.582779,,,
f14a_cash_doctor_2019-9-18@1571435830459,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:01:46 GMT-0700 (Pacific Daylight Time),594.407,157.5746141,157574.6141,0.594407,,,
Web_based_product_configurator_and_data_service_system_2019-9-18@1571435830840,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:02:21 GMT-0700 (Pacific Daylight Time),628.397,177.4150943,177415.0943,0.628397,,,
SSAD_TRR_F16a_T02_V1.3_2019-9-18@1571435830818,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:02:21 GMT-0700 (Pacific Daylight Time),632.35,177.5385935,177538.5935,0.63235,,,
F13a_LA_Commons_upgradeof_website_2019-9-18@1571435830449,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:02:21 GMT-0700 (Pacific Daylight Time),639.088,177.8118925,177811.8925,0.639088,,,
S14b_ThrdPlace_Social_Networking_2019-9-18@1571435830580,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:02:21 GMT-0700 (Pacific Daylight Time),691.998,177.9794168,177979.4168,0.691998,,,
F14a_tipsure_com_2019-9-18@1571435830469,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:03:27 GMT-0700 (Pacific Daylight Time),737.72,215.3699257,215369.9257,0.73772,,,
Pediatric_Trauma_Society_Research_Investigator_Databank _PTS_RID_2019-9-18@1571435830558,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:03:28 GMT-0700 (Pacific Daylight Time),760.097,215.8147513,215814.7513,0.760097,,,
