id,element,type,outbound_degree,inbound_degree,diagram,useCase
69,Partner Info,entity,0,2,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
70,Change account state,control,5,2,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
71,Administrator,actor,3,0,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
72,Page of Partner Account can be suspended,boundary,3,3,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
73,Reactive failure,boundary,0,2,Reactive Partner Account,Reactive Partner Account
74,Reactive success,boundary,0,2,Reactive Partner Account,Reactive Partner Account
75,Partner data,entity,2,2,Reactive Partner Account,Reactive Partner Account
76,Reactive Partner,control,2,1,Reactive Partner Account,Reactive Partner Account
77,Display search result,control,1,2,Reactive Partner Account,Reactive Partner Account
78,Administrator,actor,3,0,Reactive Partner Account,Reactive Partner Account
79,Suspended Partners List,boundary,1,1,Reactive Partner Account,Reactive Partner Account
80,Error message popup,boundary,0,1,Delete Partner Account,Delete Partner Account
81,Display partner biling status page,control,2,1,Delete Partner Account,Delete Partner Account
82,Partner List,boundary,0,1,Delete Partner Account,Delete Partner Account
83,display partner list,control,1,1,Delete Partner Account,Delete Partner Account
84,Partner,actor,0,1,Delete Partner Account,Delete Partner Account
85,Display popup error message,control,2,2,Delete Partner Account,Delete Partner Account
86,Suspend Account,control,1,0,Delete Partner Account,Delete Partner Account
87,Display delete confirmation page,control,3,1,Delete Partner Account,Delete Partner Account
88,Delete confirmation page,boundary,1,2,Delete Partner Account,Delete Partner Account
89,Partner Info,entity,0,1,Delete Partner Account,Delete Partner Account
90,Delete Partner Account,control,1,1,Delete Partner Account,Delete Partner Account
91,Administrator,actor,2,0,Delete Partner Account,Delete Partner Account
92,Partner Biling Status Page,boundary,3,2,Delete Partner Account,Delete Partner Account
93,Display pritner failure message,control,1,1,View Transaction Log,View Transaction Log
94,Retrieve selected transactions,control,1,1,View Transaction Log,View Transaction Log
95,Transaction DB,entity,0,4,View Transaction Log,View Transaction Log
96,Dispute Redemption Page,boundary,0,1,View Transaction Log,View Transaction Log
97,Display connection error message,control,2,2,View Transaction Log,View Transaction Log
98,Display transactions,control,8,1,View Transaction Log,View Transaction Log
99,Direct to modify,control,3,1,View Transaction Log,View Transaction Log
100,Display no transactions message,control,1,1,View Transaction Log,View Transaction Log
101,Retrieve transactions,control,1,1,View Transaction Log,View Transaction Log
102,System message page,boundary,0,3,View Transaction Log,View Transaction Log
103,Retrieve and print,control,1,1,View Transaction Log,View Transaction Log
104,Administrator,actor,1,0,View Transaction Log,View Transaction Log
105,Transaction Log Page,boundary,2,1,View Transaction Log,View Transaction Log
106,Display locked account message,control,0,1,Admin Login,Admin Login
107,Display Home Page,control,1,1,Admin Login,Admin Login
108,Partner Info,entity,1,1,Admin Login,Admin Login
109,display partner list,control,1,1,Admin Login,Admin Login
110,Admin home page,boundary,0,2,Admin Login,Admin Login
111,Validate user,control,3,2,Admin Login,Admin Login
112,Display Password Reset Page,control,2,1,Admin Login,Admin Login
113,Enter username and password,control,2,1,Admin Login,Admin Login
114,Display Invalid Email Message,control,2,1,Admin Login,Admin Login
115,Display login page,control,1,0,Admin Login,Admin Login
116,Display Invalid Username Password Message,control,1,1,Admin Login,Admin Login
117,Admin password reset page,boundary,1,1,Admin Login,Admin Login
118,Enter email address,control,1,2,Admin Login,Admin Login
119,Administrator,actor,1,0,Admin Login,Admin Login
120,Admin Login Page,boundary,4,2,Admin Login,Admin Login
121,Partner,entity,0,1,Resolve Dispute,Resolve Dispute
122,Bills,entity,0,1,Resolve Dispute,Resolve Dispute
123,Resolve Dispute page,boundary,3,2,Resolve Dispute,Resolve Dispute
124,Selects Dispute,control,1,1,Resolve Dispute,Resolve Dispute
125,ErrorController,control,1,1,Resolve Dispute,Resolve Dispute
126,Dispute,entity,0,2,Resolve Dispute,Resolve Dispute
127,ApproveDisputeController,control,4,1,Resolve Dispute,Resolve Dispute
128,Display Error Page,boundary,0,1,Resolve Dispute,Resolve Dispute
129,FetchDisputeController,control,3,3,Resolve Dispute,Resolve Dispute
130,View Redemption Statistics for Partner,control,0,1,Resolve Dispute,Resolve Dispute
131,View Partneer Billing Status,control,0,1,Resolve Dispute,Resolve Dispute
132,Display Success Page,boundary,0,1,Resolve Dispute,Resolve Dispute
133,EmailNotificationController,control,1,1,Resolve Dispute,Resolve Dispute
134,Administrator,actor,2,0,Resolve Dispute,Resolve Dispute
135,Dispute Redemption Page,boundary,3,2,Resolve Dispute,Resolve Dispute
136,Fail to connect internet page,boundary,0,1,Receive Coupon,Receive Coupon - Android
137,Coupon Retrieve Page,boundary,1,1,Receive Coupon,Receive Coupon - Android
138,Ad server,actor,1,0,Receive Coupon,Receive Coupon - Android
139,Server Partner - coupon database,entity,0,1,Receive Coupon,Receive Coupon - Android
140,Retrieve specific partner's coupon information,control,2,1,Receive Coupon,Receive Coupon - Android
141,Local coupon database,entity,0,1,Receive Coupon,Receive Coupon - Android
142,Save it later,control,1,1,Receive Coupon,Receive Coupon - Android
143,Cancel,control,0,1,Receive Coupon,Receive Coupon - Android
144,Geo fence,control,3,3,Receive Coupon,Receive Coupon - Android
145,check internet,control,3,1,Receive Coupon,Receive Coupon - Android
146,Redeem,control,0,1,Receive Coupon,Receive Coupon - Android
147,Coupon Notification Popup Window,boundary,3,4,Receive Coupon,Receive Coupon - Android
148,Check GPS,control,2,1,Receive Coupon,Receive Coupon - Android
149,Employee,actor,3,0,Receive Coupon,Receive Coupon - Android
150,GPS not work page,boundary,0,1,Receive Coupon,Receive Coupon - Android
151,Sort coupons from far to close,control,1,1,Save it for later,Save it for later
152,Categories,entity,0,1,Save it for later,Save it for later
153,Add coupon into category,control,1,1,Save it for later,Save it for later
154,Category list,boundary,1,3,Save it for later,Save it for later
155,Random coupoon pool,entity,0,1,Save it for later,Save it for later
156,Choose a category or not,control,4,1,Save it for later,Save it for later
157,Create a category,control,1,2,Save it for later,Save it for later
158,User,actor,1,0,Save it for later,Save it for later
159,Coupon receiving page,boundary,1,1,Save it for later,Save it for later
160,Remove coupon,control,2,0,View stored coupons,View stored coupons - Android
161,Show details,boundary,1,3,View stored coupons,View stored coupons - Android
162,Coupons,entity,0,3,View stored coupons,View stored coupons - Android
163,Redeem coupon,control,0,1,View stored coupons,View stored coupons - Android
164,Dispute,entity,1,0,View stored coupons,View stored coupons - Android
165,Verify coupon,control,2,1,View stored coupons,View stored coupons - Android
166,Show coupons,boundary,1,2,View stored coupons,View stored coupons - Android
167,Get coupons list,control,4,1,View stored coupons,View stored coupons - Android
168,User,actor,1,0,View stored coupons,View stored coupons - Android
169,Originating page,boundary,1,1,View stored coupons,View stored coupons - Android
170,Scan QR Code,control,1,1,Redeem Coupon,Redeem Coupon - Android
171,Input Coupon Code ID,control,1,1,Redeem Coupon,Redeem Coupon - Android
172,Redeem Coupon Page,boundary,2,1,Redeem Coupon,Redeem Coupon - Android
173,Click Redeem Button,boundary,1,2,Redeem Coupon,Redeem Coupon - Android
174,Remove,control,1,1,Redeem Coupon,Redeem Coupon - Android
175,Admin Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - Android
176,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - Android
177,Database,entity,1,0,Redeem Coupon,Redeem Coupon - Android
178,Display redeemed coupon page,control,2,1,Redeem Coupon,Redeem Coupon - Android
179,Redeemed coupon record page,boundary,0,3,Redeem Coupon,Redeem Coupon - Android
180,Enter Username and password,control,2,1,Redeem Coupon,Redeem Coupon - Android
181,User,actor,3,0,Redeem Coupon,Redeem Coupon - Android
182,Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - Android
183,Login page,boundary,0,1,Connect to trip plan,Connect to trip plan - Android
184,Verify user's session,control,2,2,Connect to trip plan,Connect to trip plan - Android
185,Show trip plans page,boundary,1,2,Connect to trip plan,Connect to trip plan - Android
186,users' database table,entity,1,1,Connect to trip plan,Connect to trip plan - Android
187,Trip plans database table,entity,1,0,Connect to trip plan,Connect to trip plan - Android
188,Collect information,control,1,3,Connect to trip plan,Connect to trip plan - Android
189,View trip plans,control,1,1,Connect to trip plan,Connect to trip plan - Android
190,User,actor,1,0,Connect to trip plan,Connect to trip plan - Android
191,Previous Page,boundary,1,1,Connect to trip plan,Connect to trip plan - Android
192,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android
193,Create account page,boundary,1,2,Login to tripplanner,Login to tripplanner - Android
194,display,control,1,1,Login to tripplanner,Login to tripplanner - Android
195,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android
196,Account,entity,2,1,Login to tripplanner,Login to tripplanner - Android
197,display,control,1,1,Login to tripplanner,Login to tripplanner - Android
198,Create an account,control,1,1,Login to tripplanner,Login to tripplanner - Android
199,start auth session,control,1,1,Login to tripplanner,Login to tripplanner - Android
200,display,control,1,1,Login to tripplanner,Login to tripplanner - Android
201,Email password,control,1,1,Login to tripplanner,Login to tripplanner - Android
202,Retrieve account info,control,2,1,Login to tripplanner,Login to tripplanner - Android
203,display,control,1,1,Login to tripplanner,Login to tripplanner - Android
204,Account,entity,2,1,Login to tripplanner,Login to tripplanner - Android
205,Login main page,boundary,3,4,Login to tripplanner,Login to tripplanner - Android
206,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android
207,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android
208,Main page,boundary,1,1,Login to tripplanner,Login to tripplanner - Android
209,Start auth session,control,1,1,Login to tripplanner,Login to tripplanner - Android
210,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android
211,Previous page (any page),boundary,0,1,Login to tripplanner,Login to tripplanner - Android
212,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android
213,Display,control,1,2,Login to tripplanner,Login to tripplanner - Android
214,Account,entity,1,1,Login to tripplanner,Login to tripplanner - Android
215,Traveler,actor,2,0,Login to tripplanner,Login to tripplanner - Android
216,Retrieve account info,control,1,1,Login to tripplanner,Login to tripplanner - Android
217,Forget password page,boundary,2,1,Login to tripplanner,Login to tripplanner - Android
218,display,control,1,1,Login to tripplanner,Login to tripplanner - Android
219,Previous page,boundary,0,2,Login to tripplanner,Login to tripplanner - Android
220,Fail to connect internet page,boundary,0,1,Receive Coupon,Receive Coupon - iOS
221,Coupon Retrieve Page,boundary,1,1,Receive Coupon,Receive Coupon - iOS
222,Ad server,actor,1,0,Receive Coupon,Receive Coupon - iOS
223,Server Partner - coupon database,entity,0,1,Receive Coupon,Receive Coupon - iOS
224,Retrieve specific partner's coupon information,control,2,1,Receive Coupon,Receive Coupon - iOS
225,Local coupon database,entity,0,1,Receive Coupon,Receive Coupon - iOS
226,Save it later,control,1,1,Receive Coupon,Receive Coupon - iOS
227,Cancel,control,0,1,Receive Coupon,Receive Coupon - iOS
228,Geo fence,control,1,2,Receive Coupon,Receive Coupon - iOS
229,check internet,control,3,1,Receive Coupon,Receive Coupon - iOS
230,Redeem,control,0,1,Receive Coupon,Receive Coupon - iOS
231,Coupon Notification Popup Window,boundary,3,4,Receive Coupon,Receive Coupon - iOS
232,Check GPS,control,2,1,Receive Coupon,Receive Coupon - iOS
233,Employee,actor,3,0,Receive Coupon,Receive Coupon - iOS
234,GPS not work page,boundary,0,1,Receive Coupon,Receive Coupon - iOS
235,Login page,boundary,0,1,Connect to trip plan,Connect to trip plan - iOS
236,Verify user's session,control,2,2,Connect to trip plan,Connect to trip plan - iOS
237,Show trip plans page,boundary,0,1,Connect to trip plan,Connect to trip plan - iOS
238,users' database table,entity,1,0,Connect to trip plan,Connect to trip plan - iOS
239,Trip plans database table,entity,1,0,Connect to trip plan,Connect to trip plan - iOS
240,Collect information,control,1,2,Connect to trip plan,Connect to trip plan - iOS
241,View trip plans,control,1,1,Connect to trip plan,Connect to trip plan - iOS
242,User,actor,1,0,Connect to trip plan,Connect to trip plan - iOS
243,Previous Page,boundary,1,1,Connect to trip plan,Connect to trip plan - iOS
244,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS
245,Create account page,boundary,1,2,Login to tripplanner,Login to tripplanner - iOS
246,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS
247,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS
248,Account,entity,2,1,Login to tripplanner,Login to tripplanner - iOS
249,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS
250,Create an account,control,1,1,Login to tripplanner,Login to tripplanner - iOS
251,start auth session,control,1,1,Login to tripplanner,Login to tripplanner - iOS
252,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS
253,Email password,control,1,1,Login to tripplanner,Login to tripplanner - iOS
254,Retrieve account info,control,2,1,Login to tripplanner,Login to tripplanner - iOS
255,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS
256,Account,entity,2,1,Login to tripplanner,Login to tripplanner - iOS
257,Login main page,boundary,3,4,Login to tripplanner,Login to tripplanner - iOS
258,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS
259,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS
260,Main page,boundary,1,1,Login to tripplanner,Login to tripplanner - iOS
261,Start auth session,control,1,1,Login to tripplanner,Login to tripplanner - iOS
262,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS
263,Previous page (any page),boundary,0,1,Login to tripplanner,Login to tripplanner - iOS
264,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS
265,Display,control,1,2,Login to tripplanner,Login to tripplanner - iOS
266,Account,entity,1,1,Login to tripplanner,Login to tripplanner - iOS
267,Traveler,actor,2,0,Login to tripplanner,Login to tripplanner - iOS
268,Retrieve account info,control,1,1,Login to tripplanner,Login to tripplanner - iOS
269,Forget password page,boundary,2,1,Login to tripplanner,Login to tripplanner - iOS
270,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS
271,Previous page,boundary,0,2,Login to tripplanner,Login to tripplanner - iOS
272,Scan QR Code,control,1,1,Redeem Coupon,Redeem Coupon - iOS
273,Input Coupon Code ID,control,1,1,Redeem Coupon,Redeem Coupon - iOS
274,Redeem Coupon Page,boundary,2,1,Redeem Coupon,Redeem Coupon - iOS
275,Click Redeem Button,boundary,1,2,Redeem Coupon,Redeem Coupon - iOS
276,Remove,control,0,1,Redeem Coupon,Redeem Coupon - iOS
277,Admin Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - iOS
278,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - iOS
279,Database,entity,1,0,Redeem Coupon,Redeem Coupon - iOS
280,Display redeemed coupon page,control,1,1,Redeem Coupon,Redeem Coupon - iOS
281,Redeemed coupon record page,boundary,0,3,Redeem Coupon,Redeem Coupon - iOS
282,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - iOS
283,User,actor,3,0,Redeem Coupon,Redeem Coupon - iOS
284,Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - iOS
285,Sort coupons from far to close,control,1,1,Save it for lateer,Save it for lateer
286,Categories,entity,0,1,Save it for lateer,Save it for lateer
287,Add coupon into category,control,1,1,Save it for lateer,Save it for lateer
288,Category list,boundary,1,2,Save it for lateer,Save it for lateer
289,Random coupoon pool,entity,0,1,Save it for lateer,Save it for lateer
290,Choose a category or not,control,3,1,Save it for lateer,Save it for lateer
291,Create a category,control,1,1,Save it for lateer,Save it for lateer
292,User,actor,1,0,Save it for lateer,Save it for lateer
293,Coupon receiving page,boundary,1,1,Save it for lateer,Save it for lateer
294,Remove coupon,control,2,0,View stored coupons,View stored coupons - iOS
295,Show details,boundary,1,3,View stored coupons,View stored coupons - iOS
296,Coupons,entity,0,3,View stored coupons,View stored coupons - iOS
297,Redeem coupon,control,0,1,View stored coupons,View stored coupons - iOS
298,Dispute,entity,1,0,View stored coupons,View stored coupons - iOS
299,Verify coupon,control,2,1,View stored coupons,View stored coupons - iOS
300,Show coupons,boundary,1,1,View stored coupons,View stored coupons - iOS
301,Get coupons list,control,2,1,View stored coupons,View stored coupons - iOS
302,User,actor,1,0,View stored coupons,View stored coupons - iOS
303,Originating page,boundary,1,1,View stored coupons,View stored coupons - iOS
304,Invoke design coupon use case,boundary,0,1,Modify Offer,Modify Offer
305,Enter offer's new values,boundary,0,1,Modify Offer,Modify Offer
306,Modify offer page,boundary,3,1,Modify Offer,Modify Offer
307,Modify Offer,control,1,1,Modify Offer,Modify Offer
308,Edit Offer,control,1,1,Modify Offer,Modify Offer
309,Offer,entity,0,1,Modify Offer,Modify Offer
310,Offers Page,boundary,1,1,Modify Offer,Modify Offer
311,FTSR,actor,1,0,Modify Offer,Modify Offer
312,Email user reset password confirmation email,control,0,1,Partner Login,Partner Login
313,Display reset password dialog,control,1,1,Partner Login,Partner Login
314,System Database,entity,1,1,Partner Login,Partner Login
315,Query database with username and password,control,1,2,Partner Login,Partner Login
316,Is a match found?,control,3,1,Partner Login,Partner Login
317,Display error message,control,0,1,Partner Login,Partner Login
318,Enter username and password,control,1,1,Partner Login,Partner Login
319,Display Partner Login,control,1,0,Partner Login,Partner Login
320,Partner Portal,boundary,0,2,Partner Login,Partner Login
321,Partner Login,boundary,2,2,Partner Login,Partner Login
322,User,actor,2,0,Partner Login,Partner Login
323,Display Home Page(Designed by other part),control,0,1,Buy Partner Subscription,Buy Partner Subscription
324,Buy Success Page,boundary,1,2,Buy Partner Subscription,Buy Partner Subscription
325,Display Buy My Subscription Success Page,control,1,1,Buy Partner Subscription,Buy Partner Subscription
326,Subscription,entity,1,1,Buy Partner Subscription,Buy Partner Subscription
327,Marked as Subscirpted,control,1,1,Buy Partner Subscription,Buy Partner Subscription
328,Buy Subscription Comfirmation Page,boundary,1,2,Buy Partner Subscription,Buy Partner Subscription
329,Display Subscription Comfirmation Page,control,1,1,Buy Partner Subscription,Buy Partner Subscription
330,Buy Subscription Page(1),boundary,1,2,Buy Partner Subscription,Buy Partner Subscription
331,Display Subscription Page(2),control,1,1,Buy Partner Subscription,Buy Partner Subscription
332,Buy Subscription Page(1),boundary,1,1,Buy Partner Subscription,Buy Partner Subscription
333,Business Parter,actor,4,0,Buy Partner Subscription,Buy Partner Subscription
334,Auto publish reschedule,control,1,0,Publish Offer,Publish Offer
335,Display modify error,control,0,1,Publish Offer,Publish Offer
336,Add Server,actor,1,0,Publish Offer,Publish Offer
337,Publish offer,control,0,2,Publish Offer,Publish Offer
338,Check validate,control,2,1,Publish Offer,Publish Offer
339,offer details,boundary,1,3,Publish Offer,Publish Offer
340,Offers,entity,1,0,Publish Offer,Publish Offer
341,Retrieve offers,control,1,2,Publish Offer,Publish Offer
342,Display offer,control,2,1,Publish Offer,Publish Offer
343,Dispaly Error Msg,control,0,1,Publish Offer,Publish Offer
344,offers pages,boundary,1,1,Publish Offer,Publish Offer
345,FTSR,actor,2,0,Publish Offer,Publish Offer
346,Coupon Invalid,boundary,1,1,Test Coupon,Test Coupon
347,Coupon Redeemed,boundary,1,1,Test Coupon,Test Coupon
348,Coupon Validator,control,1,2,Test Coupon,Test Coupon
349,FT,actor,3,0,Test Coupon,Test Coupon
350,Coupon Database,entity,0,2,Test Coupon,Test Coupon
351,Redeem Coupon,control,1,1,Test Coupon,Test Coupon
352,Coupon Page,boundary,2,1,Test Coupon,Test Coupon
353,Open Coupon Page,control,0,1,Test Coupon,Test Coupon
354,Save coupon for later,control,1,1,Test Coupon,Test Coupon
355,Partner's Mobile,entity,1,2,Test Coupon,Test Coupon
356,Generate Test Coupon,control,1,1,Test Coupon,Test Coupon
357,Test Coupon,entity,1,0,Test Coupon,Test Coupon
358,Display Home Page,control,0,1,Cancel Partner Subscription,Cancel Partner Subscription
359,Cancel Subscription Success Page,boundary,1,2,Cancel Partner Subscription,Cancel Partner Subscription
360,Subscription,entity,0,1,Cancel Partner Subscription,Cancel Partner Subscription
361,Display Success Page,control,1,1,Cancel Partner Subscription,Cancel Partner Subscription
362,Marked as Canceled,control,2,1,Cancel Partner Subscription,Cancel Partner Subscription
363,Cancel Subscription Comfirmation Page,boundary,2,2,Cancel Partner Subscription,Cancel Partner Subscription
364,Display Comfirmation Page,control,1,1,Cancel Partner Subscription,Cancel Partner Subscription
365,Display Cancel Sub page,control,0,1,Cancel Partner Subscription,Cancel Partner Subscription
366,Cancel Subscription Page,boundary,1,1,Cancel Partner Subscription,Cancel Partner Subscription
367,Business Partner,actor,3,0,Cancel Partner Subscription,Cancel Partner Subscription
368,Cancel Button,boundary,0,2,Upload Image,Upload Image
369,Display Image in Coupon Image,control,1,1,Upload Image,Upload Image
370,Open Button,boundary,1,1,Upload Image,Upload Image
371,Select the Image file,boundary,0,2,Upload Image,Upload Image
372,File Chooser Windows,control,2,1,Upload Image,Upload Image
373,Upload Image button,boundary,1,1,Upload Image,Upload Image
374,Design Coupon screen,boundary,0,2,Upload Image,Upload Image
375,User,actor,5,0,Upload Image,Upload Image
376,Error Message,boundary,0,1,Design Coupon,Design Coupon
377,access,control,1,1,Design Coupon,Design Coupon
378,External Image Service,actor,0,1,Design Coupon,Design Coupon
379,Third Party Client,actor,1,0,Design Coupon,Design Coupon
380,Coupon,entity,0,2,Design Coupon,Design Coupon
381,Coupon Templates,entity,0,1,Design Coupon,Design Coupon
382,Offers,entity,1,0,Design Coupon,Design Coupon
383,Retrieves,control,1,2,Design Coupon,Design Coupon
384,Upload Image,control,1,1,Design Coupon,Design Coupon
385,Test,control,0,1,Design Coupon,Design Coupon
386,Save,control,1,1,Design Coupon,Design Coupon
387,Coupon Designer,boundary,5,1,Design Coupon,Design Coupon
388,Edit,control,1,1,Design Coupon,Design Coupon
389,Business Partner,actor,1,0,Design Coupon,Design Coupon
390,Offers database,entity,0,1,Create Offer,Create Offer
391,Create offer,control,1,1,Create Offer,Create Offer
392,Create Geo-fence,control,1,1,Create Offer,Create Offer
393,Process,control,1,4,Create Offer,Create Offer
394,Design Coupon Page,boundary,1,3,Create Offer,Create Offer
395,Create Geo-fence page,boundary,1,2,Create Offer,Create Offer
396,Create offer page 2,boundary,1,2,Create Offer,Create Offer
397,Display error message,control,2,3,Create Offer,Create Offer
398,Create Offer Page 1,boundary,1,1,Create Offer,Create Offer
399,Design coupon,control,2,2,Create Offer,Create Offer
400,Link offers,control,1,2,Create Offer,Create Offer
401,Proceed,control,4,1,Create Offer,Create Offer
