id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff,Complexity
19,stl#User:edit  one/more sacrifices ->User:edit  one/more sacrifices ->edit  one/more sacrifices :edit the sacrifices to the database ->edit the sacrifices to the database :display the sacrifices for a task->display the sacrifices for a task:edit  one/more sacrifices ->edit  one/more sacrifices :edit the sacrifices to the database ,Add sacrifices,CTRL,6,15,NaN,undefined,NaN,2
20,stl#User:edit  one/more sacrifices ->User:edit  one/more sacrifices ->edit  one/more sacrifices :edit the sacrifices to the database ->edit the sacrifices to the database :display the sacrifices for a task->display the sacrifices for a task:Homepage,Add sacrifices,CTRL;EXTCLL;INT,5,10,NaN,undefined,NaN,14
21,stl#User:edit  one/more sacrifices ->User:edit  one/more sacrifices ->edit  one/more sacrifices :edit the sacrifices to the database ->edit the sacrifices to the database :Sacrifices db,Add sacrifices,CTRL,4,9,NaN,undefined,NaN,6
22,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Task db,Add tasks in ttBox,TRAN_NA,5,9,NaN,undefined,NaN,14
23,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ,Add tasks in ttBox,TRAN_NA,7,14,NaN,undefined,NaN,8
24,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:Task db,Add tasks in ttBox,TRAN_NA,6,10,NaN,undefined,NaN,16
25,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:Homepage,Add tasks in ttBox,TRAN_NA,6,10,NaN,undefined,NaN,3
26,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Homepage,Add tasks in ttBox,TRAN_NA,5,9,NaN,undefined,NaN,5
27,stl#User:Add status page->User:Add status page->Add status page:Add status information->Add status information:Show confirmation->Show confirmation:Status db,Add/Update Status,CTRL,5,13,NaN,undefined,NaN,8
28,stl#User:Add status page->User:Add status page->Add status page:Add status information->Add status information:Show confirmation->Show confirmation:Homepage,Add/Update Status,CTRL;EXTCLL;INT,5,10,NaN,undefined,NaN,4
29,stl#User:Add status page->User:Add status page->Add status page:Add status information->Add status information:Show confirmation->Show confirmation:Add status page->Add status page:Add status information,Add/Update Status,CTRL,6,17,NaN,undefined,NaN,15
30,stl#User:clicks on ��Add/edit status�� button->User:clicks on ��Add/edit status�� button->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech->enter user status message  and  choose Motto or Free Speech:status message will be displayed ->status message will be displayed :clicks on ��Add/edit status�� button->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech,Add/Update Status,CTRL,6,8,NaN,undefined,NaN,4
31,stl#User:clicks on ��Add/edit status�� button->User:clicks on ��Add/edit status�� button->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech->enter user status message  and  choose Motto or Free Speech:status message will be displayed ->status message will be displayed :Homepage,Add/Update Status,CTRL;EXTCLL;INT,5,7,NaN,undefined,NaN,3
32,stl#User:clicks on ��Add/edit status�� button->User:clicks on ��Add/edit status�� button->clicks on ��Add/edit status�� button:enter user status message  and  choose Motto or Free Speech->enter user status message  and  choose Motto or Free Speech:status db,Add/Update Status,CTRL,4,6,NaN,undefined,NaN,8
33,stl#User:Edit sacrifices page->User:Edit sacrifices page->Edit sacrifices page:Edit scacirfices infrormation->Edit scacirfices infrormation:Show confirmation->Show confirmation:Sacrifices db,Edit sacrifices,CTRL,5,10,NaN,undefined,NaN,1
34,stl#User:Edit sacrifices page->User:Edit sacrifices page->Edit sacrifices page:Edit scacirfices infrormation->Edit scacirfices infrormation:Show confirmation->Show confirmation:Homepage,Edit sacrifices,CTRL;EXTCLL;INT,5,8,NaN,undefined,NaN,15
35,stl#User:Edit sacrifices page->User:Edit sacrifices page->Edit sacrifices page:Edit scacirfices infrormation->Edit scacirfices infrormation:Show confirmation->Show confirmation:Edit sacrifices page->Edit sacrifices page:Edit scacirfices infrormation,Edit sacrifices,CTRL,6,13,NaN,undefined,NaN,10
36,stl#User:Edit setting page->User:Edit setting page->Edit setting page:Edit settings->Edit settings:Show confirmation->Show confirmation:Homepage,Edit settings,CTRL;EXTCLL;INT,5,14,NaN,undefined,NaN,6
37,stl#User:Edit task page->User:Edit task page->Edit task page:Edit task page->Edit task page:Show confirmation page->Show confirmation page:task db,Edit tasks from ttBox,TRAN_NA,5,4,NaN,undefined,NaN,9
38,stl#User:Edit task page->User:Edit task page->Edit task page:Edit task page->Edit task page:Show confirmation page->Show confirmation page:Homepage,Edit tasks from ttBox,TRAN_NA,5,4,NaN,undefined,NaN,13
39,stl#User:Edit task page->User:Edit task page->Edit task page:Edit task page->Edit task page:Show confirmation page->Show confirmation page:Edit task page->Edit task page:Edit task page,Edit tasks from ttBox,TRAN_NA,6,5,NaN,undefined,NaN,7
40,stl#User:choose to edit  an already existing task->User:choose to edit  an already existing task->choose to edit  an already existing task:show confirmation page->show confirmation page:Homepage,Edit tasks from ttBox,TRAN_NA,4,8,NaN,undefined,NaN,1
41,stl#User:choose to edit  an already existing task->User:choose to edit  an already existing task->choose to edit  an already existing task:Task db,Edit tasks from ttBox,CTRL,3,7,NaN,undefined,NaN,5
42,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ,Edit tasks from ttBox,TRAN_NA,7,11,NaN,undefined,NaN,5
43,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:Task db,Edit tasks from ttBox,TRAN_NA,6,10,NaN,undefined,NaN,13
44,stl#User:enters upto 5 tasks page->User:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:Homepage,Edit tasks from ttBox,TRAN_NA,6,10,NaN,undefined,NaN,13
45,stl#User:choose to edit or alter an already existing task->User:choose to edit or alter an already existing task->choose to edit or alter an already existing task:show confirmation page->show confirmation page:Homepage,Edit tasks from ttBox,TRAN_NA,4,8,NaN,undefined,NaN,11
46,stl#User:choose to edit or alter an already existing task->User:choose to edit or alter an already existing task->choose to edit or alter an already existing task:Task db,Edit tasks from ttBox,CTRL,3,7,NaN,undefined,NaN,8
47,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:enters upto 5 tasks page,Edit tasks from ttBox,TRAN_NA,8,14,NaN,undefined,NaN,2
48,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:Task db,Edit tasks from ttBox,TRAN_NA,8,14,NaN,undefined,NaN,4
49,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:display tasks page->display tasks page:Homepage,Edit tasks from ttBox,TRAN_NA,8,14,NaN,undefined,NaN,9
50,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Task db,Edit tasks from ttBox,TRAN_NA,7,13,NaN,undefined,NaN,7
51,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:Task db,Edit tasks from ttBox,TRAN_NA,8,14,NaN,undefined,NaN,16
52,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:enters upto 5 tasks page->enters upto 5 tasks page:entered tasks will be displayed in the ttBox ->entered tasks will be displayed in the ttBox :user will be prompted to enter sacrifices->user will be prompted to enter sacrifices:Show confirmation->Show confirmation:Homepage,Edit tasks from ttBox,TRAN_NA,8,14,NaN,undefined,NaN,2
53,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:Task db,Edit tasks from ttBox,TRAN_NA,4,8,NaN,undefined,NaN,5
54,stl#User: choose to edit or alter an already existing task->User: choose to edit or alter an already existing task-> choose to edit or alter an already existing task:display tasks page->display tasks page:Homepage,Edit tasks from ttBox,TRAN_NA,4,8,NaN,undefined,NaN,2
55,stl#User:Login page->User:Login page->Login page:Validate usename and password->Validate usename and password:Display confirmation->Display confirmation:Login page->Login page:Validate usename and password,Login,TRAN_NA,6,11,NaN,undefined,NaN,7
56,stl#User:Login page->User:Login page->Login page:Validate usename and password->Validate usename and password:Display confirmation->Display confirmation:Homepage,Login,TRAN_NA,5,7,NaN,undefined,NaN,5
57,stl#User:Logout page->User:Logout page->Logout page:Validate usename and password ->Validate usename and password :End the session->End the session:Show confirmation page->Show confirmation page:Logout page->Logout page:Validate usename and password ,Logout,TRAN_NA,7,12,NaN,undefined,NaN,8
58,stl#User:Logout page->User:Logout page->Logout page:Validate usename and password ->Validate usename and password :End the session->End the session:Show confirmation page->Show confirmation page:Homepage,Logout,TRAN_NA,6,8,NaN,undefined,NaN,7
59,stl#User:clicks on ��Upload Personal Legend��->User:clicks on ��Upload Personal Legend��->clicks on ��Upload Personal Legend��:check whether the syntax entered is that of an URL or not.->check whether the syntax entered is that of an URL or not.:update the path in the database.->update the path in the database.:User db,Register,TRAN_NA,5,7,NaN,undefined,NaN,4
60,stl#User:clicks on ��Upload Personal Legend��->User:clicks on ��Upload Personal Legend��->clicks on ��Upload Personal Legend��:check whether the syntax entered is that of an URL or not.->check whether the syntax entered is that of an URL or not.:update the path in the database.->update the path in the database.:Display confirmation page->Display confirmation page:Homepage,Register,TRAN_NA,6,8,NaN,undefined,NaN,8
61,stl#User:clicks on ��Upload Personal Legend��->User:clicks on ��Upload Personal Legend��->clicks on ��Upload Personal Legend��:check whether the syntax entered is that of an URL or not.->check whether the syntax entered is that of an URL or not.:update the path in the database.->update the path in the database.:Display confirmation page->Display confirmation page:clicks on ��Upload Personal Legend��->clicks on ��Upload Personal Legend��:check whether the syntax entered is that of an URL or not.,Register,TRAN_NA,7,12,NaN,undefined,NaN,7
62,stl#User:types a name in the search box->User:types a name in the search box->types a name in the search box:search for the corresponding name in the database->search for the corresponding name in the database:return the member��s profile ->return the member��s profile :types a name in the search box->types a name in the search box:search for the corresponding name in the database,Search members,CTRL,6,16,NaN,undefined,NaN,6
63,stl#User:types a name in the search box->User:types a name in the search box->types a name in the search box:search for the corresponding name in the database->search for the corresponding name in the database:return the member��s profile ->return the member��s profile :Homepage,Search members,CTRL;EXTCLL;INT,5,15,NaN,undefined,NaN,15
64,stl#User:types a name in the search box->User:types a name in the search box->types a name in the search box:search for the corresponding name in the database->search for the corresponding name in the database:member databse,Search members,CTRL,4,6,NaN,undefined,NaN,1
65,stl#User:Upload personal  legend page->User:Upload personal  legend page->Upload personal  legend page:Person Legend infrormation->Person Legend infrormation:Show confirmation->Show confirmation:Upload personal  legend page->Upload personal  legend page:Person Legend infrormation,Upload Personal Legend,TRAN_NA,6,17,NaN,undefined,NaN,12
66,stl#User:Upload personal  legend page->User:Upload personal  legend page->Upload personal  legend page:Person Legend infrormation->Person Legend infrormation:Show confirmation->Show confirmation:Personal Legend db,Upload Personal Legend,TRAN_NA,5,13,NaN,undefined,NaN,13
67,stl#User:Upload personal  legend page->User:Upload personal  legend page->Upload personal  legend page:Person Legend infrormation->Person Legend infrormation:Show confirmation->Show confirmation:Homepage,Upload Personal Legend,TRAN_NA,5,10,NaN,undefined,NaN,10
68,stl#User:clicks on ��Upload Theme song�� button->User:clicks on ��Upload Theme song�� button->clicks on ��Upload Theme song�� button:prompt the user to enter the theme song.->prompt the user to enter the theme song.:Show confirmation->Show confirmation:Theme Song db,Upload Theme Song,CTRL,5,13,NaN,undefined,NaN,2
69,stl#User:clicks on ��Upload Theme song�� button->User:clicks on ��Upload Theme song�� button->clicks on ��Upload Theme song�� button:prompt the user to enter the theme song.->prompt the user to enter the theme song.:Show confirmation->Show confirmation:clicks on ��Upload Theme song�� button->clicks on ��Upload Theme song�� button:prompt the user to enter the theme song.,Upload Theme Song,CTRL,6,17,NaN,undefined,NaN,2
70,stl#User:clicks on ��Upload Theme song�� button->User:clicks on ��Upload Theme song�� button->clicks on ��Upload Theme song�� button:prompt the user to enter the theme song.->prompt the user to enter the theme song.:Show confirmation->Show confirmation:Homepage,Upload Theme Song,CTRL;EXTCLL;INT,5,10,NaN,undefined,NaN,12
72,stl#User :View Turorial video page->User :View Turorial video page->View Turorial video page:Choose one of all videos->Choose one of all videos:Show  tutorial video information->Show  tutorial video information:View Turorial video page->View Turorial video page:Choose one of all videos,View Tutorial Video,TRAN_NA,6,15,NaN,undefined,NaN,1
73,stl#User :View Turorial video page->User :View Turorial video page->View Turorial video page:Choose one of all videos->Choose one of all videos:Show  tutorial video information->Show  tutorial video information:Homepage,View Tutorial Video,TRAN_NA,5,10,NaN,undefined,NaN,4
75,stl#User:clicks on ��view report card�� button->User:clicks on ��view report card�� button->clicks on ��view report card�� button:search in the corresponding user��s record ->search in the corresponding user��s record :user databse,View report card,CTRL,4,13,NaN,undefined,NaN,10
76,stl#User:clicks on ��view report card�� button->User:clicks on ��view report card�� button->clicks on ��view report card�� button:search in the corresponding user��s record ->search in the corresponding user��s record :display the report card ->display the report card :clicks on ��view report card�� button->clicks on ��view report card�� button:search in the corresponding user��s record ,View report card,CTRL,6,29,NaN,undefined,NaN,4
77,stl#User:clicks on ��view report card�� button->User:clicks on ��view report card�� button->clicks on ��view report card�� button:search in the corresponding user��s record ->search in the corresponding user��s record :display the report card ->display the report card :Homepage,View report card,CTRL;EXTCLL;INT,5,18,NaN,undefined,NaN,2
1,stl#User:fills out relevant data ->User:fills out relevant data ->fills out relevant data :responds with a message confirming ->responds with a message confirming :add candidate to applicant list ->add candidate to applicant list :generate a message to inform User ,Apply,CTRL,5,10,NaN,undefined,NaN,6
2,stl#User:upload relevant documents->User:upload relevant documents->upload relevant documents:responds with a message confirming ->responds with a message confirming :add candidate to applicant list ->add candidate to applicant list :generate a message to inform User ,Apply,TRAN_NA,5,8,NaN,undefined,NaN,5
3,stl#User:Homepage->User:Homepage,Apply,CTRL;EXTCLL;INT,2,1,NaN,undefined,NaN,9
4,stl#User:click submit button->User:click submit button->click submit button:add candidate to applicant list ->add candidate to applicant list :generate a message to inform User ,Apply,CTRL,4,3,NaN,undefined,NaN,5
5,stl#User:select the appropriate postings ->User:select the appropriate postings ->select the appropriate postings :retrieves the posting selected->retrieves the posting selected:responds with a message confirming ->responds with a message confirming :add candidate to applicant list ->add candidate to applicant list :generate a message to inform User ,Apply,TRAN_NA,6,5,NaN,undefined,NaN,5
6,stl#User:select the appropriate postings ->User:select the appropriate postings ->select the appropriate postings :retrieves the posting selected->retrieves the posting selected:Show confirmation page->Show confirmation page:Homepage,Apply,TRAN_NA,5,6,NaN,undefined,NaN,13
7,stl#User:select the appropriate postings ->User:select the appropriate postings ->select the appropriate postings :retrieves the posting selected->retrieves the posting selected:Show confirmation page->Show confirmation page:Approve Hire db,Apply,TRAN_NA,5,6,NaN,undefined,NaN,10
8,stl#User:Approve Hire->User:Approve Hire->Approve Hire:returns the correct applicant->returns the correct applicant:modifies the Applicant profile to reflect User's change->modifies the Applicant profile to reflect User's change:Approve Hire db->Approve Hire db:Homepage,Approve Hire,CTRL;EXTCLL;INT,6,8,NaN,undefined,NaN,9
9,stl#User:Approve Hire->User:Approve Hire->Approve Hire:returns the correct applicant->returns the correct applicant:Show confirmation page->Show confirmation page:Homepage,Approve Hire,CTRL;EXTCLL;INT,5,9,NaN,undefined,NaN,16
10,stl#User:Approve Hire->User:Approve Hire->Approve Hire:returns the correct applicant->returns the correct applicant:Show confirmation page->Show confirmation page:Approve Hire db->Approve Hire db:Homepage,Approve Hire,CTRL;EXTCLL;INT,6,10,NaN,undefined,NaN,2
11,stl#User:Approve Hire->User:Approve Hire->Approve Hire:returns the correct applicant->returns the correct applicant:Show confirmation page->Show confirmation page:Approve Hire->Approve Hire:returns the correct applicant,Approve Hire,CTRL,6,10,NaN,undefined,NaN,9
12,stl#User:marks the user as approved->User:marks the user as approved->marks the user as approved:modifies the Applicant profile to reflect User's change->modifies the Applicant profile to reflect User's change:Approve Hire db->Approve Hire db:Homepage,Approve Hire,CTRL;EXTCLL;INT,5,11,NaN,undefined,NaN,12
13,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :creates an account for the User->creates an account for the User:Homepage,Create Account,TRAN_NA,5,17,NaN,undefined,NaN,9
14,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :creates an account for the User->creates an account for the User:Account db,Create Account,TRAN_NA,5,23,NaN,undefined,NaN,5
15,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :Show confirmation page->Show confirmation page:selects Create an Account ->selects Create an Account :returns a standard information form ,Create Account,TRAN_NA,6,33,NaN,undefined,NaN,5
16,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :Show confirmation page->Show confirmation page:Homepage,Create Account,TRAN_NA,5,19,NaN,undefined,NaN,12
17,stl#User:selects Create an Account ->User:selects Create an Account ->selects Create an Account :returns a standard information form ->returns a standard information form :Show confirmation page->Show confirmation page:Account db,Create Account,TRAN_NA,5,25,NaN,undefined,NaN,15
18,stl#User:fills out all of the required data correctly->User:fills out all of the required data correctly->fills out all of the required data correctly:creates an account for the User->creates an account for the User:Homepage,Create Account,TRAN_NA,4,3,NaN,undefined,NaN,14
19,stl#User:fills out all of the required data correctly->User:fills out all of the required data correctly->fills out all of the required data correctly:creates an account for the User->creates an account for the User:Account db,Create Account,TRAN_NA,4,9,NaN,undefined,NaN,14
20,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:checks to ensure that the new user has correct credentials->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ->creates an account for the user and sends an email :show confirmation about that the account created and the email sent->show confirmation about that the account created and the email sent:Homepage,Create Employee Account,TRAN_NA,7,14,NaN,undefined,NaN,16
21,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:checks to ensure that the new user has correct credentials->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ->creates an account for the user and sends an email :Employee Account db,Create Employee Account,TRAN_NA,6,19,NaN,undefined,NaN,11
22,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:Show confirmation page->Show confirmation page:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available,Create Employee Account,TRAN_NA,6,11,NaN,undefined,NaN,8
23,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:Show confirmation page->Show confirmation page:Homepage,Create Employee Account,TRAN_NA,5,8,NaN,undefined,NaN,13
24,stl#User:enters in a unique login name for the new user->User:enters in a unique login name for the new user->enters in a unique login name for the new user:check the login name is available->check the login name is available:Show confirmation page->Show confirmation page:Employee Account db,Create Employee Account,TRAN_NA,5,14,NaN,undefined,NaN,14
25,stl#User:fills in the rest of the details for the new user ->User:fills in the rest of the details for the new user ->fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ->creates an account for the user and sends an email :show confirmation about that the account created and the email sent->show confirmation about that the account created and the email sent:Homepage,Create Employee Account,TRAN_NA,6,15,NaN,undefined,NaN,4
26,stl#User:fills in the rest of the details for the new user ->User:fills in the rest of the details for the new user ->fills in the rest of the details for the new user :checks to ensure that the new user has correct credentials->checks to ensure that the new user has correct credentials:creates an account for the user and sends an email ->creates an account for the user and sends an email :Employee Account db,Create Employee Account,TRAN_NA,5,20,NaN,undefined,NaN,14
27,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Show confirmation page,Create Posting,TRAN_NA,7,27,NaN,undefined,NaN,16
28,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Posting is created in the system->Posting is created in the system:generates a message to inform the User ->generates a message to inform the User :Posting db,Create Posting,TRAN_NA,9,33,NaN,undefined,NaN,15
29,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:fills out relevant information->fills out relevant information:generates posting identification data->generates posting identification data:Posting is created in the system->Posting is created in the system:generates a message to inform the User ->generates a message to inform the User :Homepage,Create Posting,TRAN_NA,9,27,NaN,undefined,NaN,7
30,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:Posting db,Create Posting,TRAN_NA,5,14,NaN,undefined,NaN,15
31,stl#User:Clicks Create button->User:Clicks Create button->Clicks Create button:generates posting identification data->generates posting identification data:Show confirmation page->Show confirmation page:Homepage,Create Posting,TRAN_NA,5,8,NaN,undefined,NaN,7
