id,element,type,outboundDegree,inboundDegree,diagram,useCase,model
148,Staff,actor,3,0,Export attendance,Export attendance,f14a_gotrla
149,Data export success message,boundary,0,3,Export attendance,Export attendance,f14a_gotrla
150,display type of attendance for export,control,2,1,Export attendance,Export attendance,f14a_gotrla
151,Types of attendance,boundary,1,3,Export attendance,Export attendance,f14a_gotrla
152,Attendance page,boundary,1,3,Export attendance,Export attendance,f14a_gotrla
153,attendance,entity,0,2,Export attendance,Export attendance,f14a_gotrla
154,Display attendance page,control,2,1,Export attendance,Export attendance,f14a_gotrla
155,Select attendance button,boundary,1,1,Export attendance,Export attendance,f14a_gotrla
156,Admin,actor,4,0,Export attendance,Export attendance,f14a_gotrla
157,query attendance detail information,control,3,1,Monitor attendance,Monitor attendance,f14a_gotrla
158,Attendance detail information,boundary,0,2,Monitor attendance,Monitor attendance,f14a_gotrla
159,Attendance information page,boundary,1,2,Monitor attendance,Monitor attendance,f14a_gotrla
160,Attendance information,entity,0,2,Monitor attendance,Monitor attendance,f14a_gotrla
161,query attendance information,control,2,1,Monitor attendance,Monitor attendance,f14a_gotrla
162,View girls/volunteers attendance button,boundary,1,1,Monitor attendance,Monitor attendance,f14a_gotrla
163,User,actor,4,0,Monitor attendance,Monitor attendance,f14a_gotrla
164,Attendance Detail,entity,0,1,Record attendance,Record attendance,f14a_gotrla
165,save attendance detail,control,2,1,Record attendance,Record attendance,f14a_gotrla
166,Duplicate attendance information,boundary,0,2,Record attendance,Record attendance,f14a_gotrla
167,validate input attendance info,control,2,1,Record attendance,Record attendance,f14a_gotrla
168,Invalid input attendance information,boundary,0,2,Record attendance,Record attendance,f14a_gotrla
169,Enter attendance detail page,boundary,1,2,Record attendance,Record attendance,f14a_gotrla
170,Login,entity,0,1,Record attendance,Record attendance,f14a_gotrla
171,validate login information,control,2,1,Record attendance,Record attendance,f14a_gotrla
172,Login page,boundary,1,1,Record attendance,Record attendance,f14a_gotrla
173,Volunteer coach,actor,4,0,Record attendance,Record attendance,f14a_gotrla
174,course,entity,0,1,Add course,Add course,F14a_sharethetraining_com
175,Invalid entered information,boundary,0,2,Add course,Add course,F14a_sharethetraining_com
176,save course information into database,control,1,1,Add course,Add course,F14a_sharethetraining_com
177,redirect to home page,control,1,1,Add course,Add course,F14a_sharethetraining_com
178,home page,boundary,0,2,Add course,Add course,F14a_sharethetraining_com
179,Process course information,control,2,1,Add course,Add course,F14a_sharethetraining_com
180,Manage course page,boundary,2,1,Add course,Add course,F14a_sharethetraining_com
181,Admin,actor,3,0,Add course,Add course,F14a_sharethetraining_com
182,Email protocol,actor,0,1,Delete course,Delete course,F14a_sharethetraining_com
183,course,entity,0,1,Delete course,Delete course,F14a_sharethetraining_com
184,Delete confirmation dialog,boundary,1,2,Delete course,Delete course,F14a_sharethetraining_com
185,delete course,control,2,1,Delete course,Delete course,F14a_sharethetraining_com
186,send email to attendees,control,2,1,Delete course,Delete course,F14a_sharethetraining_com
187,delete success message,boundary,0,2,Delete course,Delete course,F14a_sharethetraining_com
188,show delete confirmation box,control,1,1,Delete course,Delete course,F14a_sharethetraining_com
189,delete course button,boundary,1,1,Delete course,Delete course,F14a_sharethetraining_com
190,Admin,actor,3,0,Delete course,Delete course,F14a_sharethetraining_com
191,verify course information,control,2,1,Modify course,Modify course,F14a_sharethetraining_com
192,course,entity,0,2,Modify course,Modify course,F14a_sharethetraining_com
193,Invalid course information,boundary,1,2,Modify course,Modify course,F14a_sharethetraining_com
194,Redirect to home page,control,2,2,Modify course,Modify course,F14a_sharethetraining_com
195,home page,boundary,0,2,Modify course,Modify course,F14a_sharethetraining_com
196,save course info,control,1,1,Modify course,Modify course,F14a_sharethetraining_com
197,Course management page,boundary,2,1,Modify course,Modify course,F14a_sharethetraining_com
198,Admin,actor,3,0,Modify course,Modify course,F14a_sharethetraining_com
199,Email protocol,actor,0,1,Verify new course,Verify new course,F14a_sharethetraining_com
200,send email to trianer,control,1,1,Verify new course,Verify new course,F14a_sharethetraining_com
201,acceptance,entity,0,1,Verify new course,Verify new course,F14a_sharethetraining_com
202,load course information,control,3,1,Verify new course,Verify new course,F14a_sharethetraining_com
203,course,entity,0,2,Verify new course,Verify new course,F14a_sharethetraining_com
204,course informaton,boundary,1,2,Verify new course,Verify new course,F14a_sharethetraining_com
205,save the acceptance information,control,3,1,Verify new course,Verify new course,F14a_sharethetraining_com
206,course information is no t valid message,boundary,0,2,Verify new course,Verify new course,F14a_sharethetraining_com
207,course list,boundary,1,1,Verify new course,Verify new course,F14a_sharethetraining_com
208,Admin,actor,3,0,Verify new course,Verify new course,F14a_sharethetraining_com
209,clear local cache,control,2,1,Request new course,Request new course,F14a_sharethetraining_com
210,cache,entity,0,1,Request new course,Request new course,F14a_sharethetraining_com
211,home page,boundary,1,2,Request new course,Request new course,F14a_sharethetraining_com
212,save course information for review,control,2,1,Request new course,Request new course,F14a_sharethetraining_com
213,course information is no t valid message,boundary,0,2,Request new course,Request new course,F14a_sharethetraining_com
214,Log out button,boundary,1,1,Request new course,Request new course,F14a_sharethetraining_com
215,User,actor,3,0,Request new course,Request new course,F14a_sharethetraining_com
216,Invalid input schedule info,boundary,0,2,Update schedule,Update schedule,F14a_sharethetraining_com
217,save updated schedule,control,1,1,Update schedule,Update schedule,F14a_sharethetraining_com
218,validate updated schedule info,control,2,1,Update schedule,Update schedule,F14a_sharethetraining_com
219,query schedule info,control,2,1,Update schedule,Update schedule,F14a_sharethetraining_com
220,schedule,entity,0,2,Update schedule,Update schedule,F14a_sharethetraining_com
221,schedule info page,boundary,1,2,Update schedule,Update schedule,F14a_sharethetraining_com
222,display update schedule page,control,1,1,Update schedule,Update schedule,F14a_sharethetraining_com
223,schedule update page,boundary,1,2,Update schedule,Update schedule,F14a_sharethetraining_com
224,load schedule button,boundary,1,1,Update schedule,Update schedule,F14a_sharethetraining_com
225,Trainer,actor,4,0,Update schedule,Update schedule,F14a_sharethetraining_com
226,Login invalid message,boundary,0,2,Login,Login,F14a_sharethetraining_com
227,Redirect to home page,control,1,1,Login,Login,F14a_sharethetraining_com
228,Home page,boundary,0,2,Login,Login,F14a_sharethetraining_com
229,cache,entity,0,1,Login,Login,F14a_sharethetraining_com
230,verify login information,control,3,1,Login,Login,F14a_sharethetraining_com
231,user,entity,0,1,Login,Login,F14a_sharethetraining_com
232,update role,control,2,1,Login,Login,F14a_sharethetraining_com
233,Login success information,boundary,0,2,Login,Login,F14a_sharethetraining_com
234,Login page,boundary,2,1,Login,Login,F14a_sharethetraining_com
235,User,actor,5,0,Login,Login,F14a_sharethetraining_com
236,clear local cache,control,2,1,Logout,Logout,F14a_sharethetraining_com
237,cache,entity,0,1,Logout,Logout,F14a_sharethetraining_com
238,home page,boundary,1,2,Logout,Logout,F14a_sharethetraining_com
239,Log out button,boundary,1,1,Logout,Logout,F14a_sharethetraining_com
240,User,actor,3,0,Logout,Logout,F14a_sharethetraining_com
241,invalid sign up informatin,boundary,0,2,Setup account,Setup account,F14a_sharethetraining_com
242,verify sign up information,control,2,1,Setup account,Setup account,F14a_sharethetraining_com
243,Save sign up information,control,2,1,Setup account,Setup account,F14a_sharethetraining_com
244,user,entity,0,1,Setup account,Setup account,F14a_sharethetraining_com
245,home page,boundary,0,2,Setup account,Setup account,F14a_sharethetraining_com
246,Sign up page,boundary,1,1,Setup account,Setup account,F14a_sharethetraining_com
247,User,actor,3,0,Setup account,Setup account,F14a_sharethetraining_com
248,Redirect to login page,control,1,1,Share course,Share course,F14a_sharethetraining_com
249,Login page,boundary,0,2,Share course,Share course,F14a_sharethetraining_com
250,Notification,entity,0,1,Share course,Share course,F14a_sharethetraining_com
251,send course information to users,control,1,1,Share course,Share course,F14a_sharethetraining_com
252,Course list,boundary,1,2,Share course,Share course,F14a_sharethetraining_com
253,load course list,control,2,1,Share course,Share course,F14a_sharethetraining_com
254,Open course share menu,control,1,1,Share course,Share course,F14a_sharethetraining_com
255,user,entity,0,1,Share course,Share course,F14a_sharethetraining_com
256,Share menu,boundary,2,2,Share course,Share course,F14a_sharethetraining_com
257,course list button,boundary,1,1,Share course,Share course,F14a_sharethetraining_com
258,User,actor,4,0,Share course,Share course,F14a_sharethetraining_com
259,No matched results,boundary,0,2,Search course,Search course,F14a_sharethetraining_com
260,redirect to home page,control,1,1,Search course,Search course,F14a_sharethetraining_com
261,course list,boundary,0,2,Search course,Search course,F14a_sharethetraining_com
262,Search course by keywords,control,4,1,Search course,Search course,F14a_sharethetraining_com
263,course,entity,0,2,Search course,Search course,F14a_sharethetraining_com
264,home page,boundary,0,3,Search course,Search course,F14a_sharethetraining_com
265,Search page,boundary,2,1,Search course,Search course,F14a_sharethetraining_com
266,User,actor,4,0,Search course,Search course,F14a_sharethetraining_com
267,Home page,boundary,0,2,Register course,Register course,F14a_sharethetraining_com
268,Redirect to home page,control,1,1,Register course,Register course,F14a_sharethetraining_com
269,Email protocol,actor,0,1,Register course,Register course,F14a_sharethetraining_com
270,Send out confirmation email,control,2,1,Register course,Register course,F14a_sharethetraining_com
271,receive payment result,control,1,1,Register course,Register course,F14a_sharethetraining_com
272,EventBrite,actor,2,2,Register course,Register course,F14a_sharethetraining_com
273,registration success,boundary,0,2,Register course,Register course,F14a_sharethetraining_com
274,bring up payment page,control,1,1,Register course,Register course,F14a_sharethetraining_com
275,make payment,boundary,1,1,Register course,Register course,F14a_sharethetraining_com
276,setupPayment,control,2,1,Register course,Register course,F14a_sharethetraining_com
277,Payment page,boundary,1,2,Register course,Register course,F14a_sharethetraining_com
278,Course detail page,boundary,2,1,Register course,Register course,F14a_sharethetraining_com
279,Attendee,actor,4,0,Register course,Register course,F14a_sharethetraining_com
280,Home page,boundary,0,2,Review course,Review course,F14a_sharethetraining_com
281,Redirect to home page,control,1,1,Review course,Review course,F14a_sharethetraining_com
282,Course,entity,0,1,Review course,Review course,F14a_sharethetraining_com
283,Review page,boundary,2,2,Review course,Review course,F14a_sharethetraining_com
284,Display review page,control,1,1,Review course,Review course,F14a_sharethetraining_com
285,Update cours information in db,control,2,2,Review course,Review course,F14a_sharethetraining_com
286,Cours information update success message,boundary,1,2,Review course,Review course,F14a_sharethetraining_com
287,Course detail page,boundary,2,1,Review course,Review course,F14a_sharethetraining_com
288,Attendee,actor,5,0,Review course,Review course,F14a_sharethetraining_com
289,redirect to search panel,control,1,1,Search Business,Search Business,F14a_tipsure_com
290,No result found message,boundary,1,2,Search Business,Search Business,F14a_tipsure_com
291,Query business information,control,1,1,Search Business,Search Business,F14a_tipsure_com
292,business list,boundary,1,2,Search Business,Search Business,F14a_tipsure_com
293,business,entity,0,2,Search Business,Search Business,F14a_tipsure_com
294,Query business by options,control,3,1,Search Business,Search Business,F14a_tipsure_com
295,operation selection panel,boundary,1,3,Search Business,Search Business,F14a_tipsure_com
296,display selection panel,control,1,1,Search Business,Search Business,F14a_tipsure_com
297,Home page,boundary,1,1,Search Business,Search Business,F14a_tipsure_com
298,User,actor,4,0,Search Business,Search Business,F14a_tipsure_com
299,save the approval status of the business,control,1,1,Add a new business,Add a new business,F14a_tipsure_com
300,business info,boundary,1,2,Add a new business,Add a new business,F14a_tipsure_com
301,display added business page,control,3,0,Add a new business,Add a new business,F14a_tipsure_com
302,Admin,actor,3,0,Add a new business,Add a new business,F14a_tipsure_com
303,added business button,boundary,1,2,Add a new business,Add a new business,F14a_tipsure_com
304,query information for a specific business,control,2,1,Add a new business,Add a new business,F14a_tipsure_com
305,business list,boundary,1,2,Add a new business,Add a new business,F14a_tipsure_com
306,business,entity,0,4,Add a new business,Add a new business,F14a_tipsure_com
307,save business information for verification,control,1,1,Add a new business,Add a new business,F14a_tipsure_com
308,business input information,boundary,1,3,Add a new business,Add a new business,F14a_tipsure_com
309,display add business page,control,1,1,Add a new business,Add a new business,F14a_tipsure_com
310,Add a business button,boundary,1,1,Add a new business,Add a new business,F14a_tipsure_com
311,User,actor,2,0,Add a new business,Add a new business,F14a_tipsure_com
312,save the approval status of registration,control,1,1,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
313,Registration Detail,boundary,1,2,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
314,display registratiion requests,control,2,1,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
315,Admin,actor,3,0,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
316,registration button,boundary,2,1,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
317,Query registration detail,control,2,1,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
318,list of registrations,boundary,1,2,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
319,registration information,entity,0,4,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
320,save information for verification,control,1,1,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
321,registration page,boundary,1,3,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
322,display registration page,control,1,1,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
323,Register button,boundary,1,1,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
324,User,actor,2,0,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
325,remove claim information,control,1,1,Business Claim,Business Claim,F14a_tipsure_com
326,save the approval status of claim,control,2,1,Business Claim,Business Claim,F14a_tipsure_com
327,Claim Detail,boundary,1,2,Business Claim,Business Claim,F14a_tipsure_com
328,display claims requests,control,2,1,Business Claim,Business Claim,F14a_tipsure_com
329,Admin,actor,3,0,Business Claim,Business Claim,F14a_tipsure_com
330,load claims button,boundary,1,1,Business Claim,Business Claim,F14a_tipsure_com
331,Query claim detail,control,2,1,Business Claim,Business Claim,F14a_tipsure_com
332,list of claims,boundary,1,2,Business Claim,Business Claim,F14a_tipsure_com
333,claim information,entity,0,5,Business Claim,Business Claim,F14a_tipsure_com
334,save claim information for verification,control,1,1,Business Claim,Business Claim,F14a_tipsure_com
335,claim page,boundary,1,2,Business Claim,Business Claim,F14a_tipsure_com
336,display claim page,control,1,1,Business Claim,Business Claim,F14a_tipsure_com
337,Claim button,boundary,1,1,Business Claim,Business Claim,F14a_tipsure_com
338,User,actor,2,0,Business Claim,Business Claim,F14a_tipsure_com
339,pdf file,entity,0,1,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
340,Internet browser,actor,0,1,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
341,display added business page,control,2,1,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
342,search for relevant information online,control,3,1,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
343,Tipping guide page,boundary,1,2,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
344,display Tipping Guide Page,control,1,1,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
345,traverl tipping guides button,boundary,1,1,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
346,User,actor,2,0,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
347,calculate tips based on input info,control,2,1,Use Tip Calculator,Use Tip Calculator,F14a_tipsure_com
348,tip calculator page,boundary,1,2,Use Tip Calculator,Use Tip Calculator,F14a_tipsure_com
349,display tip calculator page,control,1,1,Use Tip Calculator,Use Tip Calculator,F14a_tipsure_com
350,tip calculator  button,boundary,1,1,Use Tip Calculator,Use Tip Calculator,F14a_tipsure_com
351,User,actor,2,0,Use Tip Calculator,Use Tip Calculator,F14a_tipsure_com
352,notification,entity,0,1,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
353,Send notification,control,1,1,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
354,response,entity,0,2,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
355,check if the question is already answered,control,3,1,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
356,load questions,control,2,1,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
357,load questions button,boundary,1,2,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
358,Admin,actor,3,0,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
