id,path,functional,transactional,path_length,avg_degree,arch_diff,diagram,use_case,model
90,User->View girls/volunteers attendance button->query attendance information->Attendance information page,EQ,CTRL|INT,4,1,4,Monitor attendance,Monitor attendance,f14a_gotrla
91,Volunteer coach->Enter attendance detail page->validate input attendance info->save attendance detail->Duplicate attendance information,EQ,CTRL|INT,5,1.2,6,Record attendance,Record attendance,f14a_gotrla
92,Volunteer coach->Enter attendance detail page->validate input attendance info->save attendance detail->Attendance Detail,EI,CTRL|DM|EI,5,1,5,Record attendance,Record attendance,f14a_gotrla
93,Volunteer coach->Enter attendance detail page->validate input attendance info->Invalid input attendance information,EQ,CTRL|INT,4,1.25,5,Record attendance,Record attendance,f14a_gotrla
94,Volunteer coach->Login page->validate login information->Login,EI,CTRL|DM|EI,4,0.75,3,Record attendance,Record attendance,f14a_gotrla
95,Volunteer coach->Login page->validate login information->Enter attendance detail page,EQ,CTRL|INT,4,1,4,Record attendance,Record attendance,f14a_gotrla
96,Admin->Manage course page->redirect to home page->home page,EQ,CTRL|INT,4,1,4,Add course,Add course,F14a_sharethetraining_com
97,Admin->Manage course page->Process course information->Invalid entered information,EQ,CTRL|INT,4,1,4,Add course,Add course,F14a_sharethetraining_com
98,Admin->Manage course page->Process course information->save course information into database->course,EI,CTRL|DM|EI,5,0.8,4,Add course,Add course,F14a_sharethetraining_com
99,Admin->Delete confirmation dialog->delete course->send email to attendees->Email protocol,FUNC_NA,CTRL|EXTIVK,5,1,5,Delete course,Delete course,F14a_sharethetraining_com
100,Admin->Delete confirmation dialog->delete course->send email to attendees->delete success message,EQ,CTRL|INT,5,1.2,6,Delete course,Delete course,F14a_sharethetraining_com
101,Admin->Delete confirmation dialog->delete course->course,EI,CTRL|DM|EI,4,1,4,Delete course,Delete course,F14a_sharethetraining_com
102,Admin->delete course button->show delete confirmation box->Delete confirmation dialog,EQ,CTRL|INT,4,1,4,Delete course,Delete course,F14a_sharethetraining_com
103,Admin->Course management page->verify course information->save course info->course,EI,CTRL|DM|EI,5,1,5,Modify course,Modify course,F14a_sharethetraining_com
104,Admin->Course management page->verify course information->Invalid course information,EQ,CTRL|INT,4,1,4,Modify course,Modify course,F14a_sharethetraining_com
105,Admin->Course management page->Redirect to home page->home page,EQ,CTRL|INT,4,1.25,5,Modify course,Modify course,F14a_sharethetraining_com
106,Admin->course informaton->save the acceptance information->course information is no t valid message,EQ,CTRL|INT,4,1.25,5,Verify new course,Verify new course,F14a_sharethetraining_com
107,Admin->course informaton->save the acceptance information->acceptance,EI,CTRL|DM|EI,4,1,4,Verify new course,Verify new course,F14a_sharethetraining_com
108,Admin->course informaton->save the acceptance information->send email to trianer->Email protocol,FUNC_NA,CTRL|EXTIVK,5,1,5,Verify new course,Verify new course,F14a_sharethetraining_com
109,Admin->course list->load course information->course informaton,EQ,CTRL|INT,4,1,4,Verify new course,Verify new course,F14a_sharethetraining_com
110,Admin->course list->load course information->course,EI,CTRL|DM|EI,4,1,4,Verify new course,Verify new course,F14a_sharethetraining_com
111,User->Log out button->clear local cache->home page,EQ,CTRL|INT,4,1,4,Request new course,Request new course,F14a_sharethetraining_com
112,User->Log out button->clear local cache->cache,EI,CTRL|DM|EI,4,0.75,3,Request new course,Request new course,F14a_sharethetraining_com
113,User->home page->save course information for review->course information is no t valid message,EQ,CTRL|INT,4,1.25,5,Request new course,Request new course,F14a_sharethetraining_com
114,Trainer->load schedule button->query schedule info->schedule,EI,CTRL|DM|EI,4,1,4,Update schedule,Update schedule,F14a_sharethetraining_com
115,Trainer->load schedule button->query schedule info->schedule info page,EQ,CTRL|INT,4,1,4,Update schedule,Update schedule,F14a_sharethetraining_com
116,Trainer->schedule info page->display update schedule page->schedule update page,EQ,CTRL|INT,4,1.25,5,Update schedule,Update schedule,F14a_sharethetraining_com
117,Trainer->schedule update page->validate updated schedule info->save updated schedule->schedule,EI,CTRL|DM|EI,5,1.2,6,Update schedule,Update schedule,F14a_sharethetraining_com
118,Trainer->schedule update page->validate updated schedule info->Invalid input schedule info,EQ,CTRL|INT,4,1.25,5,Update schedule,Update schedule,F14a_sharethetraining_com
119,User->Login page->Redirect to home page->Home page,EQ,CTRL|INT,4,1,4,Login,Login,F14a_sharethetraining_com
120,User->Login page->verify login information->Login invalid message,EQ,CTRL|INT,4,1,4,Login,Login,F14a_sharethetraining_com
121,User->Login page->verify login information->update role->cache,EI,CTRL|DM|EI,5,0.8,4,Login,Login,F14a_sharethetraining_com
122,User->Login page->verify login information->update role->Login success information,EQ,CTRL|INT,5,1,5,Login,Login,F14a_sharethetraining_com
123,User->Login page->verify login information->user,EI,CTRL|DM|EI,4,0.75,3,Login,Login,F14a_sharethetraining_com
124,User->Log out button->clear local cache->home page,EQ,CTRL|INT,4,1,4,Logout,Logout,F14a_sharethetraining_com
125,User->Log out button->clear local cache->cache,EI,CTRL|DM|EI,4,0.75,3,Logout,Logout,F14a_sharethetraining_com
126,User->Sign up page->verify sign up information->Save sign up information->user,EI,CTRL|DM|EI,5,0.8,4,Setup account,Setup account,F14a_sharethetraining_com
127,User->Sign up page->verify sign up information->Save sign up information->home page,EQ,CTRL|INT,5,1,5,Setup account,Setup account,F14a_sharethetraining_com
128,User->Sign up page->verify sign up information->invalid sign up informatin,EQ,CTRL|INT,4,1,4,Setup account,Setup account,F14a_sharethetraining_com
129,User->course list button->load course list->Course list,EQ,CTRL|INT,4,1,4,Share course,Share course,F14a_sharethetraining_com
130,User->course list button->load course list->user,EI,CTRL|DM|EI,4,0.75,3,Share course,Share course,F14a_sharethetraining_com
131,User->Share menu->send course information to users->Notification,EI,CTRL|DM|EI,4,1,4,Share course,Share course,F14a_sharethetraining_com
132,User->Share menu->Redirect to login page->Login page,EQ,CTRL|INT,4,1.25,5,Share course,Share course,F14a_sharethetraining_com
133,User->Course list->Open course share menu->Share menu,EQ,CTRL|INT,4,1.25,5,Share course,Share course,F14a_sharethetraining_com
134,User->Search page->Search course by keywords->course,EI,CTRL|DM|EI,4,1,4,Search course,Search course,F14a_sharethetraining_com
135,User->Search page->Search course by keywords->course list,EQ,CTRL|INT,4,1,4,Search course,Search course,F14a_sharethetraining_com
136,User->Search page->Search course by keywords->No matched results,EQ,CTRL|INT,4,1,4,Search course,Search course,F14a_sharethetraining_com
137,User->Search page->redirect to home page->home page,EQ,CTRL|INT,4,1.25,5,Search course,Search course,F14a_sharethetraining_com
138,Attendee->Course detail page->Redirect to home page->Home page,EQ,CTRL|INT,4,1,4,Register course,Register course,F14a_sharethetraining_com
139,Attendee->Course detail page->setupPayment->EventBrite,FUNC_NA,CTRL|EXTIVK,4,1,4,Register course,Register course,F14a_sharethetraining_com
140,Attendee->Payment page->make payment,FUNC_NA,TRAN_NA,3,1,3,Register course,Register course,F14a_sharethetraining_com
141,EventBrite->bring up payment page->Payment page,FUNC_NA,CTRL|EXTCLL|INT,3,1.6666666666666667,5,Register course,Register course,F14a_sharethetraining_com
142,EventBrite->receive payment result->Send out confirmation email->Email protocol,FUNC_NA,CTRL|EXTIVK,4,1.25,5,Register course,Register course,F14a_sharethetraining_com
