id,path,functional,transactional,path_length,avg_degree,arch_diff,diagram,use_case,model
297,Actor->dropdown settings menu->query projects->Project,EI,CTRL|DM|EI,4,1.25,5,Change Project,Change Project,F15a_construction_meeting_minutes_application
298,Actor->dropdown settings menu->query projects->Projects list screen,EQ,CTRL|INT,4,1.25,5,Change Project,Change Project,F15a_construction_meeting_minutes_application
299,Actor->Projects list screen->Query project detail->Project detail,EQ,CTRL|INT,4,1.25,5,Change Project,Change Project,F15a_construction_meeting_minutes_application
300,Actor->Projects list screen->Query project detail->Project,EI,CTRL|DM|EI,4,1.25,5,Change Project,Change Project,F15a_construction_meeting_minutes_application
301,Actor->Selecting settings button->Display dropdown settings menu->dropdown settings menu,EQ,CTRL|INT,4,1,4,Change Project,Change Project,F15a_construction_meeting_minutes_application
302,Administrator->Administrator's dashboard->display publish meetings screen->meeting list and push lish options,EQ,CTRL|INT,4,1,4,Publish Meeting,Publish Meeting,F15a_construction_meeting_minutes_application
303,Administrator->Administrator's dashboard->display publish meetings screen->Meetings,EI,CTRL|DM|EI,4,1,4,Publish Meeting,Publish Meeting,F15a_construction_meeting_minutes_application
304,Administrator->meeting list and push lish options->Update meetings status->attendee list,EI,CTRL|DM|EI,4,1.25,5,Publish Meeting,Publish Meeting,F15a_construction_meeting_minutes_application
305,Administrator->meeting list and push lish options->Update meetings status->send messages to attendees list->attendee list,EI,CTRL|DM|EI,5,1.2,6,Publish Meeting,Publish Meeting,F15a_construction_meeting_minutes_application
306,Administrator->meeting list and push lish options->Update meetings status->empty publish meeting screen,EQ,CTRL|INT,4,1.25,5,Publish Meeting,Publish Meeting,F15a_construction_meeting_minutes_application
307,Administrator->meeting list and push lish options->Update meetings status->Meetings,EI,CTRL|DM|EI,4,1.25,5,Publish Meeting,Publish Meeting,F15a_construction_meeting_minutes_application
308,Administrator->Create meeting screen->Verifies attendee list->user already exists toasts,EQ,CTRL|INT,4,1.25,5,Create meeting,Create meeting,F15a_construction_meeting_minutes_application
309,Administrator->Create meeting screen->Verifies attendee list->create a meeting->meeting,EI,CTRL|DM|EI,5,1,5,Create meeting,Create meeting,F15a_construction_meeting_minutes_application
310,Administrator->create meeting option->display the create meeting screen->Attendee Info,EI,CTRL|DM|EI,4,0.75,3,Create meeting,Create meeting,F15a_construction_meeting_minutes_application
311,Administrator->create meeting option->display the create meeting screen->Tasks,EI,CTRL|DM|EI,4,0.75,3,Create meeting,Create meeting,F15a_construction_meeting_minutes_application
312,Administrator->create meeting option->display the create meeting screen->Create meeting screen,EQ,CTRL|INT,4,1,4,Create meeting,Create meeting,F15a_construction_meeting_minutes_application
313,Administrator->Meeting list->export meeting->pdf,EI,CTRL|DM|EI,4,1,4,Generate log,Generate log,F15a_construction_meeting_minutes_application
314,Administrator->Meeting list->export meeting->meetings,EI,CTRL|DM|EI,4,1.25,5,Generate log,Generate log,F15a_construction_meeting_minutes_application
315,Administrator->generate meeting log->query meetings by project->meetings,EI,CTRL|DM|EI,4,1,4,Generate log,Generate log,F15a_construction_meeting_minutes_application
316,Administrator->generate meeting log->query meetings by project->Meeting list,EQ,CTRL|INT,4,1,4,Generate log,Generate log,F15a_construction_meeting_minutes_application
317,Administrator->generate meeting log->query meetings by project->no meeting error page,EQ,CTRL|INT,4,1,4,Generate log,Generate log,F15a_construction_meeting_minutes_application
318,Administrator->meeting information screen->verify attendee list->save user info->meeting info,EI,CTRL|DM|EI,5,1,5,Edit meeting,Edit meeting,F15a_construction_meeting_minutes_application
319,Administrator->meeting information screen->verify attendee list->Information invalid,EQ,CTRL|INT,4,1.25,5,Edit meeting,Edit meeting,F15a_construction_meeting_minutes_application
320,Administrator->Edit meeting option->display meetings screen->meeting information screen,EQ,CTRL|INT,4,1,4,Edit meeting,Edit meeting,F15a_construction_meeting_minutes_application
321,Administrator->Edit meeting option->display meetings screen->meeting,EI,CTRL|DM|EI,4,0.75,3,Edit meeting,Edit meeting,F15a_construction_meeting_minutes_application
322,Administrator->Edit project screen->Verify default user list->invalid user info toast,EQ,CTRL|INT,4,1.25,5,Edit project,Edit project,F15a_construction_meeting_minutes_application
323,Administrator->Edit project screen->Verify default user list->save project info->project,EI,CTRL|DM|EI,5,1,5,Edit project,Edit project,F15a_construction_meeting_minutes_application
324,Administrator->Edit project option->display edit project screen->Edit project screen,EQ,CTRL|INT,4,1,4,Edit project,Edit project,F15a_construction_meeting_minutes_application
325,Administrator->Edit project option->display edit project screen->meeting,EI,CTRL|DM|EI,4,0.75,3,Edit project,Edit project,F15a_construction_meeting_minutes_application
326,User->view meeting option->Query meetings by user->meeting view,EQ,CTRL|INT,4,1,4,View meeting,View meeting,F15a_construction_meeting_minutes_application
327,User->view meeting option->Query meetings by user->meeting,EI,CTRL|DM|EI,4,0.75,3,View meeting,View meeting,F15a_construction_meeting_minutes_application
328,User->view meeting option->Query meetings by user->list with no meetings,EQ,CTRL|INT,4,1,4,View meeting,View meeting,F15a_construction_meeting_minutes_application
329,user->view assigned tasks option->query meeting minutes by project and user->meeting minutes,EI,CTRL|DM|EI,4,0.75,3,View assigned tasks,View assigned tasks,F15a_construction_meeting_minutes_application
330,user->view assigned tasks option->query meeting minutes by project and user->no assigned tasks message,EQ,CTRL|INT,4,1,4,View assigned tasks,View assigned tasks,F15a_construction_meeting_minutes_application
331,user->view assigned tasks option->query meeting minutes by project and user->meeting minutes,EQ,CTRL|INT,4,1,4,View assigned tasks,View assigned tasks,F15a_construction_meeting_minutes_application
332,User->asigned task list->open comment input page->comment input page,EQ,CTRL|INT,4,1,4,Submit comments to assigned task,Submit comments to assigned task,F15a_construction_meeting_minutes_application
333,User->comment input page->submit comment->comment,EI,CTRL|DM|EI,4,1,4,Submit comments to assigned task,Submit comments to assigned task,F15a_construction_meeting_minutes_application
334,User->comment input page->submit comment->error for too long comment,EQ,CTRL|INT,4,1.25,5,Submit comments to assigned task,Submit comments to assigned task,F15a_construction_meeting_minutes_application
335,User->comment input page->submit comment->notification,EI,CTRL|DM|EI,4,1,4,Submit comments to assigned task,Submit comments to assigned task,F15a_construction_meeting_minutes_application
336,User->view status of submitted comments button->query comments->no available comments,EQ,CTRL|INT,4,1,4,View Status of Submitted Comment,View Status of Submitted Comment,F15a_construction_meeting_minutes_application
337,User->view status of submitted comments button->query comments->comment status view,EQ,CTRL|INT,4,1,4,View Status of Submitted Comment,View Status of Submitted Comment,F15a_construction_meeting_minutes_application
338,User->view status of submitted comments button->query comments->comment,EI,CTRL|DM|EI,4,0.75,3,View Status of Submitted Comment,View Status of Submitted Comment,F15a_construction_meeting_minutes_application
339,Administrator->meeting publish button->publish meeting->meeting,EI,CTRL|DM|EI,4,0.75,3,Send notification,Send notification,F15a_construction_meeting_minutes_application
340,Administrator->meeting publish button->publish meeting->send notification->notification,EI,CTRL|DM|EI,5,1,5,Send notification,Send notification,F15a_construction_meeting_minutes_application
341,User->Task list with comment box->add comment->send notification->notification,EI,CTRL|DM|EI,5,1,5,Send notification,Send notification,F15a_construction_meeting_minutes_application
342,User->Task list with comment box->add comment->comment,EI,CTRL|DM|EI,4,0.75,3,Send notification,Send notification,F15a_construction_meeting_minutes_application
343,User->login page->query user info->user info,EI,CTRL|DM|EI,4,0.75,3,Login,Login,F15a_nice_ecommerse
344,User->login page->query user info->main page,EQ,CTRL|INT,4,1,4,Login,Login,F15a_nice_ecommerse
345,User->login page->query user info->login information invalid box,EQ,CTRL|INT,4,1,4,Login,Login,F15a_nice_ecommerse
346,User->Logout button->Clear cache data->display a logout message->message box,EQ,CTRL|INT,5,1,5,Logout,Logout,F15a_nice_ecommerse
347,User->Logout button->Clear cache data->display a logout message->Logout error message,EQ,CTRL|INT,5,1,5,Logout,Logout,F15a_nice_ecommerse
348,buyer->registration page->verify user info->add user info->user info,EI,CTRL|DM|EI,5,0.8,4,Submit buyer registration,Submit buyer registration,F15a_nice_ecommerse
349,buyer->registration page->verify user info->add user info->main page,EI,CTRL|DM|EI,5,1,5,Submit buyer registration,Submit buyer registration,F15a_nice_ecommerse
350,buyer->registration page->verify user info->invalid info message,EQ,CTRL|INT,4,1,4,Submit buyer registration,Submit buyer registration,F15a_nice_ecommerse
351,vendor->registration page->verify user info->invalid info message,EQ,CTRL|INT,4,1,4,Submit vendor registration,Submit vendor registration,F15a_nice_ecommerse
352,vendor->registration page->verify user info->add user info->user info,EI,CTRL|DM|EI,5,0.8,4,Submit vendor registration,Submit vendor registration,F15a_nice_ecommerse
353,vendor->registration page->verify user info->add user info->main page,EI,CTRL|DM|EI,5,1,5,Submit vendor registration,Submit vendor registration,F15a_nice_ecommerse
354,User->add to cart button->adding product in buying list->buying list,EI,CTRL|DM|EI,4,0.75,3,Add item to cart,Add item to cart,F15a_nice_ecommerse
355,Buyer->payment info page->finish payment->third party payment,FUNC_NA,CTRL|EXTIVK,4,1.25,5,Check out,Check out,F15a_nice_ecommerse
356,Buyer->payment method page->redirect to third party payment page->payment info page,EQ,CTRL|INT,4,1.25,5,Check out,Check out,F15a_nice_ecommerse
357,third party payment->receive receipt->generate orders->order detail,FUNC_NA,CTRL|EXTCLL|INT,4,1.25,5,Check out,Check out,F15a_nice_ecommerse
358,third party payment->receive receipt->generate orders->order,FUNC_NA,CTRL|EXTCLL|DM|EI,4,1,4,Check out,Check out,F15a_nice_ecommerse
359,third party payment->receive receipt->generate orders->clear cart item->cart item,FUNC_NA,CTRL|EXTCLL|DM|EI,5,1,5,Check out,Check out,F15a_nice_ecommerse
360,User->Item quantity field in cart->redirect to cart page->notify user->user info,EI,CTRL|DM|EI,5,1,5,Edit cart,Edit cart,F15a_nice_ecommerse
361,User->Item quantity field in cart->redirect to cart page->notify user->user info,EI,CTRL|DM|EI,5,1,5,Delete item in cart,Delete item in cart,F15a_nice_ecommerse
362,Vendor->product edit page->update product information->product,EI,CTRL|DM|EI,4,1,4,Edit product,Edit product,F15a_nice_ecommerse
363,Vendor->product edit page->update product information->display invalid information->invalid information error,EQ,CTRL|INT,5,1.2,6,Edit product,Edit product,F15a_nice_ecommerse
364,Vendor->product edit page->update product information->redirect vendor when back button clicked->change unsaved dialog,EQ,CTRL|INT,5,1.2,6,Edit product,Edit product,F15a_nice_ecommerse
365,Vendor->edit button for specific product->redirect to product edit page->product edit page,EQ,CTRL|INT,4,1,4,Edit product,Edit product,F15a_nice_ecommerse
366,Vendor->product create page->update product->invalid information error,EQ,CTRL|INT,4,1.25,5,Create product,Create product,F15a_nice_ecommerse
367,Vendor->product create page->update product->display "create success" dialog,EQ,CTRL|INT,4,1.25,5,Create product,Create product,F15a_nice_ecommerse
368,Vendor->product create page->update product->product,EI,CTRL|DM|EI,4,1,4,Create product,Create product,F15a_nice_ecommerse
369,Vendor->product create page->update product->change unsaved dialog,EQ,CTRL|INT,4,1.25,5,Create product,Create product,F15a_nice_ecommerse
370,Vendor->Create product button->redirect vendor->product create page,EQ,CTRL|INT,4,1,4,Create product,Create product,F15a_nice_ecommerse
371,Vendor->Confirm dialog->delete product->delete failed dialog,EQ,CTRL|INT,4,1.25,5,Delete product,Delete product,F15a_nice_ecommerse
372,Vendor->Confirm dialog->delete product->delete success message,EQ,CTRL|INT,4,1.25,5,Delete product,Delete product,F15a_nice_ecommerse
373,Vendor->Confirm dialog->delete product->product,EI,CTRL|DM|EI,4,1,4,Delete product,Delete product,F15a_nice_ecommerse
374,Vendor->delete product button->open confirm dialog->Confirm dialog,EQ,CTRL|INT,4,1,4,Delete product,Delete product,F15a_nice_ecommerse
375,User->blog page->save blog in db->blog,EI,CTRL|DM|EI,4,1,4,Create blog,Create blog,F15a_nice_ecommerse
376,User->post blog button->redirect to blog page->blog page,EQ,CTRL|INT,4,1,4,Create blog,Create blog,F15a_nice_ecommerse
377,User->comment page->post->comment,EI,CTRL|DM|EI,4,0.75,3,Write comment,Write comment,F15a_nice_ecommerse
378,User->comment page->post->post page,EQ,CTRL|INT,4,1,4,Write comment,Write comment,F15a_nice_ecommerse
379,User->comment page->post->invalid comment length,EQ,CTRL|INT,4,1,4,Write comment,Write comment,F15a_nice_ecommerse
380,User->Search page->search by criteria->product,EI,CTRL|DM|EI,4,0.75,3,Search product,Search product,F15a_nice_ecommerse
381,User->Search page->search by criteria->No result is found,EQ,CTRL|INT,4,1,4,Search product,Search product,F15a_nice_ecommerse
382,User->Search page->search by criteria->list of product,EQ,CTRL|INT,4,1,4,Search product,Search product,F15a_nice_ecommerse
383,Vendor->list of users->query user email->send email->Email protocol,FUNC_NA,CTRL|EXTIVK,5,0.8,4,Vendor email customer,Vendor email customer,F15a_nice_ecommerse
384,Vendor->list of users->query user email->user,EI,CTRL|DM|EI,4,0.75,3,Vendor email customer,Vendor email customer,F15a_nice_ecommerse
385,Admin->list of vendors->query vendor email->vendor,EI,CTRL|DM|EI,4,0.75,3,Admin email vendor,Admin email vendor,F15a_nice_ecommerse
386,Admin->list of vendors->query vendor email->send email->Email protocol,FUNC_NA,CTRL|EXTIVK,5,0.8,4,Admin email vendor,Admin email vendor,F15a_nice_ecommerse
387,Admin->newsletter creating page->save newsletter information->send notification->notification,EI,CTRL|DM|EI,5,1,5,Create and email newsletter,Create and email newsletter,F15a_nice_ecommerse
388,Admin->newsletter creating page->save newsletter information->newsletter,EI,CTRL|DM|EI,4,1,4,Create and email newsletter,Create and email newsletter,F15a_nice_ecommerse
389,Admin->Newsletter tag->redirect to newsletter main page->newsletter main page,EQ,CTRL|INT,4,1,4,Create and email newsletter,Create and email newsletter,F15a_nice_ecommerse
390,Admin->newsletter them page->redirect to newsletter creating page->newsletter creating page,EQ,CTRL|INT,4,1.25,5,Create and email newsletter,Create and email newsletter,F15a_nice_ecommerse
391,Admin->newsletter main page->redirect to select theme page->newsletter them page,EQ,CTRL|INT,4,1.25,5,Create and email newsletter,Create and email newsletter,F15a_nice_ecommerse
392,User->newsletter subscription page->add email address into newsletter sending list->send confirmation email->email protocol,FUNC_NA,CTRL|EXTIVK,5,0.8,4,Signup for newsletter,Signup for newsletter,F15a_nice_ecommerse
393,User->newsletter subscription page->add email address into newsletter sending list->newsletter sending list,EI,CTRL|DM|EI,4,0.75,3,Signup for newsletter,Signup for newsletter,F15a_nice_ecommerse
394,Admin->unshipped orders button->query list of unshipped orders->orders,EI,CTRL|DM|EI,4,0.75,3,Check order,Check order,F15a_nice_ecommerse
395,Admin->unshipped orders button->query list of unshipped orders->list of unshipped orders,EQ,CTRL|INT,4,1,4,Check order,Check order,F15a_nice_ecommerse
396,Admin->Vendor approve page->add vendor into list->send email with unique code->Email protocol,FUNC_NA,CTRL|EXTIVK,5,0.8,4,Approve new vendors,Approve new vendors,F15a_nice_ecommerse
397,Admin->Vendor approve page->add vendor into list->vendor,EI,CTRL|DM|EI,4,0.75,3,Approve new vendors,Approve new vendors,F15a_nice_ecommerse
398,Admin->Vendor approve page->add vendor into list->vendor already exists message,EQ,CTRL|INT,4,1,4,Approve new vendors,Approve new vendors,F15a_nice_ecommerse
399,Admin->Account information page->check input information->Invalid input information,EQ,CTRL|INT,4,1.25,5,Manage account setting,Manage account setting,F15a_nice_ecommerse
400,Admin->Account information page->check input information->save setting changes->notify user->Notification,EI,CTRL|DM|EI,6,1,6,Manage account setting,Manage account setting,F15a_nice_ecommerse
401,Admin->Account information page->check input information->save setting changes->setting,EI,CTRL|DM|EI,5,1,5,Manage account setting,Manage account setting,F15a_nice_ecommerse
402,Admin->Edit setting button->redirect account information page->Account information page,EQ,CTRL|INT,4,1,4,Manage account setting,Manage account setting,F15a_nice_ecommerse
403,Admin->vendor side bar->redirect to vendor page->vendor page,EQ,CTRL|INT,4,1,4,Display vendors,Display vendors,F15a_nice_ecommerse
404,Admin->vendor side bar->redirect to vendor page->query vendors->vendor,EI,CTRL|DM|EI,5,0.8,4,Display vendors,Display vendors,F15a_nice_ecommerse
405,Admin->All vendors tab->redirect vendors page->user list with edit and remove buttons,EQ,CTRL|INT,4,1,4,Manage vendor,Manage vendor,F15a_nice_ecommerse
406,Admin->All vendors tab->redirect vendors page->vendor,EI,CTRL|DM|EI,4,1.5,6,Manage vendor,Manage vendor,F15a_nice_ecommerse
407,Admin->vendor detail page->update vendor info->notify amdin->User info updated message,EQ,CTRL|INT,5,1.2,6,Manage vendor,Manage vendor,F15a_nice_ecommerse
408,Admin->vendor detail page->update vendor info->vendor,EI,CTRL|DM|EI,4,1.75,7,Manage vendor,Manage vendor,F15a_nice_ecommerse
409,Admin->user list with edit and remove buttons->redirect to vendor details page->query vendor detail->vendor,EI,CTRL|DM|EI,5,1.6,8,Manage vendor,Manage vendor,F15a_nice_ecommerse
410,Admin->user list with edit and remove buttons->redirect to vendor details page->vendor detail page,EQ,CTRL|INT,4,1.25,5,Manage vendor,Manage vendor,F15a_nice_ecommerse
411,Admin->user list with edit and remove buttons->remove vendor->vendor,EI,CTRL|DM|EI,4,1.75,7,Manage vendor,Manage vendor,F15a_nice_ecommerse
412,Admin->product detail->change product status->notify update of product->update of product message,EQ,CTRL|INT,5,1.2,6,Approve pending product,Approve pending product,F15a_nice_ecommerse
413,Admin->product detail->change product status->product,EI,CTRL|DM|EI,4,1.5,6,Approve pending product,Approve pending product,F15a_nice_ecommerse
414,Admin->products tab->redirect to all product lists->product list,EQ,CTRL|INT,4,1,4,Approve pending product,Approve pending product,F15a_nice_ecommerse
415,Admin->products tab->redirect to all product lists->product,EI,CTRL|DM|EI,4,1.25,5,Approve pending product,Approve pending product,F15a_nice_ecommerse
416,Admin->product list->query product detail->product,EI,CTRL|DM|EI,4,1.5,6,Approve pending product,Approve pending product,F15a_nice_ecommerse
417,Admin->product list->query product detail->product detail,EQ,CTRL|INT,4,1.25,5,Approve pending product,Approve pending product,F15a_nice_ecommerse
418,Owner->users list->change user file->user info,EI,CTRL|DM|EI,4,1.25,5,Authorize tour creator,Authorize tour creator,F15a_tour_conductor
419,Owner->users list->change user file->send error message if not successful->Error message,EQ,CTRL|INT,5,1.2,6,Authorize tour creator,Authorize tour creator,F15a_tour_conductor
420,retrieve user profile->users list->change user file->user info,FUNC_NA,TRAN_NA,4,1.25,5,Authorize tour creator,Authorize tour creator,F15a_tour_conductor
421,retrieve user profile->users list->change user file->send error message if not successful->Error message,FUNC_NA,TRAN_NA,5,1.2,6,Authorize tour creator,Authorize tour creator,F15a_tour_conductor
422,Owner->List of tours->delete tour->tours,EI,CTRL|DM|EI,4,1.25,5,Delete irrelevant tours,Delete irrelevant tours,F15a_tour_conductor
423,retrieve tours->List of tours->delete tour->tours,FUNC_NA,TRAN_NA,4,1.25,5,Delete irrelevant tours,Delete irrelevant tours,F15a_tour_conductor
424,Creator->Login page->check login Info->login error,EQ,CTRL|INT,4,1.25,5,Creator log in and register,Creator log in and register,F15a_tour_conductor
425,Creator->Login page->check login Info->User Info,EI,CTRL|DM|EI,4,1.25,5,Creator log in and register,Creator log in and register,F15a_tour_conductor
426,Creator->register page->process login info->sign up error message,EQ,CTRL|INT,4,1.25,5,Creator log in and register,Creator log in and register,F15a_tour_conductor
427,Creator->register page->process login info->save user info->User Info,EI,CTRL|DM|EI,5,1.2,6,Creator log in and register,Creator log in and register,F15a_tour_conductor
428,Creator->login error->redirect to login page->Login page,EQ,CTRL|INT,4,1.25,5,Creator log in and register,Creator log in and register,F15a_tour_conductor
429,Creator->sign up error message->redirect to sign up page->register page,EQ,CTRL|INT,4,1.25,5,Creator log in and register,Creator log in and register,F15a_tour_conductor
430,Creator->tour info page->process tour->tour info,EI,CTRL|DM|EI,4,0.75,3,Upload tours,Upload tours,F15a_tour_conductor
431,Creator->tour info page->process tour->tour info error,EQ,CTRL|INT,4,1,4,Upload tours,Upload tours,F15a_tour_conductor
432,taker->tour search criteria page->retrieve tour->tour info,EI,CTRL|DM|EI,4,1,4,Search for a tour,Search for a tour,F15a_tour_conductor
433,taker->tour search criteria page->retrieve tour->list of tours,EQ,CTRL|INT,4,1.25,5,Search for a tour,Search for a tour,F15a_tour_conductor
434,taker->tour search criteria page->retrieve tour->retrieve nearby tours->list of tours,EQ,CTRL|INT,5,1.2,6,Search for a tour,Search for a tour,F15a_tour_conductor
435,taker->tour search criteria page->retrieve tour->retrieve nearby tours->tour info,EI,CTRL|DM|EI,5,1,5,Search for a tour,Search for a tour,F15a_tour_conductor
436,Taker->list of stops->retrieve tour->empty map view,EQ,CTRL|INT,4,1.25,5,View a particular stop,View a particular stop,F15a_tour_conductor
437,Taker->list of stops->retrieve tour->stop info,EQ,CTRL|INT,4,1,4,View a particular stop,View a particular stop,F15a_tour_conductor
438,Taker->list of stops->retrieve tour->check internet connection->empty map view,EQ,CTRL|INT,5,1.2,6,View a particular stop,View a particular stop,F15a_tour_conductor
439,Taker->list of stops->retrieve tour->check internet connection->tour info,EI,CTRL|DM|EI,5,0.8,4,View a particular stop,View a particular stop,F15a_tour_conductor
440,Creator->tour detail page->check update information->tour info,EI,CTRL|DM|EI,4,0.75,3,Update tour,Update tour,F15a_tour_conductor
441,Creator->tour detail page->check update information->Popup for reenter tour info,EQ,CTRL|INT,4,1,4,Update tour,Update tour,F15a_tour_conductor
442,Creator->Tour detail->check tour detail->Information invalidity error,EQ,CTRL|INT,4,1,4,Creator modify tour details,Creator modify tour details,F15a_tour_conductor
443,Creator->Tour detail->check tour detail->update tour detail->update error->Update error message,EQ,CTRL|INT,6,1,6,Creator modify tour details,Creator modify tour details,F15a_tour_conductor
444,Creator->Tour detail->check tour detail->update tour detail->tour detail info,EI,CTRL|DM|EI,5,0.8,4,Creator modify tour details,Creator modify tour details,F15a_tour_conductor
445,Valet->venue list->check if active->inactive employee,EQ,CTRL|INT,4,1.25,5,Check in as valet,Check in as valet,s15b_snap_valet
446,Valet->venue list->check if active->valet,EI,CTRL|DM|EI,4,1,4,Check in as valet,Check in as valet,s15b_snap_valet
447,Valet->venue list->check if active->check if venue is checked in->checked in by another valet,EQ,CTRL|INT,5,1.2,6,Check in as valet,Check in as valet,s15b_snap_valet
448,Valet->venue list->check if active->check if venue is checked in->venue,EI,CTRL|DM|EI,5,1.2,6,Check in as valet,Check in as valet,s15b_snap_valet
449,Valet->Confirmation request dialog->navigate to queue screen->Queue screen,EQ,CTRL|INT,4,1,4,Check in as valet,Check in as valet,s15b_snap_valet
450,Valet->Confirmation request dialog->Save acceptance->display server error message->Server error message,EQ,CTRL|INT,5,1,5,Check in as valet,Check in as valet,s15b_snap_valet
451,Valet->Confirmation request dialog->Save acceptance->venue,EI,CTRL|DM|EI,4,1,4,Check in as valet,Check in as valet,s15b_snap_valet
452,Valet->checked in by another valet->Redirect to venue list->venue list,EQ,CTRL|INT,4,1.25,5,Check in as valet,Check in as valet,s15b_snap_valet
453,Valet->notification of invalid transaction->redirect to payment screen->payment screen,EQ,CTRL|INT,4,1.25,5,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
454,Valet->request queue page->display dropdown->dropdown for retrieve and invalid,EQ,CTRL|INT,4,1,4,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
455,Valet->remove request button->Remove request->check payment->payment,EI,CTRL|DM|EI,5,1.2,6,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
456,Valet->remove request button->Remove request->check payment->Close out confirmation,EQ,CTRL|INT,5,1.2,6,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
457,Valet->remove request button->Remove request->request,EI,CTRL|DM|EI,4,1,4,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
458,Valet->Close out confirmation->send out email with the transaction record.->Email protocol,FUNC_NA,CTRL|EXTIVK,4,1.25,5,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
459,Valet->Close out confirmation->send out email with the transaction record.->Email send confirmation message,EQ,CTRL|INT,4,1.5,6,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
460,Valet->Close out confirmation->send out email with the transaction record.->payment,EI,CTRL|DM|EI,4,1.75,7,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
461,Valet->dropdown for retrieve and invalid->retrive and invalid request->request,EI,CTRL|DM|EI,4,1.25,5,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
462,Valet->dropdown for retrieve and invalid->retrive and invalid request->check payment exists->payment,EI,CTRL|DM|EI,5,1.4,7,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
463,Valet->dropdown for retrieve and invalid->retrive and invalid request->check payment exists->status of the payment,EQ,CTRL|INT,5,1.2,6,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
464,Valet->dropdown for retrieve and invalid->retrive and invalid request->check payment exists->notification of invalid transaction,EQ,CTRL|INT,5,1.2,6,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
465,Valet->dropdown for retrieve and invalid->retrive and invalid request->invalid request,EQ,CTRL|INT,4,1.25,5,Retrieve and Return Vehicle,Retrieve and Return Vehicle,s15b_snap_valet
466,Valet->Vehicle request screen->pull advertisement for random venue->venue,EI,CTRL|DM|EI,4,1.5,6,Check in as customer,Check in as customer,s15b_snap_valet
467,Valet->Vehicle request screen->pull advertisement for random venue->Advertisement for random venue,EQ,CTRL|INT,4,1.5,6,Check in as customer,Check in as customer,s15b_snap_valet
468,Valet->confirmation prompt->Redirect to vehicle request screen->Vehicle request screen,EQ,CTRL|INT,4,1.25,5,Check in as customer,Check in as customer,s15b_snap_valet
469,Valet->confirmation prompt->Redirect to venue list->venue list,EQ,CTRL|INT,4,1.25,5,Check in as customer,Check in as customer,s15b_snap_valet
470,Valet->venue list->display confirmation prompt->confirmation prompt,EQ,CTRL|INT,4,1.25,5,Check in as customer,Check in as customer,s15b_snap_valet
471,Valet->venue list->display confirmation prompt->venue,EI,CTRL|DM|EI,4,1.5,6,Check in as customer,Check in as customer,s15b_snap_valet
472,Valet->venue list->display confirmation prompt->server error,EQ,CTRL|INT,4,1.25,5,Check in as customer,Check in as customer,s15b_snap_valet
473,Customer->ticket input page->vidate ticket->invalid ticket number,EQ,CTRL|INT,4,1,4,Request and Pay,Request and Pay,s15b_snap_valet
474,Customer->ticket input page->vidate ticket->error when submitting,EQ,CTRL|INT,4,1.25,5,Request and Pay,Request and Pay,s15b_snap_valet
475,Customer->ticket input page->vidate ticket->payment page,EQ,CTRL|INT,4,1,4,Request and Pay,Request and Pay,s15b_snap_valet
476,Customer->ticket input page->vidate ticket->ticket,EI,CTRL|DM|EI,4,0.75,3,Request and Pay,Request and Pay,s15b_snap_valet
477,Customer->payment page->make payment->Thirdparty payment,FUNC_NA,CTRL|EXTIVK,4,1,4,Request and Pay,Request and Pay,s15b_snap_valet
478,Thirdparty payment->update request queue->alert successful in submission->successful payment alert,FUNC_NA,CTRL|EXTCLL|INT,4,1.25,5,Request and Pay,Request and Pay,s15b_snap_valet
479,Thirdparty payment->update request queue->request queue,FUNC_NA,CTRL|EXTCLL|DM|EI,3,1,3,Request and Pay,Request and Pay,s15b_snap_valet
480,Valet->remove valet button->prompt requesting confirmation->confirmation dialog,EQ,CTRL|INT,4,1,4,Remove Employee,Remove Employee,s15b_snap_valet
481,Valet->confirmation dialog->remove valet from db->manage empolyee table,EQ,CTRL|INT,4,1.25,5,Remove Employee,Remove Employee,s15b_snap_valet
482,Valet->confirmation dialog->remove valet from db->system error when connecting server,EQ,CTRL|INT,4,1.5,6,Remove Employee,Remove Employee,s15b_snap_valet
483,Valet->confirmation dialog->remove valet from db->valet,EI,CTRL|DM|EI,4,1.25,5,Remove Employee,Remove Employee,s15b_snap_valet
484,Valet->valet information input page->validate the form->input information invalid,EQ,CTRL|INT,4,1,4,Add Employee,Add Employee,s15b_snap_valet
