   NUM    variable    value
30   11      UEXUCW_ALY  172.000
31   12      UEXUCW_ALY  102.000
32   13      UEXUCW_ALY   33.000
33   14      UEXUCW_ALY   72.000
34   15      UEXUCW_ALY   22.000
35   16      UEXUCW_ALY   26.000
36   17      UEXUCW_ALY  111.000
37   18      UEXUCW_ALY  414.000
38   19      UEXUCW_ALY   62.000
39    1       UDUCW_ALY   37.000
40    2       UDUCW_ALY  100.000
41    3       UDUCW_ALY   50.000
42    4       UDUCW_ALY  102.000
43    5       UDUCW_ALY   34.000
44    6       UDUCW_ALY   23.000
45    7       UDUCW_ALY  100.000
46    8       UDUCW_ALY   76.000
47    9       UDUCW_ALY   29.000
48   10       UDUCW_ALY  127.000
49   11       UDUCW_ALY  171.000
50   12       UDUCW_ALY   36.000
51   13       UDUCW_ALY   14.000
52   14       UDUCW_ALY   27.000
53   15       UDUCW_ALY    7.000
54   16       UDUCW_ALY   30.000
55   17       UDUCW_ALY   49.000
56   18       UDUCW_ALY  367.000
57   19       UDUCW_ALY   39.000
58    1             UAW    9.000
59    2             UAW    9.000
60    3             UAW    9.000
61    4             UAW    9.000
62    5             UAW   12.000
63    6             UAW    6.000
64    7             UAW    6.000
65    8             UAW    9.000
66    9             UAW    9.000
67   10             UAW    9.000
68   11             UAW    9.000
69   12             UAW    9.000
70   13             UAW    6.000
71   14             UAW   11.000
72   15             UAW    3.000
73   16             UAW   12.000
74   17             UAW    6.000
75   18             UAW   14.000
76   19             UAW    6.000
77    1             TCF    0.900
78    2             TCF    0.835
79    3             TCF    0.880
80    4             TCF    0.855
81    5             TCF    0.855
82    6             TCF    0.795
83    7             TCF    0.925
84    8             TCF    0.805
85    9             TCF    0.885
86   10             TCF    0.925
87   11             TCF    0.935
88   12             TCF    0.890
89   13             TCF    0.925
90   14             TCF    0.925
91   15             TCF    1.175
92   16             TCF    1.135
93   17             TCF    0.940
94   18             TCF    1.120
95   19             TCF    0.915
96    1              EF    1.025
97    2              EF    0.995
98    3              EF    1.040
99    4              EF    1.025
100   5              EF    1.025
101   6              EF    0.920
102   7              EF    0.950
103   8              EF    1.025
104   9              EF    0.890
105  10              EF    0.965
106  11              EF    0.935
107  12              EF    1.025
108  13              EF    1.040
109  14              EF    0.995
110  15              EF    1.310
111  16              EF    1.250
112  17              EF    0.875
113  18              EF    1.325
114  19              EF    1.025
115   1        EUCP_ALY  146.680
116   2        EUCP_ALY  132.100
117   3        EUCP_ALY  186.700
118   4        EUCP_ALY  118.170
119   5        EUCP_ALY  115.680
120   6        EUCP_ALY   81.190
121   7        EUCP_ALY  242.530
122   8        EUCP_ALY  304.470
123   9        EUCP_ALY  101.610
124  10        EUCP_ALY  155.320
125  11        EUCP_ALY  125.890
126  12        EUCP_ALY  227.150
127  13        EUCP_ALY   77.920
128  14        EUCP_ALY  148.180
129  15        EUCP_ALY  651.100
130  16        EUCP_ALY  272.400
131  17        EUCP_ALY  301.030
132  18        EUCP_ALY 1067.000
133  19        EUCP_ALY      NaN
134   1       EXUCP_ALY   76.570
135   2       EXUCP_ALY  109.670
136   3       EXUCP_ALY  107.990
137   4       EXUCP_ALY   96.600
138   5       EXUCP_ALY   59.590
139   6       EXUCP_ALY   38.760
140   7       EXUCP_ALY  160.810
141   8       EXUCP_ALY  128.720
142   9       EXUCP_ALY   48.050
143  10       EXUCP_ALY  174.950
144  11       EXUCP_ALY  158.230
145  12       EXUCP_ALY  101.260
146  13       EXUCP_ALY   37.520
147  14       EXUCP_ALY   76.390
148  15       EXUCP_ALY   38.480
149  16       EXUCP_ALY   53.910
150  17       EXUCP_ALY   96.230
151  18       EXUCP_ALY  635.150
152  19       EXUCP_ALY      NaN
153   1        DUCP_ALY   42.430
154   2        DUCP_ALY   90.560
155   3        DUCP_ALY   54.000
156   4        DUCP_ALY  101.290
157   5        DUCP_ALY   40.310
158   6        DUCP_ALY   21.210
159   7        DUCP_ALY   93.150
160   8        DUCP_ALY   70.140
161   9        DUCP_ALY   29.930
162  10        DUCP_ALY  121.400
163  11        DUCP_ALY  157.360
164  12        DUCP_ALY   41.050
165  13        DUCP_ALY   19.240
166  14        DUCP_ALY   34.970
167  15        DUCP_ALY   15.390
168  16        DUCP_ALY   59.590
169  17        DUCP_ALY   45.240
170  18        DUCP_ALY  565.400
171  19        DUCP_ALY      NaN
172   1 Effort_Norm_UCP  652.020
173   2 Effort_Norm_UCP  681.710
174   3 Effort_Norm_UCP  681.050
175   4 Effort_Norm_UCP  393.630
176   5 Effort_Norm_UCP  240.630
177   6 Effort_Norm_UCP 1141.900
178   7 Effort_Norm_UCP 2045.260
179   8 Effort_Norm_UCP  579.540
180   9 Effort_Norm_UCP 2529.000
181  10 Effort_Norm_UCP  572.180
182  11 Effort_Norm_UCP 2447.930
183  12 Effort_Norm_UCP  549.820
184  13 Effort_Norm_UCP  464.250
185  14 Effort_Norm_UCP  294.610
186  15 Effort_Norm_UCP  787.060
187  16 Effort_Norm_UCP  931.840
188  17 Effort_Norm_UCP 1645.540
189  18 Effort_Norm_UCP 3264.970
190  19 Effort_Norm_UCP  194.090
