NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
13,Login to tripplanner - Android,44,35,0,33,11,6,16,0,0,0,0,0,0,0,44,0,0,21.79032258064516,0,0,0,0,0,248,44,44.651200000000024,351.3078999999997,333.60089999999997
14,Receive Coupon - Android,44,29,0,25,7,13,5,3,0,0,3,7,0,3,37,7,34.714285714285715,4.149425287356322,24.857142857142858,28.428571428571427,144.04433497536945,0,0,200,44,44.651200000000024,146.36070000000007,113.39869999999998
15,Redeem Coupon - Android,5,20,0,17,8,6,3,0,0,0,0,0,0,0,5,0,0,3.0555555555555554,0,0,0,0,0,22,5,5.074,8.2443,6.727
16,Save it for later,5,13,0,12,9,3,0,0,0,0,0,0,0,0,5,0,0,13.294117647058824,0,0,0,0,0,20,5,5.074,33.155300000000004,32.5795
17,View stored coupons - Android,6,15,0,14,6,8,0,0,0,0,0,0,0,0,6,0,0,8.88888888888889,0,0,0,0,0,26,6,6.0888,37.0674,30.5623
18,Connect to trip plan - iOS,2,9,0,8,2,4,2,0,0,0,0,0,0,0,2,0,0,3.142857142857143,0,0,0,0,0,8,2,2.0296,4.0214,2.4286
19,Login to tripplanner - iOS,44,35,0,33,11,6,16,0,0,0,0,0,0,0,44,0,0,21.79032258064516,0,0,0,0,0,248,44,44.651200000000024,351.3078999999997,333.60089999999997
20,Receive Coupon - iOS,18,21,0,17,4,12,1,2,0,0,2,7,0,2,11,7,11.571428571428571,3.7,8.571428571428571,9,42.81428571428572,0,0,72,18,18.266399999999997,33.8802,24.0614
21,Redeem Coupon - iOS,4,17,0,14,7,7,0,0,0,0,0,0,0,0,4,0,0,2.4285714285714284,0,0,0,0,0,16,4,4.0592,4.4994,4.7622
22,Save it for lateer,3,10,0,9,7,2,0,0,0,0,0,0,0,0,3,0,0,8.777777777777779,0,0,0,0,0,12,3,3.0443999999999996,17.1655,16.849400000000003
23,View stored coupons - iOS,3,12,0,11,5,6,0,0,0,0,0,0,0,0,3,0,0,6.5,0,0,0,0,0,12,3,3.0443999999999996,17.0651,9.3114
24,Buy Partner Subscription,4,17,0,13,7,3,3,0,0,0,0,0,0,0,4,0,0,5.4375,0,0,0,0,0,19,4,4.0592,24.1233,19.1747
25,Cancel Partner Subscription,7,14,0,11,5,2,4,1,0,0,1,1,0,1,6,1,35,5.142857142857143,21,28,180,0,0,26,7,7.1036,22.6036,17.5211
26,Contact us,22,28,0,23,9,5,9,1,0,1,1,2,0,2,20,2,68.5,4.73404255319149,47,57.5,324.28191489361706,0,0,102,22,22.3256,96.0153,77.03359999999999
27,Create Account,16,25,0,23,7,11,5,0,0,0,0,0,0,0,16,0,0,6.327272727272727,0,0,0,0,0,94,16,16.236799999999995,120.30489999999996,113.29279999999999
28,Create Offer,26,35,0,31,8,10,13,0,0,0,0,1,0,0,25,1,236,8.691176470588236,136,210,2051.1176470588234,0,0,135,26,26.384800000000006,185.17369999999997,161.34050000000002
29,Design Coupon,6,15,0,13,2,9,2,0,0,1,0,3,0,1,3,3,7.333333333333333,2.9285714285714284,4.666666666666667,5.333333333333333,21.476190476190474,0,0,22,6,6.0888,6.6474,7.0958
30,Modify Offer,3,8,0,7,1,2,4,0,0,0,0,0,0,0,3,0,0,5.857142857142857,0,0,0,0,0,12,3,3.0443999999999996,14.5963,7.241899999999999
31,Partner Login,7,25,0,12,0,5,7,1,0,0,1,1,0,1,6,1,44,5.037037037037037,27,37,221.62962962962965,0,0,31,7,7.1036,41.4013,31.714100000000006
32,Publish Offer,6,15,0,12,1,2,9,1,0,0,1,1,0,1,5,1,27,5.8,15,21,156.6,0,0,23,6,6.0888,22.2622,12.4808
33,Specify default payment method use case,61,33,0,29,11,5,13,1,0,1,1,2,0,2,59,2,417.5,13.364532019704434,203,387,5579.692118226601,0,0,352,61,61.90280000000004,457.99799999999937,435.8272000000002
34,Test Coupon,4,16,0,13,6,3,4,0,0,0,0,0,0,0,4,0,0,2.9166666666666665,0,0,0,0,0,16,4,4.0592,4.6011,4.7622
35,Upload Image,6,15,0,10,2,7,1,0,0,1,0,5,0,1,1,5,3.6,3.7,2,2.4,13.32,0,0,21,6,6.0888,8.4191,7.143300000000001
36,View Bill,11,20,0,19,16,2,1,0,0,0,0,0,0,0,11,0,0,19.285714285714285,0,0,0,0,0,48,11,11.162799999999997,84.072,71.3174
37,Annotate trip plan,164,26,0,25,8,5,12,0,0,0,0,0,0,0,164,0,0,8.892825509300266,0,0,0,0,0,976,164,166.42719999999997,1284.2751999999982,1225.9571000000017
38,Connect to trip plan - Trip Planner,29,18,0,16,5,5,6,0,0,0,0,0,0,0,29,0,0,8.583333333333334,0,0,0,0,0,150,29,29.42920000000001,229.5136,221.43419999999995
39,Find add and delete places,687,43,0,41,6,10,25,0,0,0,0,0,0,0,687,0,0,45.3238602723505,0,0,0,0,0,3620,687,697.1676000000023,5463.124499999976,5209.3743999999615
40,Login to TripPlanner,3,11,0,10,3,5,2,0,0,0,0,0,0,0,3,0,0,7.5,0,0,0,0,0,12,3,3.0443999999999996,18.5337,14.936900000000001
41,Manage Trip Plan,58,23,0,21,5,3,13,0,0,0,0,0,0,0,58,0,0,30.76923076923077,0,0,0,0,0,232,58,58.85840000000004,420.44819999999953,332.92639999999983
42,Manage subscription,29,22,0,21,9,5,7,0,0,0,0,0,0,0,29,0,0,5.863636363636363,0,0,0,0,0,148,29,29.42920000000001,167.17499999999998,140.8667
43,Print photo books,614,27,0,24,12,6,6,0,0,0,0,0,0,0,614,0,0,37.54608394634357,0,0,0,0,0,2649,614,623.0871999999996,4848.461299999997,4641.060500000003
44,Schedule visit and view trip calendar,16,13,0,11,2,5,4,0,0,0,0,0,0,0,16,0,0,6.5,0,0,0,0,0,64,16,16.236799999999995,83.5348,76.0438
45,Subscribe and unsubscribe from partner offer,15,22,0,20,4,12,4,0,0,0,0,0,0,0,15,0,0,3.189655172413793,0,0,0,0,0,70,15,15.221999999999994,27.7464,22.123
46,View Trip Plan on Map and get Directions,6,15,0,14,2,9,3,0,0,0,0,0,0,0,6,0,0,4.090909090909091,0,0,0,0,0,24,6,6.0888,24.264,15.8218
47,View partner offer,7,19,0,18,4,11,3,0,0,0,0,0,0,0,7,0,0,3.9310344827586206,0,0,0,0,0,34,7,7.1036,30.4325,25.4151
