"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"86","tm1","tm3","mae","-",4.42,4.4,0.01,0.01,0.97,0.01,"tm1-tm3-mae"
"18","tm3","ln_sloc","mmre","-",0.88,0.78,0.01,0.01,0.99,0.5,"tm3-ln_sloc-mmre"
"37","tm2","ucp","pred25","+",0.06,0,0.01,0.01,0.99,1.01,"tm2-ucp-pred25"
"102","tm3","ln_sloc","mae","-",4.4,3.9,0.01,0.01,0.99,0.5,"tm3-ln_sloc-mae"
"57","tm1","tm2","mdmre","+",0.68,0.81,0.01,0.01,1,-1,"tm1-tm2-mdmre"
"61","tm1","cosmic","mdmre","+",0.68,0.85,0.01,0.01,1,-0.48,"tm1-cosmic-mdmre"
"65","tm2","ucp","mdmre","+",0.81,1.43,0.01,0.01,1,-1.1,"tm2-ucp-mdmre"
"3","tm1","ucp","mmre","+",0.88,2.59,0.01,0.01,1,-2.06,"tm1-ucp-mmre"
"4","tm1","fp","mmre","+",0.88,1.55,0.01,0.01,1,-1.41,"tm1-fp-mmre"
"5","tm1","cosmic","mmre","+",0.88,1.44,0.01,0.01,1,-1.2,"tm1-cosmic-mmre"
"9","tm2","ucp","mmre","+",0.89,2.59,0.01,0.01,1,-2.06,"tm2-ucp-mmre"
"10","tm2","fp","mmre","+",0.89,1.55,0.01,0.01,1,-1.42,"tm2-fp-mmre"
"11","tm2","cosmic","mmre","+",0.89,1.44,0.01,0.01,1,-1.2,"tm2-cosmic-mmre"
"14","tm3","ucp","mmre","+",0.88,2.59,0.01,0.01,1,-2.08,"tm3-ucp-mmre"
"15","tm3","fp","mmre","+",0.88,1.55,0.01,0.01,1,-1.45,"tm3-fp-mmre"
"16","tm3","cosmic","mmre","+",0.88,1.44,0.01,0.01,1,-1.24,"tm3-cosmic-mmre"
"42","tm3","ucp","pred25","+",0.05,0,0.01,0.01,1,0.97,"tm3-ucp-pred25"
"58","tm1","tm3","mdmre","+",0.68,0.79,0.01,0.01,1,-0.89,"tm1-tm3-mdmre"
"59","tm1","ucp","mdmre","+",0.68,1.43,0.01,0.01,1,-1.32,"tm1-ucp-mdmre"
"60","tm1","fp","mdmre","+",0.68,1.09,0.01,0.01,1,-1.16,"tm1-fp-mdmre"
"66","tm2","fp","mdmre","+",0.81,1.09,0.01,0.01,1,-0.8,"tm2-fp-mdmre"
"69","tm2","ln_sloc","mdmre","-",0.81,0.72,0.01,0.01,1,0.67,"tm2-ln_sloc-mdmre"
"70","tm3","ucp","mdmre","+",0.79,1.43,0.01,0.01,1,-1.13,"tm3-ucp-mdmre"
"71","tm3","fp","mdmre","+",0.79,1.09,0.01,0.01,1,-0.85,"tm3-fp-mdmre"
"74","tm3","ln_sloc","mdmre","-",0.79,0.72,0.01,0.01,1,0.56,"tm3-ln_sloc-mdmre"
"87","tm1","ucp","mae","+",4.42,12.93,0.01,0.01,1,-2.06,"tm1-ucp-mae"
"88","tm1","fp","mae","+",4.42,7.77,0.01,0.01,1,-1.41,"tm1-fp-mae"
"89","tm1","cosmic","mae","+",4.42,7.21,0.01,0.01,1,-1.2,"tm1-cosmic-mae"
"93","tm2","ucp","mae","+",4.44,12.93,0.01,0.01,1,-2.06,"tm2-ucp-mae"
"94","tm2","fp","mae","+",4.44,7.77,0.01,0.01,1,-1.42,"tm2-fp-mae"
"95","tm2","cosmic","mae","+",4.44,7.21,0.01,0.01,1,-1.2,"tm2-cosmic-mae"
"98","tm3","ucp","mae","+",4.4,12.93,0.01,0.01,1,-2.08,"tm3-ucp-mae"
"99","tm3","fp","mae","+",4.4,7.77,0.01,0.01,1,-1.45,"tm3-fp-mae"
"100","tm3","cosmic","mae","+",4.4,7.21,0.01,0.01,1,-1.24,"tm3-cosmic-mae"
