Project,Author,Commit,Date
old_Dialer,Garland Chen,a2ae1e7,20141031
old_Dialer,Garland Chen,e01a8ba,20140829
old_Dialer,Garland Chen,ae7c091,20140829
old_Dialer,Garland Chen,08e2921,20140828
old_Dialer,Garland Chen,899c089,20140828
old_Dialer,Garland Chen,9abe41e,20140828
old_Dialer,Garland Chen,2.16E+13,20140815
old_Dialer,Garland Chen,21d9d71,20140814
old_Dialer,Garland Chen,1161ecf,20140813
old_Dialer,Garland Chen,c7cbd87,20140813
old_Dialer,Garland Chen,0470a17,20140812
old_Dialer,Garland Chen,6465fd7,20140812
old_rufusconnect,Garland Chen,7b8326d,20140925
res-a,Zhixian Huang,3a1f08c,20160811
res-a-1,Zhixian Huang,3a1f08c,20160811
res-a-a-x-1,Zhixian Huang,77b1dab,20160811
res-b,Zhixian Huang,cf3e51f,20160811
res-c,Zhixian Huang,5b74f32,20160811
Rufus_Connect_iOS,Garland Chen,79b0329,20141228
Rufus_Connect_iOS,Garland Chen,8b9d6e4,20141211
Rufus_Connect_iOS,Garland Chen,62ead92,20141125
Rufus_Connect_iOS,Garland Chen,a414b9,20141125
Rufus_Connect_iOS,Garland Chen,fa4cc17,20141125
Rufus_Connect_iOS,Garland Chen,fcef45a,20141121
RufusConnectAndroid,Garland Chen,3bd18a4,20160115
RufusConnectAndroid,Garland Chen,952e12b,20151207
RufusConnectAndroid,Garland Chen,f25a6e3,20151207
RufusConnectAndroid,Garland Chen,de68408,20151126
RufusConnectAndroid,Garland Chen,9992b16,20151116
RufusConnectAndroid,Garland Chen,ec742e2,20151116
RufusConnectAndroid,Garland Chen,50eb4d6,20151029
RufusConnectAndroid,Garland Chen,d519cb6,20150921
RufusConnectAndroid,System Admini..,d0d725a,20150921
RufusConnectAndroid,Garland Chen,a225665,20150914
RufusConnectAndroid,Garland Chen,092e63b,20150831
RufusConnectAndroid,Kaidong Li,742a90c,20150831
RufusConnectAndroid,Garland Chen,cc30b69,20150702
RufusCuffBackgroundServices,Manan Patel,dbf3fa5,20140724
RufusCuffBackgroundServices,Manan Patel,f6c232a,20140724
RufusCuffBackgroundServices,Manan Patel,b641f5c,20140721
RufusCuffBackgroundServices,Manan Patel,39679de,20140721
RufusCuffBackgroundServices,Manan Patel,4897451,20140721
RufusCuffBackgroundServices,Manan Patel,7c4d5a4,20140721
RufusCuffBackgroundServices,Manan Patel,459c09d,20140721
RufusCuffBackgroundServices,Manan Patel,1b0db00,20140720
RufusCuffBackgroundServices,Manan Patel,5846623,20140719
RufusCuffLauncher,Kaidong Li,77e2cd8,20160609
RufusCuffLauncher,Kan Qi,beb34c2,20160525
RufusCuffLauncher,Kan Qi,bf2b768,20160525
RufusCuffLauncher,Kan Qi,11f29da,20160525
RufusCuffLauncher,Kaidong Li,29ba75d,20160126
RufusCuffLauncher,Kaidong Li,4c0a2d4,20160126
RufusCuffLauncher,Kaidong Li,b95dbea,20160125
RufusCuffLauncher,Kushaan Kumar,7ccc7f0,20161202
RufusCuffLauncher,Kushaan Kumar,fcaa60f,20151124
RufusCuffLauncher,Kushaan Kumar,20a4ce7,20151124
RufusCuffLauncher,Kan Qi,5137684,20151024
RufusCuffLauncher,Kan Qi,d7e3d7f,20151024
RufusCuffLauncher,Kan Qi,d6ae5fe,20151024
RufusCuffLauncher,Kan Qi,a2c00c3,20151017
RufusCuffLauncher,Kan Qi,f49775f,20150730
RufusCuffLauncher,Kan Qi,2261423,20150623
RufusCuffLauncher,Kan Qi,af8b188,20150604
RufusCuffLauncher,Kan Qi,6bd97b4,20150529
RufusCuffLauncher,Kan Qi,2ae1ee1,20150522
RufusCuffLauncher,Kan Qi,4f3aef8,20150520
RufusCuffLauncher,Kan Qi,d3ea013,20150424
RufusCuffLauncher,Kan Qi,05eadb0,20150424
RufusCuffLauncher,Kan Qi,10374c7,20150413
RufusCuffLauncher,Kan Qi,412232a,20150413
RufusCuffLauncher,Kan Qi,d78af56,20150410
RufusCuffLauncher,Kan Qi,8c9f5e2,20150407
RufusCuffLauncher,Kan Qi,f05936a,20150406
RufusCuffLauncher,Kan Qi,a38ae84,20150406
