id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
6,stl#User:Share price through picture capture button->User:Share price through picture capture button->Share price through picture capture button:load photo from library->load photo from library:photo list->photo list:OCR read the medical information->OCR read the medical information:unable to recoginize information from photo,Share Price through OCR capture,TRAN_NA,6,0,3.6,21.6
7,stl#User:Share price through picture capture button->User:Share price through picture capture button->Share price through picture capture button:load photo from library->load photo from library:photo list->photo list:OCR read the medical information->OCR read the medical information:update the recognized information into database.->update the recognized information into database.:Price,Share Price through OCR capture,TRAN_NA,7,0,4.333333333333333,30.333333333333332
1,stl#User:price detail input page->User:price detail input page->price detail input page:verify input price information->verify input price information:save input price information->save input price information:profile,Share Prices,TRAN_NA,5,0,7,35
2,stl#User:price detail input page->User:price detail input page->price detail input page:verify input price information->verify input price information:input information invalid error message,Share Prices,TRAN_NA,4,0,9,36
3,stl#User:Share price button->User:Share price button->Share price button:diplay price input page->diplay price input page:price detail input page->price detail input page:verify input price information->verify input price information:save input price information->save input price information:profile,Share Prices,TRAN_NA,7,0,7.666666666666667,53.66666666666667
4,stl#User:Share price button->User:Share price button->Share price button:diplay price input page->diplay price input page:price detail input page->price detail input page:verify input price information->verify input price information:input information invalid error message,Share Prices,TRAN_NA,6,0,9,54
5,stl#User:input information invalid error message->User:input information invalid error message,Share Prices,CTRL,2,0,9,18
6,stl#User:input information invalid error message->User:input information invalid error message,Share Prices,EXTCLL,2,0,9,18
7,stl#User:input information invalid error message->User:input information invalid error message,Share Prices,INT,2,0,9,18
1,stl#User:feature detail->User:feature detail->feature detail:update feature detail->update feature detail:feature,View Dashboard Page,TRAN_NA,4,0,3,12
2,stl#User:Forgotten username or password link->User:Forgotten username or password link->Forgotten username or password link:send email including credential,View Dashboard Page,TRAN_NA,3,0,2,6
3,stl#User:Invalid information error message->User:Invalid information error message->Invalid information error message:update feature detail->update feature detail:feature,View Dashboard Page,TRAN_NA,4,0,3.3333333333333335,13.333333333333334
4,stl#User:Feature List->User:Feature List->Feature List:redirect to feature page->redirect to feature page:feature detail->feature detail:update feature detail->update feature detail:feature,View Dashboard Page,TRAN_NA,6,0,2.6,15.600000000000001
5,stl#User:Feature List->User:Feature List->Feature List:redirect to feature page->redirect to feature page:Invalid information error message->Invalid information error message:update feature detail->update feature detail:feature,View Dashboard Page,TRAN_NA,6,0,2.8,16.799999999999997
