id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
28,Administrator:Create a project screen-->Create a project screen:Verify project information-->Verify project information:Project,Create New Project,3,3,0,0,0
29,Administrator:Create a project screen-->Create a project screen:Verify project information-->Verify project information:Project information error,Create New Project,3,3,0,0,0
30,Administrator:Edit default attendee list-->Edit default attendee list:verify attendee information-->verify attendee information:Attendee is not available,Create New Project,3,2,1,0,0
31,Administrator:Edit default attendee list-->Edit default attendee list:verify attendee information-->verify attendee information:attendee information list,Create New Project,3,2,1,0,0
32,Administrator:Project information error,Create New Project,1,1,0,0,0
33,Administrator:create meeting option-->create meeting option:display the create meeting screen-->display the create meeting screen:Attendee Info,Create meeting,3,2,1,0,0
34,Administrator:create meeting option-->create meeting option:display the create meeting screen-->display the create meeting screen:Create meeting screen-->Create meeting screen:Verifies attendee list-->Verifies attendee list:create a meeting-->create a meeting:meeting,Create meeting,6,3,3,0,0
35,Administrator:create meeting option-->create meeting option:display the create meeting screen-->display the create meeting screen:Create meeting screen-->Create meeting screen:Verifies attendee list-->Verifies attendee list:user already exists toasts,Create meeting,5,2,3,0,0
36,Administrator:create meeting option-->create meeting option:display the create meeting screen-->display the create meeting screen:Tasks,Create meeting,3,1,1,1,0
37,Administrator:Create meeting screen-->Create meeting screen:Verifies attendee list-->Verifies attendee list:create a meeting-->create a meeting:meeting,Create meeting,4,2,2,0,0
38,Administrator:Create meeting screen-->Create meeting screen:Verifies attendee list-->Verifies attendee list:user already exists toasts,Create meeting,3,1,2,0,0
39,Administrator:user already exists toasts,Create meeting,1,0,1,0,0
40,User:Edit Profile Page-->Edit Profile Page:verify input information-->verify input information:Error Information,Edit Profile,3,1,2,0,0
41,User:Edit Profile Page-->Edit Profile Page:verify input information-->verify input information:update user account information-->update user account information:account information,Edit Profile,4,2,2,0,0
42,User:Error Information,Edit Profile,1,0,1,0,0
43,Administrator:Information invalid,Edit meeting,1,0,1,0,0
44,Administrator:Edit meeting option-->Edit meeting option:display meetings screen-->display meetings screen:meeting,Edit meeting,3,2,1,0,0
45,Administrator:Edit meeting option-->Edit meeting option:display meetings screen-->display meetings screen:meeting information screen-->meeting information screen:verify attendee list-->verify attendee list:Information invalid,Edit meeting,5,3,2,0,0
46,Administrator:Edit meeting option-->Edit meeting option:display meetings screen-->display meetings screen:meeting information screen-->meeting information screen:verify attendee list-->verify attendee list:save user info-->save user info:meeting info,Edit meeting,6,3,3,0,0
47,Administrator:meeting information screen-->meeting information screen:verify attendee list-->verify attendee list:Information invalid,Edit meeting,3,2,1,0,0
48,Administrator:meeting information screen-->meeting information screen:verify attendee list-->verify attendee list:save user info-->save user info:meeting info,Edit meeting,4,2,2,0,0
49,Administrator:Edit project option-->Edit project option:display edit project screen-->display edit project screen:Edit project screen-->Edit project screen:Verify default user list-->Verify default user list:save project info-->save project info:project,Edit project,6,0,1,5,0
