id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
57,User:Delete Posting Page-->Delete Posting Page:Delete Posting information-->Delete Posting information:Show confirmation page-->Show confirmation page:Posting db,Delete Posting,4,4,0,0,0
58,User:Homepage,Delete Posting,1,1,0,0,0
59,User:marks the user as either qualified unqualified or processing-->marks the user as either qualified unqualified or processing:returns the correct applicant-->returns the correct applicant:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Homepage,Edit Application Status,4,2,2,0,0
60,User:Homepage,Edit Application Status,1,1,0,0,0
61,User:select the appropriate posting and view  profile-->select the appropriate posting and view  profile:returns the correct applicant-->returns the correct applicant:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Homepage,Edit Application Status,4,3,1,0,0
62,User:Homepage,Edit Application Status,1,1,0,0,0
63,User:Edit Application Status Page-->Edit Application Status Page:Edit Applications information-->Edit Applications information:Show confirmation page-->Show confirmation page:Application db,Edit Application Status,4,0,4,0,0
64,User:Edit Application Status Page-->Edit Application Status Page:Edit Applications information-->Edit Applications information:Show confirmation page-->Show confirmation page:Edit Application Status Page-->Edit Application Status Page:Edit Applications information,Edit Application Status,5,0,5,0,0
65,User:Edit Application Status Page-->Edit Application Status Page:Edit Applications information-->Edit Applications information:Show confirmation page-->Show confirmation page:Homepage,Edit Application Status,4,1,3,0,0
66,User:Homepage,Edit Posting,1,1,0,0,0
67,User:Clicks Submit-->Clicks Submit:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:generates a message to inform the User-->generates a message to inform the User:Homepage,Edit Posting,5,4,1,0,0
68,User:Clicks Submit-->Clicks Submit:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:Posting db,Edit Posting,4,4,0,0,0
69,User:fills out relevant information about the posting-->fills out relevant information about the posting:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:generates a message to inform the User-->generates a message to inform the User:Homepage,Edit Posting,5,4,1,0,0
70,User:fills out relevant information about the posting-->fills out relevant information about the posting:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:Posting db,Edit Posting,4,4,0,0,0
71,User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:Homepage,Edit Posting,4,4,0,0,0
72,User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:Posting db,Edit Posting,4,4,0,0,0
73,User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected,Edit Posting,5,5,0,0,0
74,User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:generates a message to inform the User-->generates a message to inform the User:Homepage,Edit Posting,6,5,1,0,0
75,User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:Posting db,Edit Posting,5,5,0,0,0
76,User:Homepage,Edit Posting,1,1,0,0,0
77,User:View Application Page-->View Application Page:Choose Applications-->Choose Applications:Show confirmation page-->Show confirmation page:Homepage,Edit Posting,4,4,0,0,0
78,User:View Application Page-->View Application Page:Choose Applications-->Choose Applications:Show confirmation page-->Show confirmation page:View Application Page-->View Application Page:Choose Applications,Edit Posting,5,5,0,0,0
79,User:selects the "Save" Button-->selects the "Save" Button:saves the data in the database-->saves the data in the database:User Profile db,Edit User Profile,3,2,1,0,0
80,User:selects the "Save" Button-->selects the "Save" Button:saves the data in the database-->saves the data in the database:informs the User of the success-->informs the User of the success:Homepage,Edit User Profile,4,2,2,0,0
81,User:enters in the new values -->enters in the new values :saves the data in the database-->saves the data in the database:User Profile db,Edit User Profile,3,2,1,0,0
82,User:enters in the new values -->enters in the new values :saves the data in the database-->saves the data in the database:informs the User of the success-->informs the User of the success:Homepage,Edit User Profile,4,2,2,0,0
83,User:Homepage,Edit User Profile,1,1,0,0,0
84,User:Login page-->Login page:Validate usename and password-->Validate usename and password:Show confirmation-->Show confirmation:Homepage,Login,4,2,2,0,0
85,User:Login page-->Login page:Validate usename and password-->Validate usename and password:Show confirmation-->Show confirmation:Login page-->Login page:Validate usename and password,Login,5,2,3,0,0
86,User:Homepage,Login,1,1,0,0,0
87,User:Homepage,Logout,1,1,0,0,0
