id,ID,Data_Quality,UFP,Year,IS,OT,AG,AT,DT,DP,LT,PPL,CA,FS,RS,N_effort_level1,N_effort,S_effort,N_PDR1,N_PDR,SDR,PET,PIT,I_Date,PAS,E_Plan,E_Specify,E_Design,E_Build,E_Test,E_Implement,E_Unrecorded,Recording_Method,Resource_Level,TSG,MTS,ATS,R_PWE_NPA,CASE_Tool,UM,HMA,Hardware1,Language1,OS1,IDE,DT1,DBS1,CS1,WS1,MS1,OP1,Dev_Methodologies,Dev_Techniques,JAD_Method,PMU,FPS,FPSA,Architecture,Client_Server?,Client_Roles,Server_Roles,TOS,CS_Description,DBMS_Used,Upper_CASE_Used,Other_CASE_Tools?,Other_CASE_Tool_Names,MIN_Defects,MAJ_Defects,X_Defects,TOT_Defects,P_Defects,S_Defects,D_Defects,MIN_B_Defects,MAJ_B_Defects,X_B_Defects,TOT_B_Defects,MIN_T_Defects,MAJ_T_Defects,X_T_Defects,TOT_T_Defects,MIN_I_Defects,MAJ_I_Defects,X_I_Defects,TOT_I_Defects,,,
13,29331,B,?,2008,Government,Government,Business Application,Logistic tracking,New Development,Multi,3GL,Java,COSMIC,210,M1,204,204,145,1.5,1.5,?,11,0,24-Jun-05,Build_Test_Implement,?,?,?,?,?,?,145,Staff hours (recorded),1,?,?,?,?,?,?,?,AIXPC,C++Java,UNIXWindows NT,?,?,Oracle,?,?,?,?,?,?,?,?,COSMIC,COSMIC,Multi-tier,Yes,?,?,?,?,Yes,?,?,?,0,0,0,0,?,?,?,?,?,?,?,14,42,2,58,?,?,?,?,,,
14,29471,A,?,2008,Government,Government,Business Application,Document managementManagement or performance reporting,New Development,Multi,3GL,Java,COSMIC,61,S,669,669,669,4.7,4.7,9.5,3,?,10-Apr-09,Planning_Specification_Design_Build_Test_Implement_ProjManagement,120,22,100,254,58,115,0,Recorded work on project tasks each day,1,8-May,5,3.7,?,?,Yes,Developed In-house,?,Java,Linux,Eclipse,Eclipse,MySQL,?,Apache Tomcat 5.5,?,In House Framework (written in Java)JSP,Agile DevelopmentPersonal Software Process (PSP)Unified Process,?,?,?,COSMIC 2,COSMIC 2,Multi-tier with web public interface,Yes,Web/HTML browser,Security/authentication,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
15,29834,A,?,2008,Insurance,Insurance,Business Application,Printing Documentation Design,Enhancement,MF,3GL,COBOL,COSMIC,5,XXS,2410,2410,2410,16.7,16.7,4,9,0,10-Jun-08,Planning_Specification_Design_Build_Test_Implement,?,?,?,?,?,?,2410,Recorded hours on each project/day/week,1,4-Mar,4,1.3,97\%,No,Yes,Developed In-house,?,Owner script,Windows Server 2K3,No,No,SQL Server,No,No,No,?,?,Prototyping,?,Yes,COSMIC 3,COSMIC 3,Client server,Yes,Run a computer-human interfaceData retrieval & presentation,Database serverObject/component server,?,?,Yes,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
16,29893,B,?,2008,Insurance,Insurance,Business Application,Online analysis and reporting,Enhancement,MF,3GL,COBOL,COSMIC,6,XXS,3915,3915,3563,48.3,48.3,?,19.3,?,4-Oct-05,?,?,207,566,1353,566,871,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,Java,IBM/zOS,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
17,31333,B,?,2008,Medical & Health Care,Medical and Health Care,Business Application,Hospital Information System,Enhancement,PC,3GL,Java,COSMIC,2003,L,589,589,536,2.9,2.9,?,?,?,?,?,?,25,105,162,244,0,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,AppBuilder,IBM/zOS,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,1,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
18,31512,B,?,2008,Service Industry,Food Processing,Business Application,Financial transaction process/accountingCustomer billing,New Development,PC,3GL,C++,COSMIC,23,XS,5326,5326,4847,19.8,19.8,?,26.8,?,15-Jun-07,?,?,0,1669,877,771,1530,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,COBOLJava,IBM/zOS,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
19,31999,A,?,2008,Utilities,'Electricity,Gas,Water',Business Application,Online analysis and reporting,New Development,PC,4GL,ASP.Net,COSMIC,75,S,245,245,245,1.3,1.3,91,2,?,15-Nov-01,?,?,?,?,?,?,?,245,Recorded hours on each project/day/week,4,1,1,?,85\%,?,Yes,Combined Developed/Purchased,?,Java,Windows NT,?,?,?,?,?,?,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Stand alone,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,
20,32005,B,?,2008,Wholesale & Retail,Advertising,Business Application,Web based fullfilment tool for Advertising,Enhancement,PC,3GL,Java,COSMIC,746,M2,3922,3922,3922,52.3,52.3,1.6,6.7,?,22-Nov-02,?,?,?,?,?,?,?,3922,Recorded hours on each project/day/week,1,8-May,7,?,?,?,Yes,Developed In-house,?,Visual C++ 5.0,UNIX,?,?,?,?,?,?,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,Run a computer-human interface,Database server,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
21,32064,A,?,2008,Wholesale & Retail,Wholesale & Retail Trade,Business Application,Logistic or supply planning & control,Enhancement,MF,3GL,COBOL,COSMIC,90,S,724,724,724,1.6,1.6,14.7,10,1,1-Sep-07,Planning_Specification_Design_Build_Test_Implement_ProjManagement,?,?,?,?,?,?,724,Recorded total hours each day or week,1,4-Mar,3,?,85\%,Yes,No,?,?,ASP.NETC#,Yes,MS Visual Studio 2005,MS Visual Studio 2005,MS SQL Server 2005,No,MS IIS 6,Corporate SMTP Server,LDAP,Rapid Application Development (RAD),Process Modelling,?,?,COSMIC 3.0,COSMIC 3.0,Multi-tier with web public interface,Yes,Web/HTML browser,Database serverFile &/or print serverHTML/web server,?,?,Yes,Yes,Yes,MS VisioArgoUML,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
22,27934,A,?,2009,Education,Education Institution,Business Application,Catalogue/register of things or eventsLogistic or supply planning & control,Re-development,PC,3GL,C#,COSMIC,483,M2,747,947,947,10.2,13,6.1,12,4,15-May-03,?,?,?,?,?,?,?,747,Recorded hours on each project/day/week,4,1,1,?,85\%,?,Yes,Developed In-house,?,RPG3,AS/400 UNIX,?,?,?,?,?,?,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,Run a computer-human interface,Multi-user legacy application,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
23,27937,B,?,2009,Education,'Education InstitutionElectricity,Gas,WaterUniversity',Business Application,Course management systemDynamic website,New Development,PC,3GL,Java,COSMIC,177,M1,451,451,451,8.8,8.8,5.3,3.2,1,29-Nov-03,?,?,?,?,?,?,?,451,Recorded hours on each project/day/week,1,4-Mar,3,?,?,?,Yes,Developed In-house,?,Ab Initio,UNIX,?,?,UNIX,?,?,?,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,?,?,?,?,?,?,Yes,?,?,?,?,?,?,?,?,143,327,?,?,?,309,?,?,?,73,?,?,?,?,
24,28020,A,?,2009,Education,'Education InstitutionElectricity,Gas,WaterIEEE',Business Application,Content management systemDynamic website,New Development,PC,3GL,Java,COSMIC,118,M1,2018,3638,3638,10.8,19.6,2.1,9,1,8-Dec-05,Planning_Specification_Design_Build_Test_Implement,30,1200,200,211,326,51,0,Recorded hours on each project/day/week,4,14-Sep,10,6.2,50\%,No,Yes,Developed In-house,?,ABAP,SAP consol,SAP,SAP,Oracle,No,No,No,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,HandHeld Device,Database serverMessaging serverSecurity/authentication,?,?,Yes,No,No,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,
25,30333,A,?,2009,Insurance,Insurance,Business Application,Online analysis and reporting,Enhancement,MF,3GL,COBOL,COSMIC,34,S,183,183,148,1.5,1.5,10.4,3,?,1-Oct-03,?,5,?,33,70,32,8,0,Recorded work on project tasks each day,1,4-Mar,4,2.2,100\%,Yes,Yes,Combined Developed/Purchased,?,VB.NET,XP,?,No,SQL,SQL,No,No,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,Run a computer-human interfaceBusiness logic or rule processing,Database serverFile &/or print server,?,?,Yes,No,Yes,Select OMT,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
26,31448,B,?,2009,Professional Services,Research & development,Business Application,Online analysis and reportingSoftware development tool,New Development,PC,3GL,C#,COSMIC,1099,L,3167,3167,3167,64.6,64.6,?,11,4,31-Dec-00,?,?,?,?,?,?,?,3167,Staff hours (recorded),1,?,?,?,?,Yes,Yes,?,Midrange,3GL,?,?,?,?,?,?,?,?,?,?,?,?,Cfsu,Cfsu,?,?,?,?,?,?,?,?,Yes,OMT++,?,2,?,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
27,31662,B,?,2009,Service Industry,Transport & Storage,Business Application,Workflow support & management,New Development,MR,3GL,Java,COSMIC,86,S,1184,1184,1184,5,5,26.4,3,0,4-Oct-01,?,0,91,176,697,169,51,0,Recorded hours on each project/day/week,1,4-Mar,3,1.5,?,No,No,?,?,PHP,Linux,?,No,MySQL,No,Apache,No,?,?,?,?,?,ISO/IEC FDIS 19761:2002(E),ISO/IEC FDIS 19761:2002(E),Client server,Yes,Business logic or rule processingData entry & validationData retrieval & presentationWeb/HTML browser,Database serverHTML/web server,?,?,Yes,No,No,?,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
28,31675,A,?,2009,Service Industry,'Agriculture,Forestry,Fishing,Hunting',Business Application,Logistic or supply planning & controlStock control & order processingElectronic Data Interchange,New Development,PC,3GL,C#,COSMIC,1958,L,2644,2644,2459,34.8,34.8,?,15,1,1-May-00,Planning_Specification_Build_Test,220,381,?,1457,401,?,0,Productive\' time only (recorded),1,?,?,?,?,?,?,?,PC,C++,Windows NT 4,?,?,?,?,?,?,?,?,?,?,?,CFFP v2,COSMIC FFP v.2,Stand alone,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
29,32081,B,?,2009,Wholesale & Retail,Wholesale & Retail Trade,Business Application,Customer billing/relationship managementTrading,Enhancement,PC,3GL,Java,COSMIC,14,XS,13798,13798,12556,29,29,?,?,?,3-Jan-05,?,?,920,1534,4204,4276,1622,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,Java,UNIX/AIX,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
30,27917,B,?,2010,Construction,Building Automation,Business Application,GUI for ProtocolProtocol Enhancement,Enhancement,Multi,3GL,C,COSMIC,51,S,1773,1773,1613,80.6,80.6,?,?,?,27-May-05,?,?,0,617,438,467,91,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,COBOL,IBM/zOS,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
31,28026,A,?,2010,Education,Education InstitutionResearch,Business Application,Catalogue/register of things or eventsDocument management,Re-development,PC,3GL,Java,COSMIC,791,M2,6031,6031,3558,14.4,14.4,?,8,?,25-Oct-06,?,?,?,?,3096,462,?,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,Java,Web client,?,?,?,?,?,?,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,?,?,?,?,?,?,?,?,0,0,0,0,?,?,?,?,?,?,?,20,5,0,25,?,?,?,2,,,
32,30658,A,?,2010,Manufacturing,Manufacturing,Business Application,Online analysis and reporting,Enhancement,Multi,4GL,ABAP,COSMIC,5,XXS,784,784,784,4.9,4.9,10.7,3,?,10-Apr-09,Planning_Specification_Design_Build_Test_Implement_ProjManagement,52,51,277,253,116,35,0,Recorded work on project tasks each day,1,8-May,5,4.3,?,?,Yes,Developed In-house,?,Java,Windows,Eclipse,Eclipse,MySQL,?,Apache Tomcat 5.5,?,In House Framework (written in Java)JSP,Agile DevelopmentPersonal Software Process (PSP)Unified Process,?,?,?,COSMIC 2,COSMIC 2,Multi-tier with web public interface,Yes,Web/HTML browser,Security/authentication,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
33,30677,B,?,2010,Manufacturing,Manufacturing,Business Application,Catalogue/register of things or eventsOnline analysis and reporting,Enhancement,Multi,4GL,ABAP,COSMIC,9,XXS,?,165,134,?,0.9,?,0.86,0.07,1-May-99,?,?,?,?,?,?,?,?,Staff hours (recorded),4,?,?,?,?,?,?,?,Pentium II based processorsPowerPC(G3),?,'Windows NT,W2KMacOS9',?,?,Oracle,?,?,?,'Language given as: English,French for WinNT,& French for MacOS9',?,?,?,?,COSMIC-FFP,COSMIC-FFP,?,?,?,?,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
34,30719,B,?,2010,Manufacturing,Manufacturing,Business Application,Online analysis and reporting,Enhancement,Multi,4GL,ABAP,COSMIC,3,XXS,3558,3558,3238,19.1,19.1,?,?,?,1-Jul-05,?,?,0,786,1701,722,29,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,COBOL,IBM/zOS,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
35,30879,B,?,2010,Manufacturing,Manufacturing,Business Application,Catalogue/register of things or events,Enhancement,Multi,4GL,ABAP,COSMIC,2,XXS,3509,3509,3193,34.1,34.1,?,?,?,31-Mar-05,?,?,0,403,1600,997,193,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,COBOL,Tandem/NSK,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
36,30911,B,?,2010,Manufacturing,Manufacturing,Business Application,Online analysis and reporting,Enhancement,Multi,4GL,ABAP,COSMIC,2,XXS,40,40,40,6.7,6.7,24,0.25,?,4-Aug-08,?,?,?,?,?,?,?,40,?,1,1,1,?,?,?,?,?,?,COBOL,Z/OS,?,Xpediter,DB2,?,?,?,?,?,?,?,?,COSMIC 2.1,COSMIC 2.1,Stand alone,?,?,?,?,?,Yes,?,?,?,?,5,?,5,?,0,?,?,?,?,2,?,?,?,39,?,?,?,?,,,
37,31451,B,?,2010,Professional Services,Professional ServicesEnvironmental Consulting,Business Application,Catalogue/register of things or eventsDocument managementCustomer relationship management,New Development,PC,3GL,Java,COSMIC,187,M1,3373,3373,3069,49.6,49.6,?,?,?,23-Jun-05,?,?,279,408,1341,385,656,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,Java,Tandem/NSK,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
38,27505,A,?,2011,Banking,Banking,Business Application,Online analysis and reporting,Re-development,Multi,4GL,Script Language,COSMIC,118,M1,1488,1488,1488,16.9,16.9,7.3,4,0,12-Apr-12,Planning_Specification_Design_Build_Test_Implement,2,35,64,1384,?,3,0,Recorded total hours each day or week,1,4-Mar,3,0.8,100\%,No,No,?,?,Java,Linux,Eclipse,Eclipse,MySQL,?,Tomcat,?,?,?,Prototyping,?,Yes,COSMIC 3.0,COSMIC 3.0,Multi-tier with web public interface,Yes,Web/HTML browser,HTML/web servervirtualisation server API,?,?,Yes,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
39,27537,B,?,2011,Banking,Banking,Business Application,Cards and Payments,New Development,PC,3GL,Java,COSMIC,435,M2,3737,3737,3401,233.6,233.6,?,?,?,31-Jan-06,?,?,0,402,920,2033,46,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,Java,Windows,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
40,27547,B,?,2011,Banking,Banking,Business Application,Online analysis and reporting,New Development,Multi,4GL,Script Language,COSMIC,175,M1,3633,3633,3306,9.9,9.9,?,8.4,?,8-Nov-07,?,?,0,1139,42,2031,94,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,Java,UNIX/AIX,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
41,27913,B,?,2011,Communication,Telecommunications,Business Application,Catalogue/register of things or eventsWorkflow support & management,New Development,PC,3GL,J2EE,COSMIC,99,S,548,548,252,17.1,17.1,?,?,?,1-Feb-00,Build,?,?,?,252,?,?,0,Other Method,1,?,?,?,?,?,?,?,HP,SLEL,UNIX-11,?,?,HP,?,?,?,?,?,?,?,?,CFFP v2,COSMIC FFP v.2,Stand alone,?,?,?,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
42,31895,A,?,2012,Service Industry,Surveillance & Security,Business Application,Electronic Data Interchange,Enhancement,PC,3GL,C#,COSMIC,82,S,903,903,840,6.9,6.9,3.1,7,2,9-Sep-05,Planning_Specification_Design_Build_Test_Implement,?,21,231,422,166,?,0,Recorded hours on each project/day/week,1,8-May,6,1.8,88\%,No,Yes,Developed In-house,?,Java,Windows XP,Eclipse IDE,Eclipse IDE,Microsoft SQL Server,No,BEA Weblogic,BEA Weblogic JMS,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,Run a computer-human interface,Database serverHTML/web serverMessaging serverSecurity/authentication,?,?,Yes,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
