Name,Admin Login
TotalLinks,38
ActorNum,0
BoundaryNum,0
ControlNum,0
Administrator,2,0
ApproveDisputeController,4,1
Bills,0,1
Display Error Page,0,1
Display Invalid Username Password Message,1,1
Display Success Page,0,1
Display login page,1,0
Dispute,0,2
Dispute Redemption Page,3,2
EmailNotificationController,1,1
Enter username and password,1,1
ErrorController,1,1
FetchDisputeController,3,3
Partner,0,1
Resolve Dispute page,3,2
Selects Dispute,1,1
View Partneer Billing Status,0,1
View Redemption Statistics for Partner,0,1

Name,Suspend Partner Account Storyboard
TotalLinks,23
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Administrator,3,0
Change account state,5,2
Chooses filtering or sorting option,3,0
Display partner account with errors,1,0
Display redemption statistics screen,1,1
Email the partner,0,2
Leave Reemption statistics screen,1,1
Page of Partner Account can be suspended,3,3
Partner Info,0,2
Query Transaction Log and Partner Info,4,1
Suspend a partner account,2,1
Suspend failed page,0,3
Suspend succeed page,0,3
Temporary storage,0,3
Transaction Log,0,1

Name,Validate Redemption Password
TotalLinks,18
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,1,0
Coupon,1,0
Coupon Successfully Redeemed Popup Message,0,1
Display Coupon Successfully Redeemed Popup Message,1,2
Display Pop-up Error Message,1,1
Display Popup Error Message,1,1
Display Redeem Coupon Page,1,1
Display Redemption Password Validation Page,3,1
Enter Password,1,1
Error message popup,0,1
Error messagge popup,0,1
Is redemption password valid?,4,1
Redeem Coupon Page,0,1
Redemption Password Validation Page,1,3
Traveler Account,0,1
e1,1,1
get Redeem password,2,1

Name,View Partner Billing status storyboard
TotalLinks,13
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Administrator,1,0
Billstatus page,2,2
Display redemption statistics screen,1,1
Display search result,1,1
Display search result,1,1
Partner Info,0,1
Partner data,0,2
Query Transaction Log and Partner Info,4,1
Search,3,2
Search result page,0,1
Transaction Log,0,1

Name,View Transaction Log
TotalLinks,20
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Administrator,1,0
Direct to modify,2,1
Display connection error message,2,2
Display no transactions message,1,1
Display pritner failure message,1,1
Display transactions,8,1
Dispute Redemption Page,0,1
Object1,0,0
Partner Info,0,1
Partner List,0,1
Retrieve and print,1,1
Retrieve selected transactions,1,1
Retrieve transactions,1,1
System message page,0,3
Transaction DB,0,4
Transaction Log Page,2,1

Name,View redemption statistics for partner storyboard
TotalLinks,21
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Administrator,2,0
Billing partner,0,1
Chooses filtering or sorting option,2,1
Coupon Redeem Page,1,2
Display redemption statistics screen,2,1
Filter and sort result,2,2
Invoke,4,1
Leave Reemption statistics screen,1,1
Logging transaction,0,1
Notifying partner,0,1
Partner Info,0,1
Query Transaction Log and Partner Info,4,2
Redemption statistics screen,3,2
Temporary storage,0,3
Transaction Log,0,1
Validating redemption password,0,1

Name,Connect to trip plan
TotalLinks,12
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,1,0
Collect information,1,3
Login page,0,1
Previous Page,1,1
Redeem coupon,0,1
Remove coupon,2,0
Show coupons,1,0
Show trip plans page,1,2
Trip plans database table,1,0
Verify user's session,2,2
View trip plans,1,1
users' database table,1,1

Name,Login to tripplanner
TotalLinks,33
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,2,0
Account,2,1
Account,2,1
Account,1,1
Create account page,1,2
Create an account,1,1
Display,1,1
Display,1,1
Display,1,1
Display,1,2
Email password,1,1
Forget password page,2,1
Login main page,3,4
Main page,1,1
Previous page,0,2
Previous page (any page),0,1
Retrieve account info,2,1
Retrieve account info,1,1
Start auth session,1,1
Traveler Account,0,0
Validate/check,1,1
Validate/check,1,1
Validate/check,1,1
display,1,1
display,1,1
display,1,1
display,1,1
display,1,1
start auth session,1,1

Name,Receive Coupon
TotalLinks,25
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Ad server,1,0
Employee,3,0
Billing partner,0,1
Cancel,0,1
Check GPS,2,1
Coupon Notification Popup Window,3,4
Coupon Retrieve Page,1,1
Fail to connect internet page,0,1
GPS not work page,0,1
Generate barcode,0,0
Geo fence,3,3
Invoke,4,1
Local coupon database,0,1
Logging transaction,0,1
Notifying partner,0,1
Redeem,0,1
Retrieve specific partner's coupon information,2,1
Save it later,1,1
Server Partner - coupon database,0,1
Validating redemption password,0,1
account,0,1
check internet,3,1
retrieve data from account,2,1

Name,Redeem Coupon
TotalLinks,17
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,3,0
Admin Login page,1,1
Click Redeem Button,1,2
Coupons,0,3
Database,1,0
Display redeemed coupon page,2,1
Enter Username and password,1,1
Enter Username and password,2,1
Input Coupon Code ID,1,1
Login page,1,1
Redeem Coupon Page,2,1
Redeemed coupon record page,0,3
Remove,1,1
Scan QR Code,1,1

Name,Save it for later
TotalLinks,12
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,1,0
Add coupon into category,1,1
Categories,0,1
Category list,1,3
Choose a category or not,4,1
Coupon receiving page,1,1
Create a category,1,2
Random coupoon pool,0,1
Search,2,1
Sort coupons from far to close,1,1

Name,View stored coupons
TotalLinks,14
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,1,0
Coupons,0,3
Create a category,1,1
Dispute,1,0
Get coupons list,4,1
Originating page,1,1
Random coupoon pool,0,1
Redeem coupon,0,1
Remove coupon,2,0
Show coupons,1,2
Show details,1,3
Verify coupon,2,1

Name,Connect to trip plan
TotalLinks,8
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,1,0
Collect information,1,2
Login page,0,1
Previous Page,1,1
Show trip plans page,0,1
Trip plans database table,1,0
Verify user's session,2,2
View trip plans,1,1
users' database table,1,0

Name,Login to tripplanner
TotalLinks,33
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,2,0
Account,1,1
Account,2,1
Account,2,1
Create account page,1,2
Create an account,1,1
Display,1,1
Display,1,1
Display,1,2
Display,1,1
Email password,1,1
Forget password page,2,1
Login main page,3,4
Main page,1,1
Previous page,0,2
Previous page (any page),0,1
Retrieve account info,2,1
Retrieve account info,1,1
Start auth session,1,1
Validate/check,1,1
Validate/check,1,1
Validate/check,1,1
display,1,1
display,1,1
display,1,1
display,1,1
display,1,1
start auth session,1,1

Name,Receive Coupon
TotalLinks,17
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Ad server,1,0
Employee,3,0
Cancel,0,1
Check GPS,2,1
Coupon Notification Popup Window,3,4
Coupon Retrieve Page,1,1
Fail to connect internet page,0,1
GPS not work page,0,1
Geo fence,1,2
Local coupon database,0,1
Redeem,0,1
Retrieve specific partner's coupon information,2,1
Save it later,1,1
Server Partner - coupon database,0,1
check internet,3,1

Name,Redeem Coupon
TotalLinks,14
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,3,0
Admin Login page,1,1
Click Redeem Button,1,2
Database,1,0
Display redeemed coupon page,1,1
Enter Username and password,1,1
Enter Username and password,1,1
Input Coupon Code ID,1,1
Login page,1,1
Redeem Coupon Page,2,1
Redeemed coupon record page,0,3
Remove,0,1
Scan QR Code,1,1

Name,Save it for lateer
TotalLinks,9
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,1,0
Add coupon into category,1,1
Categories,0,1
Category list,1,2
Choose a category or not,3,1
Coupon receiving page,1,1
Create a category,1,1
Random coupoon pool,0,1
Sort coupons from far to close,1,1

Name,View stored coupons
TotalLinks,11
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,1,0
Coupons,0,3
Dispute,1,0
Get coupons list,2,1
Originating page,1,1
Redeem coupon,0,1
Remove coupon,2,0
Show coupons,1,1
Show details,1,3
Verify coupon,2,1

Name,Buy Partner Subscription
TotalLinks,13
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Business Parter,4,0
Buy Subscription Comfirmation Page,1,2
Buy Subscription Page(1),1,2
Buy Subscription Page(1),1,1
Buy Success Page,1,2
Display Buy My Subscription Success Page,1,1
Display Home Page(Designed by other part),0,1
Display Subscription Comfirmation Page,1,1
Display Subscription Page(2),1,1
Marked as Subscirpted,1,1
Subscription,1,1

Name,Cancel Partner Subscription
TotalLinks,11
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Business Partner,3,0
Cancel Subscription Comfirmation Page,2,2
Cancel Subscription Page,1,1
Cancel Subscription Success Page,1,2
Display Cancel Sub page,0,1
Display Comfirmation Page,1,1
Display Home Page,0,1
Display Success Page,1,1
Marked as Canceled,2,1
Subscription,0,1

Name,Contact us
TotalLinks,23
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Add Server,1,0
Partner,4,0
Admin gets the message,0,1
Contact Admin,2,2
ContactUs page,1,3
Customer,0,1
Customer complain Notification,0,1
Display,1,1
Display contact us page,1,1
Display customer complain notification,1,1
Display not found page,1,1
Display successful submitted page,1,1
E-coupon,0,1
Home page,1,1
Not found page,0,2
Publish offer,1,2
Successfully submitted,3,1
Validate,5,1
successfully submitted page,0,2

Name,Create Account
TotalLinks,23
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Customer,2,0
Check duplication,2,1
Create account page,1,3
Create success page,1,1
Customer page,0,1
Delete information cookies,1,1
First page,1,1
Information incorrect and redirect back,1,2
Send confirm email,0,1
Store information cookies,1,1
Success action,3,1
Valid information duplication,1,1
Web browerser-cookies storage,2,2
check information correctness,2,1
direct to create account page,1,1
retrieve information,1,2
retrieve registered email,1,2
system database account information,2,1

Name,Create Offer
TotalLinks,30
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
FT sales rep,3,0
Third Party Client,1,0
Check,2,1
Coupon,0,2
Coupon Templates,0,1
Create Geo-fence,1,1
Create Geo-fence page,1,2
Create Offer Page 1,1,1
Create offer,1,1
Create offer page 2,1,2
Design Coupon Page,1,3
Design coupon,2,2
Display error message,2,3
Enter Value,3,1
Link DC & Geo,4,1
Link offers,1,2
Offers,1,0
Offers Page,1,1
Offers database,0,1
Proceed,3,1
Process,1,4

Name,Design Coupon
TotalLinks,12
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Business Partner,1,0
Third Party Client,1,0
Coupon,0,2
Coupon Designer,5,1
Coupon Templates,0,1
Edit,1,1
Error Message,0,1
Offers,1,0
Retrieves,1,2
Save,1,1
Test,0,1
Upload Image,0,1
access,1,1

Name,Modify Offer
TotalLinks,7
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
FTSR,1,0
Edit Offer,1,1
Enter offer's new values,0,1
Invoke design coupon use case,0,1
Modify Offer,1,1
Modify offer page,3,1
Offer,0,1
Offers Page,1,1

Name,Partner Login
TotalLinks,12
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,2,0
Display Partner Login,1,0
Display error message,0,1
Display reset password dialog,1,1
Email user reset password confirmation email,0,1
Enter username and password,1,1
Is a match found?,3,1
Partner Login,2,2
Partner Portal,0,2
Query database with username and password,1,2
System Database,1,1

Name,Publish Offer
TotalLinks,12
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Add Server,1,0
FTSR,2,0
Auto publish reschedule,1,0
Check validate,2,1
Dispaly Error Msg,0,1
Display modify error,0,1
Display offer,2,1
Offers,1,0
Publish offer,0,2
Retrieve offers,1,2
offer details,1,3
offers pages,1,1

Name,Specify default payment method use case
TotalLinks,29
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Business Partner,4,0
Acquirer Bank,2,2
Authorization success,1,1
Cancel Subscription Comfirmation Page,2,2
Cancel Subscription Success Page,1,2
Check all details are entered,2,1
Check internet,0,1
Display Cancel Sub page,0,1
Display Success Page,1,1
Display Success Page,2,1
HTTPS Connection,1,1
HTTPS Connection,1,1
HTTPS Connection,1,2
HTTPs Connection,1,1
Merchant Web Server Account,1,4
Payment Cateway,1,1
Payment Processor,1,1
Payment Screen,3,2
Subscription,0,0
Subscription,0,0
Validate details with user's bank account,2,3
enter details,2,1

Name,Test Coupon
TotalLinks,13
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
FT,3,0
Coupon Database,0,2
Coupon Invalid,1,1
Coupon Page,2,1
Coupon Redeemed,1,1
Coupon Validator,1,2
Generate Test Coupon,1,1
Open Coupon Page,0,1
Partner's Mobile,1,2
Redeem Coupon,1,1
Save coupon for later,1,1
Test Coupon,1,0

Name,Upload Image
TotalLinks,10
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
User,5,0
Cancel Button,0,2
Design Coupon screen,0,2
Display Image in Coupon Image,1,1
File Chooser Windows,2,1
Open Button,1,1
Select the Image file,0,2
Upload Image button,1,1

Name,View Bill
TotalLinks,19
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Business Partner,1,0
Bill Detail Page,2,1
Bills,1,1
Bills view page,2,2
Display bills,1,1
Display unbilled transactions,1,1
Disputation request page,2,1
Disputation request success page,0,1
Dispute bill,2,1
Make payment,0,1
Partneer subscriptions,0,1
Post bills,2,1
Redeem coupon,0,1
Submit disputation request,1,1
Subscription,0,1
Unbilled Transactions,2,1
Validate disputation request,1,2
View Bill Details,1,1

Name,Annotate trip plan
TotalLinks,25
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,1,0
Annotation,1,2
Annotation create/update page,4,2
Annotation page,2,2
Check the number of photos,2,1
Checking existing,3,2
Click print button,1,1
Click update annotation,1,1
Comment,1,2
Delete Photos,1,1
Display,1,1
Display,3,2
Edit comment,1,1
Photos,1,2
Pop-up Alert,0,1
Print page,0,1
Travel Plan Page,1,1
Upload more photos,1,2

Name,Connect to trip plan
TotalLinks,16
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,2,0
Already logged in?,2,1
Connect to trip plan cloud database,3,2
Display home page,1,1
Email password,1,1
Get personnel trip plan information,1,1
Is username/password correct?,1,1
Login page,1,2
Travel Book,1,3
Trip plan cloud database,1,1
Trip plan homepage,0,1
check login,2,2

Name,Find, add, and delete places
TotalLinks,41
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,2,0
Annotates Trip Plan with Photos Page,0,1
Display Find screen,1,1
Display keyboard and entering process,3,3
Display the add button in color gray,2,1
Display the add button tin color blue,2,1
Displays a delete button under place item,1,3
Displays a list of added place of this user,1,3
Displays a list of related places with add button,1,3
Displays manage subscriptions screen,3,1
Fnd screen with search bar,1,2
Main screen,2,1
Manage subscription screen with a list of added places,1,2
Manage subscriptions page,0,1
NavigateAnnotation,1,1
NavigateShareTripPlan,1,1
Place,3,0
Place database,1,0
Share trip plan page,0,1
TripPlanDetaillsPage,6,4
a list of places with add button on find screen,0,3
add this place to added places list,1,2
delete this place from added places  list,2,3
display no results,3,1
user data database,3,2

Name,Login to TripPlanner
TotalLinks,10
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,1,0
Display home page,1,1
Display login page,1,0
Does username exist?,1,1
Email password,2,1
Enter username and password,1,1
Is username/password correct?,2,1
Login page,1,3
Partner data,0,1
Search result page,0,1

Name,Manage Trip Plan
TotalLinks,21
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,2,0
AddTripPlan,1,1
Annotates Trip Plan with Photos Page,0,1
DeleteTripPlan,1,1
Find or Add Places Page,0,1
Manage Trip Plans,2,1
Manage subscriptions page,0,1
NavigateAnnotation,1,1
NavigateFindorAddPlaces,1,1
NavigateManageSubscription,1,1
NavigateShareTripPlan,1,1
NavigateTripCalendar,1,1
Navigation Delete Places,1,1
Share trip plan page,0,1
Travel Plan Home Page,3,2
Trip Calendar Page,0,1
Trip Plans Database,0,1
TripPlanDetaillsPage,6,4

Name,Manage subscription
TotalLinks,21
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,1,0
DeleteTripPlan,1,1
Empty list prompting box,0,2
Error controller,1,1
Error prompting box,0,2
Find or Add Places Page,0,1
Manage subscriptions page,0,1
NavigateAnnotation,1,1
NavigateFindorAddPlaces,1,1
NavigateManageSubscription,1,1
NavigateShareTripPlan,1,1
NavigateTripCalendar,1,1
Navigation Delete Places,1,1
Place,0,1
Place Controller,4,1
Place list page,6,2
Share trip plan page,0,1
Trip plan selection page,2,2

Name,Print photo books
TotalLinks,24
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,3,0
Display,1,1
Map,0,2
Pinch on map,1,1
Place,0,1
Place screen,2,3
Select images screen,5,5
Trip Plan,0,1
Walgreens checkout,1,2
display,3,2
display,2,1
get directions from current location,0,1
pan on map,1,1
trip plan controller,3,1
walgreens,2,2

Name,Schedule visit and view trip calendar
TotalLinks,11
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,2,0
Calendar interface,4,3
Display details of scheduled visit,0,1
Display places in trip plan,1,1
Enter arrival and departure date andtime for visit,2,1
Offer,0,1
Schedule Date and time conflict with another visit,1,1
partner offer page,1,1
subscription failed,0,1
subscription success,0,1

Name,Subscribe and unsubscribe from partner offer
TotalLinks,20
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,2,0
Click back,1,1
Coupon Info,0,2
Display partner info,1,1
Management subscription page,1,2
Offer,0,2
Retrieve coupon list,1,1
Retrieve partner info,1,1
Return search results,1,1
Search coupon,1,1
Sort coupon list,1,2
click "popular",1,1
partner offer page,5,1
subscription controller,4,2
subscription failed,0,1
subscription success,0,1

Name,View Trip Plan on Map and get Directions
TotalLinks,14
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,1,0
Display,1,1
Display details of scheduled visit,0,1
Manage trip plan screen,1,1
Map,0,1
Map,0,2
Pinch on map,1,1
Place,0,1
View trip plan on map screen,3,1
fetch map,2,1
fetch place,1,1
get directions from current location,0,1
pan on map,1,1
trip plan controller,3,1

Name,View partner offer
TotalLinks,18
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Traveler,1,0
Click "detail",3,1
Click back,1,1
Coupon Info,0,2
Display partner info,2,1
Empty list prompting box,0,1
Error prompting box,0,1
Management subscription page,1,2
Partner info,0,1
Retrieve coupon list,1,1
Retrieve partner info,1,1
Return search results,1,1
Search coupon,1,1
Sort coupon list,1,2
click "popular",1,1
partner offer page,4,1

