Proj,swtii_l1,swtii_l2,swtii_l3,swtii_l4,swtii_l5,swtii_l6,swtii_l7,SWTII,swtiii_l1,swtiii_l2,swtiii_l3,swtiii_l4,swtiii_l5,swtiii_l6,swtiii_l7,SWTIII,Effort1,swti_l1,SWTI,UUCP,AFP,COSMIC,SLOC,LOG_SLOC,Effort,Trans,Stm,Comp,TL,TL_SE,TD,TD_SE,DETs,DETs_SE
LockScreenApp_S1W1L1_2019-4-16@1558026676549,26,2,1,3,3,0,0,59.87228851,28,0,0,7,0,0,0,56.42277185,1408,35,33.74646298,50,89,70,1124.968893,7.025510664,1401.568638,35,35,11,3.685714286,8.263211983,4.927114846,2.885142727,3.257142857,6.427618977
manglish_S1W1L1_2019-6-12@1562926484676,1,0,0,0,0,0,0,0.737662945,1,0,0,0,0,0,0,1.063697775,1200,1,0.964184656,175,62,35.28,18051.85685,9.801003831,1194.639309,1,1,4,2,NA,0.5,NA,2,NA
materialistic_S1W1L1_2019-4-28@1559051254190,0,2,0,0,0,4,0,63.31616116,1,1,0,0,4,0,0,33.70087618,2335,6,5.785107939,175,126,61,6719.477449,8.81276567,2323.592011,6,6,10,28.16666667,30.80530257,24.35714841,6.382480123,33.5,35.90960874
Mindorks_S1W1L1_2019-4-28@1559050892966,1,0,0,0,0,0,0,0.737662945,1,0,0,0,0,0,0,1.063697775,559,1,0.964184656,55,113,40.92,2525.467272,7.834181383,556.7713361,1,1,18,2,NA,0.5,NA,2,NA
Minimal-ToDo_S1W1L1_2019-4-29@1559165220745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,30,56,33,470.1684191,6.153090969,557.7667197,0,0,0,NA,NA,NA,NA,NA,NA
MLManager_S1W1L1_2019-4-28@1559051298340,1,0,0,1,11,3,0,122.506789,1,0,0,5,10,0,0,95.86886654,457,16,15.4269545,105,101,36,1178.466078,7.071968938,455.23591,16,16,10,7.375,6.711929678,17.53709334,5.527960793,8.8125,8.983085958
MovieGuide_S1W1L1_2019-4-29@1559165212417,4,0,0,3,1,0,0,22.58234422,4,0,0,4,0,0,0,19.47721062,1069,8,7.713477252,0,90,15,658.2551868,6.489592678,1064.302206,8,8,13,5.875,8.30554892,6.884157509,1.351102886,5.25,8.413424647
music_S1W1L1_2019-4-16@1558026688453,0,0,0,1,1,0,0,11.01182691,0,0,0,2,0,0,0,7.61120976,2816,2,1.928369313,130,83,3,2610.817057,7.8674185,2801.910584,2,2,11,7,4.242640687,2.175,0.106066017,6,4.242640687
muzei_S1W1L1_2019-4-28@1559051308379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,65,110,877.14,8808.298064,9.083449518,21600.34786,0,0,4,NA,NA,NA,NA,NA,NA
NewPipe_S1W1L1_2019-4-28@1559051314726,0,12,0,2,0,2,0,67.76887659,0,14,0,0,2,0,0,47.72391813,12770,16,15.4269545,120,160,1140,7979.569415,8.984639731,40497.60761,16,16,7,10.625,23.56798676,41.55985915,4.262346657,9.8125,20.77568691
NewPipe_S1W1L1_2019-5-15@1560625183900,0,9,0,2,0,5,0,104.0097077,0,11,0,0,5,0,0,63.47809946,3234,16,15.4269545,120,146,1140,30159.79515,10.31426503,48899.2325,16,16,7,6.5,9.912954487,25.54710358,1.72741387,7.1875,11.32677506
OmniNotes_S1W1L1_2019-4-28@1559051391827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520,0,0,85,134,334.32,7647.665532,8.942155721,4496.041212,0,0,0,NA,NA,NA,NA,NA,NA
opencamera_S1W1L1_2019-5-15@1560625238642,0,0,26,2,6,0,19,405.0886888,0,0,26,8,0,0,19,423.0669916,24212,53,51.10178679,80,118,144.8,11283.27589,9.331076899,4189.860522,53,53,8,192.3207547,411.3337955,1504.307882,608.5782557,152.509434,328.580784
OrientSwitch_S1W1L1_2019-4-16@1558026692483,8,0,1,0,0,0,0,8.560523757,9,0,0,0,0,0,0,9.573279972,2192,9,8.677661908,15,98,9,19112.57352,9.858101697,2181.377712,9,9,4,2,0,4.5,0,2.222222222,0.666666667
prey_S1W1L1_2019-4-28@1559052797326,0,0,15,0,0,2,11,235.2732641,0,0,15,0,0,13,0,193.443204,2440,28,26.99717038,20,90,590,4251.495401,8.355026059,2428.011576,28,28,8,52.89285714,172.4813118,335.2815564,50.47261481,56.96428571,188.2611429
PullUpMenu_S1W1L1_2019-4-16@1558026695747,8,0,1,0,0,2,0,37.71942884,5,4,0,0,2,0,0,29.77920039,1408,11,10.60603122,80,99,66,725.3940178,6.58671498,1401.568638,11,11,8,14.36363636,28.02596199,14.97419527,9.237985587,9.181818182,16.03632241
rcbackground_S1W1L1_2019-4-16@1558026705258,8,0,0,0,0,0,0,5.90130356,8,0,0,0,0,0,0,8.509582197,1408,8,7.713477252,35,91,8,1488.270431,7.30536994,1401.568638,8,8,2,2,0,2.5,0.9258201,1.125,0.353553391
reddit_S1W1L1_2019-4-28@1559052892979,65,47,10,8,0,17,3,519.6660761,0,86,43,0,0,21,0,567.8563433,22686,150,144.6276985,105,122,350,1530.889457,7.33360419,2075.956358,150,150,8,4.453333333,8.404686026,52.24843434,36.97556424,4.386666667,7.45166678
RufusConnectAndroid_S1W1L1_2019-4-16@1558026707893,6,0,0,0,0,0,0,4.42597767,6,0,0,0,0,0,0,6.382186648,1408,6,5.785107939,65,84,6,16488.59139,9.71042399,1401.568638,6,6,2,2,0,2.166666667,0.816496581,1.833333333,0.40824829
RufusCuffLauncher_S1W1L1_2019-4-16@1558026710427,2,43,5,1,1,9,0,264.4628731,5,46,0,0,4,6,0,211.521235,2816,61,58.81526405,50,123,162,7214.201046,8.88380673,2801.910584,61,61,7,4.983606557,11.47096596,60.07208541,15.31111362,4.508196721,8.934246752
RufusLocation_S1W1L1_2019-4-16@1558026747018,41,1,4,0,3,0,0,63.48591949,46,0,0,3,0,0,0,60.34691227,2112,49,47.24504817,25,118,54,6014.835652,8.701984305,2101.814733,49,49,6,2.204081633,0.93495971,8.017857143,3.27713035,2.408163265,1.097693934
RufusMms_S1W1L1_2019-4-16@1558026754899,0,3,118,5,15,0,26,836.2615365,0,0,9,130,0,0,28,986.9443984,92112,167,161.0188376,55,98,475,4629.914452,8.44029367,2101.814733,190,190,7,43.83832335,187.0919276,1400.935459,276.7410616,40.41317365,172.1924968
selfnet-wificonfig-master_S1W1L1_2019-6-12@1562926399486,3,0,0,0,0,0,0,2.212988835,3,0,0,0,0,0,0,3.191093324,3218,3,2.892553969,10,101,319.24,758.8485693,6.631802244,3201.629439,3,3,2,2,0,1.5,0,2,0
superCleanMaster_S1W1L1_2019-4-29@1559141333216,10,0,0,0,0,0,0,7.37662945,10,0,0,0,0,0,0,10.63697775,2123,10,9.641846565,40,92,118,3505.871653,8.162194457,2112.754753,63,63,8,2,0,5,0,1,0
swiftnotes_S1W1L1_2019-4-29@1559141346453,3,2,0,0,1,0,0,13.91323398,5,0,0,1,0,0,0,9.124093753,610,6,5.785107939,50,76,31,483.109684,6.180243717,607.5345087,6,6,6,3.333333333,3.265986324,3.5,1.483239697,3.166666667,1.940790217
telecine_S1W1L1_2019-4-29@1559141351965,5,1,0,0,3,2,0,55.45207776,6,0,0,3,0,2,0,40.75938059,1783,11,10.60603122,30,143,46,736.7599354,6.602262107,1774.591112,11,11,15,42,88.20090702,23.45767533,34.12114732,42.18181818,88.11676138
Timber_S1W1L1_2019-4-29@1559141370065,1,0,0,0,0,0,0,0.737662945,1,0,0,0,0,0,0,1.063697775,2597,1,0.964184656,140,127,123.32,3407.442248,8.133717215,2584.138429,1,1,8,2,NA,0.5,NA,2,NA
turbo-editor_s1w1l1_2019-4-29@1559196395708,4,1,0,0,0,0,0,5.449827279,5,0,0,0,0,0,0,5.318488873,305,5,4.820923282,50,71,26.72,149.5261318,5.007471172,303.9002453,5,5,2,2,0,2.5,0,2,0.707106781
wally_S1W1L1_2019-4-29@1559143564066,3,2,0,0,1,5,0,86.81049669,3,2,0,0,6,0,0,53.31002126,423,11,10.60603122,60,84,111,3145.949197,8.053870935,421.3877272,35,35,7,16.90909091,26.23148698,27.80105402,12.12249738,15.63636364,25.13671708
WeatherWidget_S1W1L1_2019-4-16@1558027193482,8,0,0,0,0,0,0,5.90130356,8,0,0,0,0,0,0,8.509582197,1408,8,7.713477252,25,117,8,6384.555125,8.761637091,1401.568638,8,8,9,2,0,4,0,2,0
