id,element,type,outbound_degree,inbound_degree,diagram,useCase
148,Edit setting button,boundary,1,1,Manage account setting,Manage account setting
149,Admin,actor,3,0,Manage account setting,Manage account setting
150,vendor,entity,0,1,Display vendors,Display vendors
151,query vendors,control,1,1,Display vendors,Display vendors
152,vendor page,boundary,0,2,Display vendors,Display vendors
153,redirect to vendor page,control,2,1,Display vendors,Display vendors
154,vendor side bar,boundary,1,1,Display vendors,Display vendors
155,Admin,actor,2,0,Display vendors,Display vendors
156,remove vendor,control,1,1,Manage vendor,Manage vendor
157,query vendor detail,control,1,1,Manage vendor,Manage vendor
158,User info updated message,boundary,0,2,Manage vendor,Manage vendor
159,notify amdin,control,1,1,Manage vendor,Manage vendor
160,update vendor info,control,2,1,Manage vendor,Manage vendor
161,vendor detail page,boundary,1,2,Manage vendor,Manage vendor
162,redirect to vendor details page,control,2,1,Manage vendor,Manage vendor
163,user list with edit and remove buttons,boundary,2,2,Manage vendor,Manage vendor
164,vendor,entity,0,4,Manage vendor,Manage vendor
165,redirect vendors page,control,2,1,Manage vendor,Manage vendor
166,All vendors tab,boundary,1,1,Manage vendor,Manage vendor
167,Admin,actor,4,0,Manage vendor,Manage vendor
168,update of product message,boundary,0,2,Approve pending product,Approve pending product
169,notify update of product,control,1,1,Approve pending product,Approve pending product
170,change product status,control,2,1,Approve pending product,Approve pending product
171,product detail,boundary,1,2,Approve pending product,Approve pending product
172,query product detail,control,2,1,Approve pending product,Approve pending product
173,product list,boundary,1,2,Approve pending product,Approve pending product
174,product,entity,0,3,Approve pending product,Approve pending product
175,redirect to all product lists,control,2,1,Approve pending product,Approve pending product
176,products tab,boundary,1,1,Approve pending product,Approve pending product
177,Admin,actor,4,0,Approve pending product,Approve pending product
