id,element,useCase,type,component
id,element,useCase,type,component
149,Send student detail:Display page,view enrolled students,boundary,Displaymessagepage
150,Request students data:Display page,view enrolled students,boundary,Displaymessagepage
151,Get  enrolled students list:Request students data,view enrolled students,control,student data
152,stl#User:Send student detail,view enrolled students,Stimulus,undefined
153,stl#User:Homepage,view enrolled students,Stimulus,undefined
154,stl#User:Course link button,view enrolled students,Stimulus,undefined
155,User:Click button,view final student schedule,boundary,Lockbutton
156,User:Send student detail,view final student schedule,control,student data
157,User:Homepage,view final student schedule,boundary,Displaymessagepage
158,Click button:Request student detail,view final student schedule,control,student data
159,Display page:Homepage,view final student schedule,boundary,Displaymessagepage
160,Send student detail:Display page,view final student schedule,boundary,Displaymessagepage
161,Request student detail:Display page,view final student schedule,boundary,Displaymessagepage
162,stl#User:Click button,view final student schedule,Stimulus,undefined
163,stl#User:Send student detail,view final student schedule,Stimulus,undefined
164,stl#User:Homepage,view final student schedule,Stimulus,undefined
165,User:Select  year and semester page,view final teacher schedule,boundary,semester
166,User:Homepage,view final teacher schedule,boundary,Displaymessagepage
167,User:Send teacher detail,view final teacher schedule,control,teacher data
168,Display page:Homepage,view final teacher schedule,boundary,Displaymessagepage
169,Request teacher detail:Display page,view final teacher schedule,boundary,Displaymessagepage
170,Send teacher detail:Request teacher detail,view final teacher schedule,control,teacher data
171,Select  year and semester page:Request teacher detail,view final teacher schedule,control,teacher data
172,stl#User:Select  year and semester page,view final teacher schedule,Stimulus,undefined
173,stl#User:Homepage,view final teacher schedule,Stimulus,undefined
174,stl#User:Send teacher detail,view final teacher schedule,Stimulus,undefined
175,User:Send students detail,view registered students,control,student data
176,User:Homepage,view registered students,boundary,Displaymessagepage
177,User:Course reigister page,view registered students,boundary,pair course
178,Course reigister page:Section conflicts page,view registered students,control,course section
179,Display page:Homepage,view registered students,boundary,Displaymessagepage
180,Send students detail:Display page,view registered students,boundary,Displaymessagepage
181,Request student detail data:Display page,view registered students,boundary,Displaymessagepage
