id,path,useCase,path_length, boundry_num, control_num, entity_num, actor_num
39,stl#User:Partner Login->User:Partner Login->Partner Login:Enter username and password->Enter username and password:Query database with username and password->Query database with username and password:System Database->System Database:Is a match found?->Is a match found?:Partner Portal,Partner Login,undefined,2,0,0,0
40,stl#User:Partner Login->User:Partner Login->Partner Login:Enter username and password->Enter username and password:Query database with username and password->Query database with username and password:System Database->System Database:Is a match found?->Is a match found?:Display error message,Partner Login,undefined,2,1,0,0
41,stl#User:Partner Portal->User:Partner Portal,Partner Login,undefined,0,0,0,0
42,stl#FTSR:offer details->FTSR:offer details->offer details:Check validate->Check validate:Display modify error,Publish Offer,undefined,1,0,0,0
43,stl#FTSR:offer details->FTSR:offer details->offer details:Check validate->Check validate:Publish offer,Publish Offer,undefined,1,0,0,0
44,stl#FTSR:offers pages->FTSR:offers pages->offers pages:Display offer->Display offer:offer details->offer details:Check validate->Check validate:Display modify error,Publish Offer,undefined,1,1,0,0
45,stl#FTSR:offers pages->FTSR:offers pages->offers pages:Display offer->Display offer:offer details->offer details:Check validate->Check validate:Publish offer,Publish Offer,undefined,1,1,0,0
46,stl#FTSR:offers pages->FTSR:offers pages->offers pages:Display offer->Display offer:Retrieve offers->Retrieve offers:Dispaly Error Msg,Publish Offer,undefined,0,1,0,0
47,stl#Add Server:Publish offer->Add Server:Publish offer,Publish Offer,undefined,0,0,0,0
48,stl#FT:Coupon Page->FT:Coupon Page->Coupon Page:Redeem Coupon->Redeem Coupon:Coupon Database,Test Coupon,undefined,3,0,0,0
49,stl#FT:Coupon Page->FT:Coupon Page->Coupon Page:Save coupon for later->Save coupon for later:Partner's Mobile->Partner's Mobile:Open Coupon Page,Test Coupon,undefined,3,0,0,0
50,stl#FT:Coupon Redeemed->FT:Coupon Redeemed->Coupon Redeemed:Coupon Validator->Coupon Validator:Coupon Database,Test Coupon,undefined,3,0,0,0
51,stl#FT:Coupon Invalid->FT:Coupon Invalid->Coupon Invalid:Coupon Validator->Coupon Validator:Coupon Database,Test Coupon,undefined,3,0,0,0
52,stl#User:Cancel Button->User:Cancel Button,Upload Image,undefined,1,0,0,0
53,stl#User:Upload Image button->User:Upload Image button->Upload Image button:File Chooser Windows->File Chooser Windows:Select the Image file,Upload Image,undefined,0,3,0,0
54,stl#User:Upload Image button->User:Upload Image button->Upload Image button:File Chooser Windows->File Chooser Windows:Cancel Button,Upload Image,undefined,1,2,0,0
55,stl#User:Design Coupon screen->User:Design Coupon screen,Upload Image,undefined,1,0,0,0
56,stl#User:Open Button->User:Open Button->Open Button:Display Image in Coupon Image->Display Image in Coupon Image:Design Coupon screen,Upload Image,undefined,2,1,0,0
57,stl#User:Select the Image file->User:Select the Image file,Upload Image,undefined,0,1,0,0
