id,element,type,outbound_degree,inbound_degree,diagram,useCase
68,Coupon Invalid,boundary,1,1,Test Coupon,Test Coupon
69,Coupon Redeemed,boundary,1,1,Test Coupon,Test Coupon
70,Coupon Validator,control,1,2,Test Coupon,Test Coupon
71,FT,actor,3,0,Test Coupon,Test Coupon
72,Coupon Database,entity,0,2,Test Coupon,Test Coupon
73,Redeem Coupon,control,1,1,Test Coupon,Test Coupon
74,Coupon Page,boundary,2,1,Test Coupon,Test Coupon
75,Open Coupon Page,control,0,1,Test Coupon,Test Coupon
76,Save coupon for later,control,1,1,Test Coupon,Test Coupon
77,Partner's Mobile,entity,1,2,Test Coupon,Test Coupon
78,Generate Test Coupon,control,1,1,Test Coupon,Test Coupon
79,Test Coupon,entity,1,0,Test Coupon,Test Coupon
80,Display Home Page,control,0,1,Cancel Partner Subscription,Cancel Partner Subscription
81,Cancel Subscription Success Page,boundary,1,2,Cancel Partner Subscription,Cancel Partner Subscription
82,Subscription,entity,0,1,Cancel Partner Subscription,Cancel Partner Subscription
83,Display Success Page,control,1,1,Cancel Partner Subscription,Cancel Partner Subscription
84,Marked as Canceled,control,2,1,Cancel Partner Subscription,Cancel Partner Subscription
85,Cancel Subscription Comfirmation Page,boundary,2,2,Cancel Partner Subscription,Cancel Partner Subscription
86,Display Comfirmation Page,control,1,1,Cancel Partner Subscription,Cancel Partner Subscription
87,Display Cancel Sub page,control,0,1,Cancel Partner Subscription,Cancel Partner Subscription
88,Cancel Subscription Page,boundary,1,1,Cancel Partner Subscription,Cancel Partner Subscription
89,Business Partner,actor,3,0,Cancel Partner Subscription,Cancel Partner Subscription
90,Cancel Button,boundary,0,2,Upload Image,Upload Image
91,Display Image in Coupon Image,control,1,1,Upload Image,Upload Image
92,Open Button,boundary,1,1,Upload Image,Upload Image
93,Select the Image file,boundary,0,2,Upload Image,Upload Image
94,File Chooser Windows,control,2,1,Upload Image,Upload Image
95,Upload Image button,boundary,1,1,Upload Image,Upload Image
96,Design Coupon screen,boundary,0,2,Upload Image,Upload Image
97,User,actor,5,0,Upload Image,Upload Image
98,Error Message,boundary,0,1,Design Coupon,Design Coupon
99,access,control,1,1,Design Coupon,Design Coupon
100,External Image Service,actor,0,1,Design Coupon,Design Coupon
101,Third Party Client,actor,1,0,Design Coupon,Design Coupon
102,Coupon,entity,0,2,Design Coupon,Design Coupon
103,Coupon Templates,entity,0,1,Design Coupon,Design Coupon
104,Offers,entity,1,0,Design Coupon,Design Coupon
105,Retrieves,control,1,2,Design Coupon,Design Coupon
106,Upload Image,control,1,1,Design Coupon,Design Coupon
107,Test,control,0,1,Design Coupon,Design Coupon
108,Save,control,1,1,Design Coupon,Design Coupon
109,Coupon Designer,boundary,5,1,Design Coupon,Design Coupon
110,Edit,control,1,1,Design Coupon,Design Coupon
111,Business Partner,actor,1,0,Design Coupon,Design Coupon
