2019-02-22 14:02:43,339 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963339","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"android.support.v7.widget.RecyclerView com.danielkim.soundrecorder.fragments.FileViewerFragment.onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)","instance":{"class":"com.danielkim.soundrecorder.fragments.FileViewerFragment","hashcode":"228840557"},"params":[]}
2019-02-22 14:02:43,341 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963341","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"com.danielkim.soundrecorder.adapters.FileViewerAdapter.FileViewerAdapter(android.content.Context,android.support.v7.widget.LinearLayoutManager)","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"},"params":[]}
2019-02-22 14:02:43,341 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963341","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"com.danielkim.soundrecorder.DBHelper.DBHelper(android.content.Context)","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"},"params":[]}
2019-02-22 14:02:43,342 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963341","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"com.danielkim.soundrecorder.DBHelper.DBHelper(android.content.Context)","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"}}
2019-02-22 14:02:43,342 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963342","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"static_method_type","methodSign":"void com.danielkim.soundrecorder.DBHelper.setOnDatabaseChangedListener(com.danielkim.soundrecorder.listeners.OnDatabaseChangedListener)","params":[]}
2019-02-22 14:02:43,342 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963342","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"static_method_type","methodSign":"void com.danielkim.soundrecorder.DBHelper.setOnDatabaseChangedListener(com.danielkim.soundrecorder.listeners.OnDatabaseChangedListener)"}
2019-02-22 14:02:43,342 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963342","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"com.danielkim.soundrecorder.adapters.FileViewerAdapter.FileViewerAdapter(android.content.Context,android.support.v7.widget.LinearLayoutManager)","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"}}
2019-02-22 14:02:43,343 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963343","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"android.support.v7.widget.RecyclerView com.danielkim.soundrecorder.fragments.FileViewerFragment.onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)","index":"1","instance":{"class":"com.danielkim.soundrecorder.fragments.FileViewerFragment","hashcode":"228840557"}}
2019-02-22 14:02:43,355 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963355","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"},"params":[]}
2019-02-22 14:02:43,357 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963357","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"}}
2019-02-22 14:02:43,357 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963357","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"},"params":[]}
